dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.390979,2.868510,0.005768,0.576758,28.837879,1441.893936,6.282508
0.020000,1.408282,2.868432,0.023071,0.865154,14.419808,-720.903522,6.274853
0.020000,1.437117,2.868008,0.051909,1.441912,28.837909,720.905012,6.262096
0.020000,1.477472,2.866796,0.092282,2.018659,28.837376,-0.026614,6.244258
0.020000,1.529314,2.864183,0.144190,2.595417,28.837890,0.025675,6.221401
0.020000,1.592575,2.859387,0.207633,3.172130,28.835639,-0.112551,6.193665
0.020000,1.667133,2.851473,0.282610,3.748831,28.835042,-0.029836,6.161313
0.020000,1.752795,2.839382,0.369120,4.325537,28.835287,0.012244,6.124774
0.020000,1.849280,2.821966,0.467165,4.902210,28.833674,-0.080644,6.084691
0.020000,1.956215,2.798046,0.576742,5.478882,28.833590,-0.004189,6.041947
0.020000,2.073141,2.766483,0.697854,6.055567,28.834249,0.032932,5.997667
0.020000,2.199539,2.726256,0.830499,6.632275,28.835412,0.058142,5.953185
0.020000,2.334876,2.676537,0.974679,7.209015,28.836981,0.078449,5.909982
0.020000,2.478665,2.616769,1.130395,7.785798,28.839145,0.108239,5.869603
0.020000,2.630536,2.546708,1.297648,8.362622,28.841214,0.103448,5.833588
0.020000,2.790311,2.466473,1.476437,8.939480,28.842929,0.085725,5.803424
0.020000,2.958065,2.376568,1.666764,9.516348,28.843392,0.023151,5.780553
0.020000,3.134186,2.277924,1.868628,10.093209,28.843049,-0.017123,5.766424
0.020000,3.311483,2.176509,2.072881,10.212647,5.971898,-1143.557597,5.762517
0.020000,3.480947,2.079824,2.267986,9.755243,-22.870235,-1442.106633,5.768482
0.020000,3.641312,1.990492,2.451554,9.178401,-28.842082,-298.592335,5.782826
0.020000,3.793072,1.909476,2.623585,8.601541,-28.842997,-0.045748,5.804118
0.020000,3.936438,1.837335,2.784079,8.024690,-28.842552,0.022239,5.831007
0.020000,4.071391,1.774279,2.933036,7.447862,-28.841406,0.057292,5.862165
0.020000,4.197728,1.720209,3.070457,6.871064,-28.839915,0.074563,5.896268
0.020000,4.315122,1.674756,3.196343,6.294301,-28.838106,0.090454,5.932001
0.020000,4.423175,1.637332,3.310695,5.717566,-28.836757,0.067426,5.968093
0.020000,4.521471,1.607176,3.413512,5.140856,-28.835531,0.061337,6.003365
0.020000,4.609609,1.583420,3.504795,4.564157,-28.834951,0.028966,6.036770
0.020000,4.687236,1.565146,3.584544,3.987460,-28.834828,0.006179,6.067426
0.020000,4.754061,1.551445,3.652759,3.410763,-28.834870,-0.002102,6.094629
0.020000,4.809857,1.541465,3.709441,2.834058,-28.835242,-0.018634,6.117844
0.020000,4.854456,1.534453,3.754588,2.257344,-28.835672,-0.021485,6.136686
0.020000,4.887742,1.529782,3.788200,1.680614,-28.836538,-0.043290,6.150895
0.020000,4.909640,1.526973,3.810277,1.103875,-28.836920,-0.019093,6.160303
0.020000,4.920106,1.525705,3.820820,0.527144,-28.836582,0.016875,6.164816
0.020000,4.922477,1.525424,3.823208,0.119380,-20.388178,422.420222,6.165839
0.020000,4.922477,1.525424,3.823208,0.000000,-5.969002,720.958798,6.165839
0.020000,4.922477,1.525424,3.823208,0.000000,0.000000,298.450091,6.165839
