dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.390979,2.868460,0.005768,0.576758,28.837879,1441.893936,6.282508
0.020000,1.408281,2.868382,0.023070,1.153515,28.837879,0.000000,6.274853
0.020000,1.437116,2.867958,0.051908,1.730273,28.837879,-0.000000,6.262096
0.020000,1.477470,2.866746,0.092281,2.307030,28.837879,0.000000,6.244258
0.020000,1.529311,2.864133,0.144189,2.883788,28.837879,-0.000000,6.221401
0.020000,1.592571,2.859337,0.207633,3.460545,28.837879,0.000000,6.193665
0.020000,1.667127,2.851424,0.282611,4.037303,28.837879,0.000000,6.161313
0.020000,1.752787,2.839333,0.369125,4.614061,28.837879,0.000000,6.124774
0.020000,1.849270,2.821917,0.467174,5.190818,28.837879,-0.000000,6.084691
0.020000,1.956203,2.797998,0.576758,5.767576,28.837879,0.000000,6.041947
0.020000,2.073127,2.766435,0.697877,6.344333,28.837879,0.000000,5.997667
0.020000,2.199523,2.726208,0.830531,6.921091,28.837879,-0.000000,5.953185
0.020000,2.334858,2.676491,0.974720,7.497848,28.837879,0.000000,5.909982
0.020000,2.478645,2.616723,1.130445,8.074606,28.837879,-0.000000,5.869603
0.020000,2.630515,2.546663,1.297705,8.651364,28.837879,0.000000,5.833588
0.020000,2.790288,2.466428,1.476499,9.228121,28.837879,-0.000000,5.803424
0.020000,2.958041,2.376524,1.666829,9.804879,28.837879,0.000000,5.780553
0.020000,3.134162,2.277881,1.868695,10.381636,28.837879,0.000000,5.766424
0.020000,3.311459,2.176466,2.072947,10.043651,-16.899289,-2286.858405,5.762517
0.020000,3.480922,2.079780,2.268053,9.466893,-28.837879,-596.929467,5.768482
0.020000,3.641288,1.990448,2.451623,8.890135,-28.837879,-0.000000,5.782826
0.020000,3.793048,1.909431,2.623658,8.313378,-28.837879,0.000000,5.804118
0.020000,3.936416,1.837290,2.784158,7.736620,-28.837879,0.000000,5.831007
0.020000,4.071370,1.774234,2.933123,7.159863,-28.837879,0.000000,5.862165
0.020000,4.197709,1.720162,3.070553,6.583105,-28.837879,-0.000000,5.896268
0.020000,4.315104,1.674709,3.196447,6.006348,-28.837879,0.000000,5.932001
0.020000,4.423160,1.637284,3.310807,5.429590,-28.837879,-0.000000,5.968093
0.020000,4.521457,1.607128,3.413631,4.852832,-28.837879,0.000000,6.003365
0.020000,4.609596,1.583371,3.504920,4.276075,-28.837879,-0.000000,6.036770
0.020000,4.687225,1.565097,3.584674,3.699317,-28.837879,0.000000,6.067426
0.020000,4.754052,1.551396,3.652893,3.122560,-28.837879,0.000000,6.094629
0.020000,4.809849,1.541416,3.709576,2.545802,-28.837879,0.000000,6.117844
0.020000,4.854449,1.534404,3.754725,1.969045,-28.837879,-0.000000,6.136686
0.020000,4.887735,1.529733,3.788338,1.392287,-28.837879,0.000000,6.150895
0.020000,4.909634,1.526924,3.810416,0.815529,-28.837879,0.000000,6.160303
0.020000,4.920100,1.525655,3.820959,0.238772,-28.837879,-0.000000,6.164816
0.020000,4.922471,1.525374,3.823347,0.000000,-11.938589,844.964469,6.165839
0.020000,4.922471,1.525374,3.823347,0.000000,0.000000,596.929467,6.165839
0.020000,4.922471,1.525374,3.823347,0.000000,0.000000,0.000000,6.165839
