dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.390979,2.868410,0.005768,0.576758,28.837879,1441.893936,6.282508
0.020000,1.408281,2.868332,0.023070,0.865115,14.417895,-720.999210,6.274853
0.020000,1.437115,2.867908,0.051907,1.441848,28.836633,720.936933,6.262096
0.020000,1.477468,2.866696,0.092278,2.018570,28.836106,-0.026364,6.244258
0.020000,1.529308,2.864083,0.144184,2.595303,28.836635,0.026458,6.221401
0.020000,1.592567,2.859287,0.207624,3.171991,28.834419,-0.110790,6.193665
0.020000,1.667121,2.851374,0.282598,3.748669,28.833888,-0.026564,6.161313
0.020000,1.752779,2.839284,0.369105,4.325354,28.834240,0.017621,6.124774
0.020000,1.849260,2.821868,0.467145,4.902010,28.832788,-0.072612,6.084691
0.020000,1.956191,2.797949,0.576718,5.478668,28.832925,0.006846,6.041947
0.020000,2.073113,2.766387,0.697825,6.055345,28.833865,0.046991,5.997667
0.020000,2.199507,2.726161,0.830466,6.632053,28.835361,0.074820,5.953185
0.020000,2.334840,2.676444,0.974642,7.208799,28.837300,0.096950,5.909982
0.020000,2.478625,2.616677,1.130354,7.785596,28.839851,0.127559,5.869603
0.020000,2.630493,2.546618,1.297603,8.362442,28.842305,0.122676,5.833588
0.020000,2.790265,2.466384,1.476389,8.939330,28.844392,0.104329,5.803424
0.020000,2.958017,2.376480,1.666714,9.516234,28.845215,0.041173,5.780553
0.020000,3.134137,2.277837,1.868577,10.093139,28.845235,0.000978,5.766424
0.020000,3.311434,2.176423,2.072829,10.212628,5.974453,-1143.539064,5.762517
0.020000,3.480897,2.079737,2.267935,9.755272,-22.867767,-1442.111035,5.768482
0.020000,3.641264,1.990404,2.451504,9.178473,-28.839987,-298.610975,5.782826
0.020000,3.793025,1.909387,2.623537,8.601647,-28.841260,-0.063655,5.804118
0.020000,3.936395,1.837245,2.784034,8.024824,-28.841153,0.005347,5.831007
0.020000,4.071350,1.774188,2.932994,7.448018,-28.840339,0.040709,5.862165
0.020000,4.197690,1.720116,3.070419,6.871234,-28.839179,0.058000,5.896268
0.020000,4.315087,1.674662,3.196308,6.294480,-28.837698,0.074024,5.932001
0.020000,4.423144,1.637236,3.310663,5.717747,-28.836667,0.051548,5.968093
0.020000,4.521443,1.607080,3.413484,5.141032,-28.835736,0.046584,6.003365
0.020000,4.609584,1.583323,3.504770,4.564324,-28.835418,0.015887,6.036770
0.020000,4.687215,1.565048,3.584523,3.987613,-28.835515,-0.004840,6.067426
0.020000,4.754042,1.551347,3.652741,3.410899,-28.835733,-0.010911,6.094629
0.020000,4.809840,1.541366,3.709424,2.834174,-28.836239,-0.025315,6.117844
0.020000,4.854441,1.534354,3.754573,2.257439,-28.836765,-0.026290,6.136686
0.020000,4.887729,1.529683,3.788187,1.680685,-28.837696,-0.046560,6.150895
0.020000,4.909628,1.526874,3.810265,1.103922,-28.838120,-0.021176,6.160303
0.020000,4.920095,1.525605,3.820808,0.527166,-28.837806,0.015680,6.164816
0.020000,4.922466,1.525324,3.823196,0.119385,-20.389050,422.437809,6.165839
0.020000,4.922466,1.525324,3.823196,0.000000,-5.969258,720.989614,6.165839
0.020000,4.922466,1.525324,3.823196,0.000000,0.000000,298.462886,6.165839
