dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.988418,0.896765,0.000789,0.078891,3.944558,197.227894,2.515154
0.020000,15.987766,0.897238,0.001594,0.040255,-1.931797,-293.817728,2.514586
0.020000,15.986282,0.898314,0.003427,0.091659,2.570178,225.098712,2.513638
0.020000,15.980292,0.902669,0.010833,0.370272,13.930672,568.024731,2.512309
0.020000,15.972595,0.908283,0.020360,0.476355,5.304130,-431.327119,2.510596
0.020000,15.963191,0.915169,0.032015,0.582773,5.320906,0.838818,2.508495
0.020000,15.952087,0.923339,0.045802,0.689322,5.327467,0.328025,2.506002
0.020000,15.939283,0.932813,0.061729,0.796353,5.351544,1.203852,2.503113
0.020000,15.924788,0.943608,0.079802,0.903690,5.366840,0.764833,2.499822
0.020000,15.908606,0.955748,0.100032,1.011464,5.388685,1.092234,2.496122
0.020000,15.890742,0.969259,0.122430,1.119908,5.422219,1.676689,2.492007
0.020000,15.871206,0.984167,0.147004,1.228722,5.440681,0.923105,2.487468
0.020000,15.850007,1.000505,0.173769,1.338225,5.475181,1.724982,2.482498
0.020000,15.827154,1.018306,0.202736,1.448372,5.507331,1.607538,2.477086
0.020000,15.802661,1.037609,0.233922,1.559262,5.544483,1.857578,2.471222
0.020000,15.776541,1.058453,0.267339,1.670883,5.581072,1.829464,2.464896
0.020000,15.748809,1.080884,0.303007,1.783395,5.625595,2.226121,2.458095
0.020000,15.719483,1.104947,0.340942,1.896732,5.666853,2.062940,2.450809
0.020000,15.688584,1.130692,0.381161,2.010949,5.710871,2.200898,2.443023
0.020000,15.656135,1.158175,0.423684,2.126161,5.760568,2.484813,2.434725
0.020000,15.622161,1.187451,0.468532,2.242397,5.811834,2.563337,2.425899
0.020000,15.586694,1.218582,0.515723,2.359572,5.858718,2.344199,2.416533
0.020000,15.549765,1.251631,0.565281,2.477906,5.916695,2.898853,2.406610
0.020000,15.511414,1.286665,0.617226,2.597217,5.965560,2.443222,2.396117
0.020000,15.471682,1.323754,0.671578,2.717626,6.020457,2.744851,2.385037
0.020000,15.430617,1.362971,0.728361,2.839139,6.075628,2.758571,2.373355
0.020000,15.388274,1.404391,0.787594,2.961662,6.126162,2.526705,2.361058
0.020000,15.344712,1.448092,0.849298,3.085201,6.176965,2.540111,2.348130
0.020000,15.299999,1.494152,0.913492,3.209693,6.224591,2.381337,2.334558
0.020000,15.254209,1.542653,0.980193,3.335044,6.267573,2.149089,2.320330
0.020000,15.207426,1.593673,1.049416,3.461139,6.304753,1.858993,2.305436
0.020000,15.159740,1.647295,1.121174,3.587900,6.338021,1.663407,2.289866
0.020000,15.111254,1.703596,1.195475,3.715064,6.358203,1.009109,2.273614
0.020000,15.062079,1.762652,1.272325,3.842475,6.370551,0.617390,2.256678
0.020000,15.012334,1.824536,1.351723,3.969922,6.372353,0.090111,2.239055
0.020000,14.962152,1.889313,1.433664,4.097049,6.356355,-0.799926,2.220752
0.020000,14.911673,1.957044,1.518136,4.223607,6.327910,-1.422236,2.201776
0.020000,14.861050,2.027778,1.605119,4.349138,6.276521,-2.569469,2.182141
0.020000,14.810444,2.101557,1.694586,4.473356,6.210907,-3.280668,2.161866
0.020000,14.760024,2.178408,1.786500,4.595712,6.117806,-4.655048,2.140977
0.020000,14.709969,2.258346,1.880817,4.715813,6.005032,-5.638721,2.119507
0.020000,14.660462,2.341368,1.977479,4.833105,5.864596,-7.021789,2.097494
0.020000,14.611691,2.427456,2.076422,4.947180,5.703794,-8.040107,2.074984
0.020000,14.563847,2.516573,2.177570,5.057409,5.511435,-9.617936,2.052032
0.020000,14.517119,2.608664,2.280838,5.163368,5.297921,-10.675702,2.028698
0.020000,14.471695,2.703653,2.386130,5.264605,5.061861,-11.803033,2.005048
0.020000,14.427754,2.801448,2.493343,5.360634,4.801453,-13.020355,1.981156
0.020000,14.385468,2.901936,2.602365,5.451133,4.524968,-13.824251,1.957100
0.020000,14.344998,3.004989,2.713080,5.535752,4.230921,-14.702387,1.932963
0.020000,14.306488,3.110465,2.825366,5.614299,3.927386,-15.176757,1.908831
0.020000,14.270066,3.218208,2.939099,5.686614,3.615734,-15.582577,1.884792
0.020000,14.235843,3.328053,3.054152,5.752663,3.302468,-15.663315,1.860934
0.020000,14.203907,3.439830,3.170401,5.812475,2.990601,-15.593350,1.837346
0.020000,14.174326,3.553363,3.287725,5.866189,2.685661,-15.247008,1.814113
0.020000,14.147146,3.668478,3.406005,5.914013,2.391207,-14.722684,1.791319
0.020000,14.122392,3.785003,3.525130,5.956225,2.110630,-14.028848,1.769042
0.020000,14.100067,3.902769,3.644993,5.993165,1.846993,-13.181829,1.747358
0.020000,14.080157,4.021617,3.765498,6.025218,1.602651,-12.217144,1.726336
0.020000,14.062877,4.139565,3.884705,5.960363,-3.242761,-242.270580,1.706342
0.020000,14.048298,4.254515,4.000575,5.793527,-8.341782,-254.951048,1.687702
0.020000,14.036160,4.366264,4.112982,5.620341,-8.659305,-15.876140,1.670393
0.020000,14.026196,4.474839,4.222013,5.451546,-8.439749,10.977813,1.654354
0.020000,14.018159,4.580278,4.327758,5.287245,-8.215052,11.234841,1.639521
0.020000,14.011823,4.682630,4.430306,5.127421,-7.991214,11.191898,1.625831
0.020000,14.006985,4.781953,4.529747,4.972033,-7.769412,11.090080,1.613221
0.020000,14.003459,4.878308,4.626166,4.820965,-7.553408,10.800210,1.601629
0.020000,14.001078,4.971760,4.719648,4.674089,-7.343801,10.480359,1.590998
0.020000,13.999693,5.062374,4.810273,4.531238,-7.142515,10.064301,1.581270
0.020000,13.999167,5.150217,4.898118,4.392238,-6.950017,9.624876,1.572390
0.020000,13.999379,5.235355,4.983256,4.256911,-6.766360,9.182867,1.564307
0.020000,14.000220,5.317852,5.065757,4.125072,-6.591938,8.721093,1.556972
0.020000,14.001593,5.397771,5.145688,3.996557,-6.425766,8.308608,1.550337
0.020000,14.003412,5.475173,5.223112,3.871173,-6.269159,7.830356,1.544359
0.020000,14.005597,5.550117,5.298087,3.748767,-6.120336,7.441145,1.538995
0.020000,14.008081,5.622658,5.370671,3.629171,-5.979812,7.026195,1.534206
0.020000,14.010802,5.692850,5.440916,3.512243,-5.846371,6.672064,1.529953
0.020000,14.013707,5.760745,5.508872,3.397841,-5.720115,6.312781,1.526202
0.020000,14.016746,5.826391,5.574589,3.285826,-5.600729,5.969309,1.522919
0.020000,14.019878,5.889835,5.638111,3.176088,-5.486899,5.691472,1.520071
0.020000,14.023066,5.951123,5.699481,3.068506,-5.379117,5.389145,1.517629
0.020000,14.026278,6.010295,5.758740,2.962974,-5.276595,5.126077,1.515562
0.020000,14.029485,6.067393,5.815928,2.859396,-5.178883,4.885585,1.513844
0.020000,14.032664,6.122455,5.871082,2.757679,-5.085880,4.650166,1.512448
0.020000,14.035794,6.175517,5.924237,2.657740,-4.996926,4.447697,1.511349
0.020000,14.038858,6.226616,5.975427,2.559499,-4.912057,4.243474,1.510524
0.020000,14.041840,6.275783,6.024684,2.462883,-4.830816,4.062015,1.509949
0.020000,14.044728,6.323051,6.072041,2.367822,-4.753051,3.888275,1.509602
0.020000,14.047514,6.368451,6.117526,2.274251,-4.678548,3.725135,1.509462
0.020000,14.050189,6.412011,6.161168,2.182109,-4.607069,3.573947,1.509509
0.020000,14.052747,6.453759,6.202995,2.091339,-4.538521,3.427391,1.509724
0.020000,14.055184,6.493723,6.243032,2.001884,-4.472769,3.287633,1.510088
0.020000,14.057497,6.531927,6.281306,1.913692,-4.409591,3.158899,1.510584
0.020000,14.059685,6.568395,6.317840,1.826710,-4.349086,3.025228,1.511193
0.020000,14.061747,6.603152,6.352658,1.740891,-4.290949,2.906861,1.511901
0.020000,14.063684,6.636219,6.385782,1.656183,-4.235422,2.776343,1.512691
