dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.818948,2.044423,0.000789,0.078891,3.944558,197.227894,2.515154
0.020000,16.818948,2.044423,0.003156,0.157782,3.944558,0.000000,2.514586
0.020000,16.818551,2.044711,0.007100,0.236673,3.944558,0.000000,2.513638
0.020000,16.814084,2.047958,0.012623,0.315565,3.944558,-0.000000,2.512309
0.020000,16.808348,2.052142,0.019723,0.394456,3.944558,0.000000,2.510596
0.020000,16.801345,2.057270,0.028401,0.473347,3.944558,0.000000,2.508495
0.020000,16.793085,2.063347,0.038657,0.552238,3.944558,0.000000,2.506002
0.020000,16.783572,2.070386,0.050490,0.631129,3.944558,-0.000000,2.503113
0.020000,16.772816,2.078397,0.063902,0.710020,3.944558,0.000000,2.499822
0.020000,16.760826,2.087392,0.078891,0.788912,3.944558,-0.000000,2.496122
0.020000,16.747612,2.097386,0.095458,0.867803,3.944558,0.000000,2.492007
0.020000,16.733187,2.108393,0.113603,0.946694,3.944558,0.000000,2.487468
0.020000,16.717565,2.120433,0.133326,1.025585,3.944558,-0.000000,2.482498
0.020000,16.700762,2.133523,0.154627,1.104476,3.944558,0.000000,2.477086
0.020000,16.682793,2.147684,0.177505,1.183367,3.944558,-0.000000,2.471222
0.020000,16.663677,2.162938,0.201961,1.262259,3.944558,0.000000,2.464896
0.020000,16.643435,2.179310,0.227995,1.341150,3.944558,0.000000,2.458095
0.020000,16.622089,2.196825,0.255607,1.420041,3.944558,0.000000,2.450809
0.020000,16.599664,2.215510,0.284797,1.498932,3.944558,-0.000000,2.443023
0.020000,16.576186,2.235395,0.315565,1.577823,3.944558,0.000000,2.434725
0.020000,16.551683,2.256510,0.347910,1.656714,3.944558,-0.000000,2.425899
0.020000,16.526188,2.278887,0.381833,1.735605,3.944558,0.000000,2.416533
0.020000,16.499734,2.302562,0.417334,1.814497,3.944558,0.000000,2.406610
0.020000,16.472358,2.327570,0.454413,1.893388,3.944558,-0.000000,2.396117
0.020000,16.444100,2.353948,0.493070,1.972279,3.944558,0.000000,2.385037
0.020000,16.415003,2.381736,0.533304,2.051170,3.944558,0.000000,2.373355
0.020000,16.385113,2.410973,0.575117,2.130061,3.944558,0.000000,2.361058
0.020000,16.354481,2.441703,0.618507,2.208952,3.944558,-0.000000,2.348130
0.020000,16.323159,2.473968,0.663475,2.287844,3.944558,0.000000,2.334558
0.020000,16.291206,2.507813,0.710020,2.366735,3.944558,0.000000,2.320330
0.020000,16.258682,2.543282,0.758144,2.445626,3.944558,0.000000,2.305436
0.020000,16.225654,2.580422,0.807845,2.524517,3.944558,-0.000000,2.289866
0.020000,16.192192,2.619277,0.859125,2.603408,3.944558,0.000000,2.273614
