dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.649477,3.192081,0.000789,0.078891,3.944558,197.227894,2.515154
0.020000,17.650129,3.191608,0.001594,0.040255,-1.931797,-293.817728,2.514586
0.020000,17.650819,3.191108,0.002447,0.042628,0.118643,102.521999,2.513638
0.020000,17.647876,3.193248,0.006086,0.181971,6.967156,342.425652,2.512309
0.020000,17.644100,3.196002,0.010759,0.233636,2.583248,-219.195405,2.510596
0.020000,17.639500,3.199370,0.016461,0.285113,2.573838,-0.470525,2.508495
0.020000,17.634083,3.203356,0.023185,0.336222,2.555477,-0.918015,2.506002
0.020000,17.627861,3.207960,0.030927,0.387057,2.541710,-0.688389,2.503113
0.020000,17.620844,3.213186,0.039676,0.437450,2.519679,-1.101509,2.499822
0.020000,17.613046,3.219035,0.049423,0.487387,2.496857,-1.141116,2.496122
0.020000,17.604482,3.225513,0.060161,0.536900,2.475652,-1.060239,2.492007
0.020000,17.595169,3.232620,0.071877,0.585765,2.443219,-1.621693,2.487468
0.020000,17.585124,3.240361,0.084558,0.634055,2.414508,-1.435527,2.482498
0.020000,17.574369,3.248739,0.098191,0.681670,2.380726,-1.689102,2.477086
0.020000,17.562924,3.257758,0.112763,0.728578,2.345418,-1.765395,2.471222
0.020000,17.550814,3.267423,0.128257,0.774699,2.306045,-1.968628,2.464896
0.020000,17.538062,3.277737,0.144657,0.820032,2.266662,-1.969193,2.458095
0.020000,17.524696,3.288704,0.161947,0.864476,2.222223,-2.221927,2.450809
0.020000,17.510744,3.300328,0.180107,0.907991,2.175747,-2.323823,2.443023
0.020000,17.496237,3.312615,0.199118,0.950567,2.128777,-2.348460,2.434725
0.020000,17.481205,3.325569,0.218961,0.992162,2.079750,-2.451375,2.425899
0.020000,17.465682,3.339193,0.239615,1.032692,2.026484,-2.663318,2.416533
0.020000,17.449702,3.353494,0.261059,1.072217,1.976287,-2.509846,2.406610
0.020000,17.433302,3.368475,0.283272,1.110636,1.920937,-2.767498,2.396117
0.020000,17.416518,3.384142,0.306232,1.147992,1.867787,-2.657493,2.385037
0.020000,17.399389,3.400500,0.329918,1.184296,1.815186,-2.630062,2.373355
0.020000,17.381953,3.417556,0.354309,1.219539,1.762150,-2.651787,2.361058
0.020000,17.364249,3.435315,0.379384,1.253778,1.711975,-2.508733,2.348130
0.020000,17.346319,3.453785,0.405126,1.287071,1.664641,-2.366728,2.334558
0.020000,17.328203,3.472973,0.431516,1.319495,1.621187,-2.172672,2.320330
0.020000,17.309939,3.492891,0.458539,1.351155,1.583003,-1.909189,2.305436
0.020000,17.291568,3.513548,0.486183,1.382212,1.552858,-1.507293,2.289866
0.020000,17.273129,3.534958,0.514439,1.412801,1.529451,-1.170305,2.273614
0.020000,17.254660,3.557138,0.543302,1.443147,1.517289,-0.608108,2.256678
0.020000,17.236196,3.580107,0.572772,1.473505,1.517908,0.030921,2.239055
0.020000,17.217772,3.603888,0.602855,1.504132,1.531341,0.671650,2.220752
0.020000,17.199422,3.628509,0.633562,1.535379,1.562369,1.551425,2.201776
0.020000,17.181175,3.654004,0.664914,1.567577,1.609915,2.377311,2.182141
0.020000,17.163061,3.680412,0.696937,1.601173,1.679791,3.493792,2.161866
0.020000,17.145106,3.707779,0.729668,1.636566,1.769623,4.491605,2.140977
