dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.340571,11.857799,0.000799,0.079865,3.993253,199.662633,0.011617
0.020000,5.340784,11.857802,0.001011,0.010634,-3.461574,-372.741312,0.011467
0.020000,5.341138,11.857806,0.001366,0.017735,0.355053,190.831334,0.011217
0.020000,5.345206,11.857850,0.005434,0.203388,9.282643,446.379503,0.010866
0.020000,5.353033,11.857934,0.013262,0.391391,9.400174,5.876556,0.010414
0.020000,5.362602,11.858031,0.022831,0.478450,4.352966,-252.360410,0.009861
0.020000,5.373912,11.858138,0.034142,0.565560,4.355466,0.124992,0.009205
0.020000,5.386966,11.858254,0.047196,0.652713,4.357688,0.111122,0.008447
0.020000,5.401764,11.858372,0.061994,0.739911,4.359877,0.109408,0.007585
0.020000,5.418308,11.858490,0.078539,0.827234,4.366148,0.313583,0.006618
0.020000,5.436600,11.858601,0.096831,0.914595,4.368043,0.094748,0.005544
0.020000,5.456641,11.858700,0.116872,1.002055,4.373034,0.249542,0.004364
0.020000,5.478433,11.858781,0.138664,1.089616,4.378012,0.248914,0.003075
0.020000,5.501978,11.858837,0.162210,1.177277,4.383048,0.251807,0.001676
0.020000,5.527280,11.858861,0.187512,1.265098,4.391046,0.399873,0.000165
0.020000,5.554340,11.858843,0.214572,1.352997,4.394976,0.196518,6.281725
0.020000,5.583161,11.858776,0.243393,1.441053,4.402819,0.392131,6.279985
0.020000,5.613746,11.858650,0.273978,1.529269,4.410756,0.396835,6.278126
0.020000,5.646098,11.858454,0.306331,1.617638,4.418478,0.386107,6.276148
0.020000,5.680220,11.858178,0.340454,1.706158,4.425989,0.375555,6.274047
0.020000,5.716116,11.857810,0.376352,1.794898,4.436983,0.549689,6.271822
0.020000,5.753789,11.857338,0.414028,1.883793,4.444753,0.388528,6.269468
0.020000,5.793243,11.856748,0.453486,1.972911,4.455941,0.559413,6.266984
0.020000,5.834482,11.856025,0.494731,2.062251,4.466970,0.551454,6.264366
0.020000,5.877509,11.855156,0.537767,2.151808,4.477846,0.543774,6.261612
0.020000,5.922329,11.854125,0.582599,2.241604,4.489832,0.599279,6.258717
0.020000,5.968947,11.852913,0.629233,2.331671,4.503335,0.675191,6.255678
0.020000,6.017367,11.851504,0.677673,2.422006,4.516741,0.670292,6.252491
0.020000,6.067593,11.849878,0.727925,2.512611,4.530228,0.674335,6.249153
0.020000,6.119629,11.848015,0.779995,2.603510,4.544960,0.736611,6.245659
0.020000,6.173483,11.845895,0.833891,2.694766,4.562806,0.892285,6.242004
0.020000,6.229157,11.843495,0.889616,2.786284,4.575917,0.655544,6.238185
0.020000,6.286658,11.840791,0.947180,2.878204,4.595973,1.002791,6.234195
0.020000,6.345989,11.837758,1.006590,2.970458,4.612698,0.836250,6.230031
0.020000,6.407157,11.834371,1.067851,3.063088,4.631530,0.941642,6.225686
0.020000,6.470168,11.830601,1.130974,3.156147,4.652956,1.071306,6.221155
0.020000,6.535024,11.826419,1.195965,3.249563,4.670788,0.891583,6.216433
0.020000,6.601734,11.821795,1.262835,3.343478,4.695733,1.247220,6.211512
0.020000,6.670300,11.816696,1.331591,3.437802,4.716217,1.024232,6.206387
