dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.357028,10.441245,0.000799,0.079865,3.993253,199.662633,0.011617
0.020000,5.357028,10.441245,0.003195,0.159730,3.993253,0.000000,0.011467
0.020000,5.357028,10.441245,0.007188,0.239595,3.993253,-0.000000,0.011217
0.020000,5.360599,10.441284,0.012778,0.319460,3.993253,0.000000,0.010866
0.020000,5.367786,10.441360,0.019966,0.399325,3.993253,-0.000000,0.010414
0.020000,5.376571,10.441449,0.028751,0.479190,3.993253,0.000000,0.009861
0.020000,5.386953,10.441548,0.039134,0.559055,3.993253,0.000000,0.009205
0.020000,5.398932,10.441654,0.051114,0.638920,3.993253,0.000000,0.008447
0.020000,5.412508,10.441763,0.064691,0.718785,3.993253,-0.000000,0.007585
0.020000,5.427683,10.441871,0.079865,0.798651,3.993253,0.000000,0.006618
0.020000,5.444454,10.441973,0.096637,0.878516,3.993253,0.000000,0.005544
0.020000,5.462823,10.442064,0.115006,0.958381,3.993253,-0.000000,0.004364
0.020000,5.482789,10.442138,0.134972,1.038246,3.993253,-0.000000,0.003075
0.020000,5.504352,10.442189,0.156536,1.118111,3.993253,0.000000,0.001676
0.020000,5.527513,10.442211,0.179696,1.197976,3.993253,-0.000000,0.000165
0.020000,5.552271,10.442195,0.204455,1.277841,3.993253,0.000000,6.281725
0.020000,5.578627,10.442133,0.230810,1.357706,3.993253,-0.000000,6.279985
0.020000,5.606579,10.442018,0.258763,1.437571,3.993253,-0.000000,6.278126
0.020000,5.636129,10.441839,0.288313,1.517436,3.993253,0.000000,6.276148
0.020000,5.667275,10.441587,0.319460,1.597301,3.993253,-0.000000,6.274047
0.020000,5.700018,10.441252,0.352205,1.677166,3.993253,0.000000,6.271822
0.020000,5.734357,10.440821,0.386547,1.757031,3.993253,-0.000000,6.269468
0.020000,5.770293,10.440283,0.422486,1.836896,3.993253,-0.000000,6.266984
0.020000,5.807824,10.439626,0.460023,1.916761,3.993253,0.000000,6.264366
0.020000,5.846949,10.438836,0.499157,1.996626,3.993253,0.000000,6.261612
0.020000,5.887670,10.437899,0.539888,2.076491,3.993253,-0.000000,6.258717
0.020000,5.929984,10.436799,0.582216,2.156356,3.993253,0.000000,6.255678
0.020000,5.973891,10.435521,0.626142,2.236221,3.993253,0.000000,6.252491
0.020000,6.019390,10.434048,0.671665,2.316087,3.993253,-0.000000,6.249153
0.020000,6.066480,10.432363,0.718785,2.395952,3.993253,0.000000,6.245659
0.020000,6.115161,10.430446,0.767503,2.475817,3.993253,0.000000,6.242004
