dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.373486,9.024690,0.000799,0.079865,3.993253,199.662633,0.011617
0.020000,5.373273,9.024688,0.001011,0.010634,-3.461574,-372.741312,0.011467
0.020000,5.372918,9.024684,0.001366,0.017735,0.355053,190.831334,0.011217
0.020000,5.375992,9.024718,0.004440,0.153675,6.797023,322.098515,0.010866
0.020000,5.382539,9.024787,0.010987,0.327381,8.685273,94.412501,0.010414
0.020000,5.390540,9.024868,0.018988,0.400061,3.634004,-252.563462,0.009861
0.020000,5.399993,9.024958,0.028442,0.472698,3.631844,-0.107996,0.009205
0.020000,5.410898,9.025055,0.039348,0.545271,3.628662,-0.159095,0.008447
0.020000,5.423253,9.025154,0.051703,0.617764,3.624654,-0.200407,0.007585
0.020000,5.437057,9.025252,0.065508,0.690229,3.623246,-0.070419,0.006618
0.020000,5.452309,9.025345,0.080759,0.762576,3.617363,-0.294123,0.005544
0.020000,5.469005,9.025427,0.097456,0.834841,3.613232,-0.206582,0.004364
0.020000,5.487145,9.025495,0.115596,0.907006,3.608241,-0.249516,0.003075
0.020000,5.506726,9.025541,0.135177,0.979054,3.602436,-0.290247,0.001676
0.020000,5.527747,9.025561,0.156197,1.051018,3.598212,-0.211224,0.000165
0.020000,5.550203,9.025546,0.178654,1.122813,3.589708,-0.425197,6.281725
0.020000,5.574092,9.025490,0.202543,1.194483,3.583536,-0.308623,6.279985
0.020000,5.599412,9.025386,0.227864,1.266013,3.576497,-0.351940,6.278126
0.020000,5.626160,9.025224,0.254611,1.337380,3.568315,-0.409112,6.276148
0.020000,5.654330,9.024996,0.282782,1.408559,3.558970,-0.467210,6.274047
0.020000,5.683920,9.024693,0.312374,1.479589,3.551484,-0.374295,6.271822
0.020000,5.714926,9.024304,0.343382,1.550395,3.540294,-0.559502,6.269468
0.020000,5.747342,9.023819,0.375802,1.621012,3.530847,-0.472375,6.266984
0.020000,5.781165,9.023227,0.409631,1.691415,3.520159,-0.534399,6.264366
0.020000,5.816390,9.022516,0.444862,1.761579,3.508206,-0.597627,6.261612
0.020000,5.853010,9.021673,0.481492,1.831499,3.495991,-0.610750,6.258717
0.020000,5.891021,9.020685,0.519516,1.901175,3.483806,-0.609293,6.255678
0.020000,5.930415,9.019538,0.558927,1.970581,3.470289,-0.675834,6.252491
0.020000,5.971188,9.018218,0.599721,2.039692,3.455553,-0.736808,6.249153
