dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.544856,7.144652,0.000799,0.079875,3.993771,199.688526,3.163100
0.020000,17.545651,7.144670,0.001594,0.039739,-2.006801,-300.028564,3.163661
0.020000,17.546975,7.144700,0.002918,0.066243,1.325187,166.599402,3.164597
0.020000,17.546659,7.144691,0.003235,0.015808,-2.521737,-192.346195,3.165906
0.020000,17.541860,7.144571,0.008035,0.240039,11.211523,686.662981,3.167592
0.020000,17.535998,7.144412,0.013900,0.293224,2.659237,-427.614311,3.169655
0.020000,17.529076,7.144209,0.020825,0.346236,2.650633,-0.430188,3.172097
0.020000,17.521098,7.143955,0.028807,0.399119,2.644162,-0.323559,3.174919
0.020000,17.512066,7.143639,0.037844,0.451875,2.637800,-0.318099,3.178125
0.020000,17.501983,7.143252,0.047934,0.504499,2.631167,-0.331643,3.181716
0.020000,17.490856,7.142784,0.059071,0.556845,2.617300,-0.693335,3.185694
0.020000,17.478688,7.142220,0.071253,0.609072,2.611379,-0.296068,3.190063
0.020000,17.465483,7.141548,0.084475,0.661103,2.601551,-0.491418,3.194826
0.020000,17.451247,7.140753,0.098732,0.712881,2.588884,-0.633308,3.199985
0.020000,17.435986,7.139818,0.114022,0.764475,2.579679,-0.460245,3.205543
0.020000,17.419705,7.138727,0.130340,0.815886,2.570574,-0.455258,3.211504
0.020000,17.402412,7.137460,0.147679,0.866979,2.554640,-0.796712,3.217870
0.020000,17.384110,7.135999,0.166040,0.918021,2.552101,-0.126934,3.224644
0.020000,17.364807,7.134323,0.185415,0.968775,2.537713,-0.719408,3.231829
0.020000,17.344509,7.132408,0.205803,1.019374,2.529958,-0.387785,3.239427
0.020000,17.323224,7.130233,0.227199,1.069822,2.522380,-0.378872,3.247440
0.020000,17.300956,7.127772,0.249603,1.120190,2.518408,-0.198586,3.255871
0.020000,17.277711,7.125000,0.273012,1.170457,2.513329,-0.253977,3.264719
0.020000,17.253496,7.121890,0.297426,1.220693,2.511827,-0.075080,3.273986
0.020000,17.228317,7.118412,0.322844,1.270929,2.511777,-0.002499,3.283670
0.020000,17.202177,7.114539,0.349270,1.321261,2.516600,0.241124,3.293773
0.020000,17.175082,7.110237,0.376704,1.371730,2.523462,0.343120,3.304290
0.020000,17.147035,7.105476,0.405152,1.422395,2.533236,0.488699,3.315219
0.020000,17.118038,7.100221,0.434621,1.473460,2.553252,1.000784,3.326556
0.020000,17.088095,7.094436,0.465118,1.524839,2.568967,0.785738,3.338294
0.020000,17.057206,7.088085,0.496653,1.576761,2.596081,1.355700,3.350427
0.020000,17.025371,7.081130,0.529240,1.629316,2.627736,1.582773,3.362946
0.020000,16.992588,7.073530,0.562892,1.682604,2.664430,1.834687,3.375840
0.020000,16.958855,7.065244,0.597627,1.736779,2.708759,2.216468,3.389097
0.020000,16.924168,7.056227,0.633467,1.791973,2.759676,2.545850,3.402703
0.020000,16.888522,7.046435,0.670434,1.848337,2.818189,2.925632,3.416640
0.020000,16.851910,7.035820,0.708553,1.905989,2.882596,3.220337,3.430891
0.020000,16.814324,7.024334,0.747855,1.965099,2.955535,3.646954,3.445436
0.020000,16.775754,7.011925,0.788372,2.025857,3.037893,4.117935,3.460250
0.020000,16.736190,6.998541,0.830139,2.088327,3.123506,4.280624,3.475310
0.020000,16.695619,6.984127,0.873194,2.152755,3.221407,4.895084,3.490588
0.020000,16.654030,6.968626,0.917578,2.219209,3.322670,5.063148,3.506055
0.020000,16.611407,6.951982,0.963335,2.287857,3.432395,5.486211,3.521681
0.020000,16.567738,6.934133,1.010512,2.358825,3.548426,5.801561,3.537433
0.020000,16.523005,6.915020,1.059156,2.432225,3.669999,6.078667,3.553276
0.020000,16.477195,6.894581,1.109319,2.508142,3.795859,6.292994,3.569175
0.020000,16.430292,6.872753,1.161053,2.586674,3.926565,6.535287,3.585092
0.020000,16.382281,6.849472,1.214410,2.667884,4.060497,6.696592,3.600992
0.020000,16.333147,6.824676,1.269447,2.751815,4.196568,6.803584,3.616833
0.020000,16.282876,6.798302,1.326217,2.838497,4.334089,6.876043,3.632579
0.020000,16.231453,6.770287,1.384775,2.927942,4.472241,6.907570,3.648189
0.020000,16.178866,6.740569,1.445178,3.020140,4.609936,6.884769,3.663626
0.020000,16.125103,6.709090,1.507480,3.115063,4.746140,6.810186,3.678850
0.020000,16.070152,6.675790,1.571733,3.212672,4.880445,6.715252,3.693824
0.020000,16.014002,6.640615,1.637991,3.312905,5.011634,6.559480,3.708510
0.020000,15.956642,6.603512,1.706305,3.415696,5.139574,6.396987,3.722873
0.020000,15.898063,6.564430,1.776725,3.520974,5.263919,6.217242,3.736878
0.020000,15.838255,6.523323,1.849297,3.628627,5.382645,5.936283,3.750490
0.020000,15.777207,6.480149,1.924069,3.738591,5.498189,5.777221,3.763677
0.020000,15.714910,6.434868,2.001084,3.850759,5.608394,5.510261,3.776408
0.020000,15.651351,6.387445,2.080385,3.965038,5.713958,5.278204,3.788654
0.020000,15.586518,6.337851,2.162012,4.081343,5.815222,5.063196,3.800386
0.020000,15.520396,6.286059,2.246003,4.199564,5.911049,4.791359,3.811576
0.020000,15.452968,6.232047,2.332396,4.319671,6.005371,4.716062,3.822198
0.020000,15.384214,6.175799,2.421227,4.441540,6.093429,4.402929,3.832227
0.020000,15.314113,6.117301,2.512530,4.565162,6.181122,4.384638,3.841639
0.020000,15.242636,6.056544,2.606340,4.690471,6.265463,4.217074,3.850410
0.020000,15.169754,5.993526,2.702689,4.817444,6.348622,4.157938,3.858515
0.020000,15.095431,5.928246,2.801610,4.946068,6.431235,4.130636,3.865933
0.020000,15.019625,5.860710,2.903137,5.076334,6.513289,4.102711,3.872638
0.020000,14.942289,5.790927,3.007303,5.208301,6.598352,4.253166,3.878609
0.020000,14.863369,5.718910,3.114142,5.341972,6.683547,4.259715,3.883820
0.020000,14.782805,5.644678,3.223691,5.477432,6.773001,4.472705,3.888246
0.020000,14.700528,5.568254,3.335986,5.614759,6.866351,4.667497,3.891862
0.020000,14.616461,5.489664,3.451067,5.754055,6.964769,4.920928,3.894638
0.020000,14.530517,5.408942,3.568976,5.895438,7.069181,5.220565,3.896546
0.020000,14.442600,5.326125,3.689757,6.039070,7.181580,5.619952,3.897554
0.020000,14.353245,5.241862,3.812576,6.140917,5.092339,-104.462009,3.897631
0.020000,14.263539,5.157334,3.935832,6.162813,1.094830,-199.875497,3.896778
0.020000,14.173959,5.073145,4.058764,6.146622,-0.809552,-95.219069,3.895025
0.020000,14.084465,4.989405,4.181328,6.128166,-0.922835,-5.664165,3.892406
0.020000,13.995017,4.906217,4.303480,6.107596,-1.028500,-5.283249,3.888949
0.020000,13.905580,4.823681,4.425180,6.085039,-1.127802,-4.965094,3.884683
0.020000,13.816121,4.741893,4.546392,6.060600,-1.221988,-4.709326,3.879634
0.020000,13.726607,4.660944,4.667080,6.034374,-1.311267,-4.463932,3.873828
0.020000,13.637013,4.580921,4.787208,6.006407,-1.398390,-4.356136,3.867288
0.020000,13.547314,4.501910,4.906743,5.976767,-1.481995,-4.180234,3.860040
0.020000,13.457491,4.423992,5.025652,5.945456,-1.565554,-4.177968,3.852106
0.020000,13.367528,4.347247,5.143902,5.912498,-1.647857,-4.115173,3.843510
0.020000,13.277415,4.271753,5.261460,5.877882,-1.730830,-4.148648,3.834274
0.020000,13.187147,4.197582,5.378292,5.841575,-1.815340,-4.225489,3.824424
0.020000,13.096722,4.124809,5.494363,5.803565,-1.900501,-4.258053,3.813982
0.020000,13.006149,4.053501,5.609638,5.763754,-1.990559,-4.502889,3.802975
0.020000,12.915436,3.983728,5.724081,5.722132,-2.081090,-4.526578,3.791427
0.020000,12.824603,3.915553,5.837652,5.678576,-2.177796,-4.835258,3.779367
0.020000,12.733673,3.849038,5.950313,5.633031,-2.277248,-4.972605,3.766822
0.020000,12.642677,3.784243,6.062021,5.585404,-2.381377,-5.206474,3.753822
0.020000,12.551651,3.721223,6.172733,5.535607,-2.489807,-5.421479,3.740397
0.020000,12.460639,3.660030,6.282404,5.483557,-2.602535,-5.636389,3.726579
