dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.514390,8.560975,0.000799,0.079875,3.993771,199.688526,3.163100
0.020000,17.514390,8.560975,0.003195,0.159751,3.993771,0.000000,3.163661
0.020000,17.514390,8.560975,0.007189,0.239626,3.993771,0.000000,3.164597
0.020000,17.512219,8.560923,0.012780,0.319502,3.993771,-0.000000,3.165906
0.020000,17.505032,8.560742,0.019969,0.399377,3.993771,0.000000,3.167592
0.020000,17.496249,8.560504,0.028755,0.479252,3.993771,0.000000,3.169655
0.020000,17.485869,8.560200,0.039139,0.559128,3.993771,-0.000000,3.172097
0.020000,17.473895,8.559818,0.051120,0.639003,3.993771,-0.000000,3.174919
0.020000,17.460324,8.559344,0.064699,0.718879,3.993771,0.000000,3.178125
0.020000,17.445158,8.558762,0.079875,0.798754,3.993771,-0.000000,3.181716
0.020000,17.428400,8.558056,0.096649,0.878630,3.993771,0.000000,3.185694
0.020000,17.410049,8.557206,0.115021,0.958505,3.993771,-0.000000,3.190063
0.020000,17.390105,8.556191,0.134989,1.038380,3.993771,-0.000000,3.194826
0.020000,17.368573,8.554988,0.156556,1.118256,3.993771,0.000000,3.199985
0.020000,17.345452,8.553572,0.179720,1.198131,3.993771,-0.000000,3.205543
0.020000,17.320746,8.551916,0.204481,1.278007,3.993771,-0.000000,3.211504
0.020000,17.294459,8.549991,0.230840,1.357882,3.993771,0.000000,3.217870
0.020000,17.266590,8.547766,0.258796,1.437757,3.993771,0.000000,3.224644
0.020000,17.237147,8.545209,0.288350,1.517633,3.993771,-0.000000,3.231829
0.020000,17.206133,8.542284,0.319502,1.597508,3.993771,0.000000,3.239427
0.020000,17.173555,8.538955,0.352251,1.677384,3.993771,0.000000,3.247440
0.020000,17.139416,8.535182,0.386597,1.757259,3.993771,0.000000,3.255871
0.020000,17.103725,8.530926,0.422541,1.837134,3.993771,-0.000000,3.264719
0.020000,17.066489,8.526142,0.460082,1.917010,3.993771,0.000000,3.273986
0.020000,17.027719,8.520788,0.499221,1.996885,3.993771,0.000000,3.283670
0.020000,16.987423,8.514816,0.539958,2.076761,3.993771,-0.000000,3.293773
0.020000,16.945612,8.508179,0.582292,2.156636,3.993771,0.000000,3.304290
0.020000,16.902302,8.500826,0.626223,2.236511,3.993771,0.000000,3.315219
0.020000,16.857502,8.492707,0.671752,2.316387,3.993771,-0.000000,3.326556
0.020000,16.811231,8.483768,0.718879,2.396262,3.993771,0.000000,3.338294
0.020000,16.763506,8.473956,0.767603,2.476138,3.993771,-0.000000,3.350427
0.020000,16.714344,8.463215,0.817924,2.556013,3.993771,0.000000,3.362946
0.020000,16.663767,8.451490,0.869843,2.635889,3.993771,0.000000,3.375840
0.020000,16.611797,8.438724,0.923360,2.715764,3.993771,0.000000,3.389097
0.020000,16.558456,8.424858,0.978474,2.795639,3.993771,0.000000,3.402703
0.020000,16.503770,8.409836,1.035185,2.875515,3.993771,0.000000,3.416640
0.020000,16.447768,8.393600,1.093494,2.955390,3.993771,-0.000000,3.430891
0.020000,16.390478,8.376093,1.153401,3.035266,3.993771,0.000000,3.445436
0.020000,16.331929,8.357257,1.214905,3.115141,3.993771,0.000000,3.460250
0.020000,16.272156,8.337036,1.278007,3.195016,3.993771,-0.000000,3.475310
0.020000,16.211191,8.315377,1.342706,3.274892,3.993771,0.000000,3.490588
0.020000,16.149069,8.292224,1.409002,3.354767,3.993771,-0.000000,3.506055
0.020000,16.085827,8.267528,1.476896,3.434643,3.993771,0.000000,3.521681
0.020000,16.021501,8.241238,1.546388,3.514518,3.993771,-0.000000,3.537433
0.020000,15.956129,8.213307,1.617477,3.594393,3.993771,-0.000000,3.553276
0.020000,15.889751,8.183692,1.690164,3.674269,3.993771,0.000000,3.569175
0.020000,15.822403,8.152349,1.764448,3.754144,3.993771,-0.000000,3.585092
0.020000,15.754126,8.119243,1.840329,3.834020,3.993771,0.000000,3.600992
0.020000,15.684956,8.084337,1.917809,3.913895,3.993771,-0.000000,3.616833
0.020000,15.614931,8.047601,1.996885,3.993771,3.993771,0.000000,3.632579
0.020000,15.544089,8.009007,2.077559,4.073646,3.993771,-0.000000,3.648189
0.020000,15.472463,7.968531,2.159831,4.153521,3.993771,-0.000000,3.663626
0.020000,15.400087,7.926156,2.243700,4.233397,3.993771,0.000000,3.678850
0.020000,15.326994,7.881864,2.329167,4.313272,3.993771,-0.000000,3.693824
0.020000,15.253212,7.835645,2.416231,4.393148,3.993771,0.000000,3.708510
0.020000,15.178767,7.787491,2.504893,4.473023,3.993771,-0.000000,3.722873
0.020000,15.103684,7.737400,2.595152,4.552898,3.993771,-0.000000,3.736878
0.020000,15.027984,7.685372,2.687009,4.632774,3.993771,0.000000,3.750490
0.020000,14.951683,7.631411,2.780463,4.712649,3.993771,-0.000000,3.763677
0.020000,14.874795,7.575527,2.875515,4.792525,3.993771,0.000000,3.776408
0.020000,14.797331,7.517732,2.972164,4.872400,3.993771,-0.000000,3.788654
0.020000,14.719297,7.458041,3.070411,4.952275,3.993771,0.000000,3.800386
0.020000,14.640695,7.396475,3.170255,5.032151,3.993771,0.000000,3.811576
