dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.483923,9.977297,0.000799,0.079875,3.993771,199.688526,3.163100
0.020000,17.483129,9.977280,0.001594,0.039739,-2.006801,-300.028564,3.163661
0.020000,17.481804,9.977250,0.002918,0.066243,1.325187,166.599402,3.164597
0.020000,17.477778,9.977154,0.006946,0.201380,6.756833,271.582273,3.165906
0.020000,17.468205,9.976913,0.016522,0.478799,13.870965,355.706607,3.167592
0.020000,17.456500,9.976597,0.028231,0.585473,5.333671,-426.864708,3.169655
0.020000,17.442663,9.976191,0.042074,0.692147,5.333730,0.002978,3.172097
0.020000,17.426691,9.975681,0.058054,0.798963,5.340808,0.353899,3.174919
0.020000,17.408583,9.975049,0.076173,0.905977,5.350693,0.494224,3.178125
0.020000,17.388333,9.974272,0.096438,1.013225,5.362409,0.585831,3.181716
0.020000,17.365944,9.973329,0.118847,1.120459,5.361679,-0.036509,3.185694
0.020000,17.341410,9.972192,0.143408,1.228033,5.378694,0.850727,3.190063
0.020000,17.314728,9.970834,0.170124,1.335819,5.389297,0.530156,3.194826
0.020000,17.285898,9.969224,0.198998,1.443722,5.395175,0.293888,3.199985
0.020000,17.254919,9.967326,0.230036,1.551894,5.408603,0.671411,3.205543
0.020000,17.221786,9.965105,0.263243,1.660340,5.422296,0.684637,3.211504
0.020000,17.186505,9.962522,0.298618,1.768770,5.421515,-0.039035,3.217870
0.020000,17.149070,9.959533,0.336173,1.877707,5.446840,1.266239,3.224644
0.020000,17.109487,9.956095,0.375905,1.986628,5.446047,-0.039656,3.231829
0.020000,17.067757,9.952160,0.417820,2.095749,5.456048,0.500051,3.239427
0.020000,17.023885,9.947676,0.461920,2.205005,5.462790,0.337126,3.247440
0.020000,16.977876,9.942592,0.508209,2.314452,5.472375,0.479248,3.255871
0.020000,16.929739,9.936851,0.556688,2.423933,5.474037,0.083076,3.264719
0.020000,16.879482,9.930395,0.607357,2.533460,5.476317,0.114036,3.273986
0.020000,16.827121,9.923164,0.660216,2.642932,5.473624,-0.134683,3.283670
0.020000,16.772668,9.915094,0.715263,2.752368,5.471799,-0.091252,3.293773
0.020000,16.716143,9.906121,0.772496,2.861641,5.463631,-0.408388,3.304290
0.020000,16.657569,9.896177,0.831909,2.970631,5.449543,-0.704390,3.315219
0.020000,16.596966,9.885193,0.893499,3.079500,5.443444,-0.304937,3.326556
0.020000,16.534368,9.873100,0.957254,3.187771,5.413523,-1.496081,3.338294
0.020000,16.469806,9.859827,1.023166,3.295594,5.391164,-1.117936,3.350427
0.020000,16.403318,9.845301,1.091222,3.402807,5.360655,-1.525432,3.362946
0.020000,16.334947,9.829451,1.161407,3.509242,5.321718,-1.946888,3.375840
0.020000,16.264738,9.812204,1.233703,3.614813,5.278555,-2.158127,3.389097
0.020000,16.192743,9.793490,1.308091,3.719370,5.227890,-2.533266,3.402703
0.020000,16.119018,9.773238,1.384546,3.822788,5.170900,-2.849458,3.416640
0.020000,16.043626,9.751380,1.463043,3.924856,5.103373,-3.376380,3.430891
0.020000,15.966631,9.727852,1.543553,4.025462,5.030324,-3.652455,3.445436
0.020000,15.888104,9.702588,1.626043,4.124529,4.953334,-3.849489,3.460250
0.020000,15.808122,9.675532,1.710478,4.221729,4.859984,-4.667517,3.475310
0.020000,15.726762,9.646627,1.796820,4.317111,4.769111,-4.543621,3.490588
0.020000,15.644108,9.615823,1.885028,4.410380,4.663443,-5.283426,3.506055
0.020000,15.560246,9.583074,1.975057,4.501469,4.554447,-5.449807,3.521681
0.020000,15.475264,9.548343,2.066862,4.590254,4.439256,-5.759527,3.537433
0.020000,15.389253,9.511594,2.160394,4.676617,4.318173,-6.054173,3.553276
0.020000,15.302306,9.472802,2.255603,4.760435,4.190884,-6.364420,3.569175
0.020000,15.214514,9.431946,2.352436,4.841651,4.060790,-6.504719,3.585092
0.020000,15.125970,9.389013,2.450840,4.920196,3.927281,-6.675437,3.600992
0.020000,15.036764,9.343997,2.550760,4.996016,3.790968,-6.815647,3.616833
0.020000,14.946987,9.296899,2.652142,5.069081,3.653269,-6.884957,3.632579
0.020000,14.856724,9.247727,2.754930,5.139388,3.515344,-6.896243,3.648189
0.020000,14.766059,9.196494,2.859069,5.206944,3.377815,-6.876472,3.663626
0.020000,14.675072,9.143222,2.964504,5.271770,3.241297,-6.825880,3.678850
0.020000,14.583836,9.087938,3.071182,5.333916,3.107294,-6.700130,3.693824
0.020000,14.492422,9.030675,3.179051,5.393430,2.975700,-6.579743,3.708510
0.020000,14.400892,8.971471,3.288059,5.450389,2.847942,-6.387859,3.722873
0.020000,14.309305,8.910370,3.398156,5.504884,2.724735,-6.160388,3.736878
0.020000,14.217712,8.847421,3.509296,5.556962,2.603895,-6.041974,3.750490
0.020000,14.126158,8.782674,3.621431,5.606759,2.489851,-5.702214,3.763677
0.020000,14.034680,8.716187,3.734518,5.654349,2.379515,-5.516814,3.776408
0.020000,13.943312,8.648018,3.848514,5.699827,2.273926,-5.279429,3.788654
0.020000,13.852076,8.578231,3.963380,5.743291,2.173195,-5.036548,3.800386
0.020000,13.760993,8.506891,4.079076,5.784793,2.075098,-4.904859,3.811576
0.020000,13.670075,8.434065,4.195566,5.824476,1.984153,-4.547243,3.822198
0.020000,13.579327,8.359825,4.312812,5.862330,1.892685,-4.573400,3.832227
0.020000,13.488750,8.284243,4.430782,5.898476,1.807314,-4.268545,3.841639
0.020000,13.398339,8.207394,4.549440,5.932926,1.722472,-4.242108,3.850410
0.020000,13.308084,8.129357,4.668754,5.965713,1.639340,-4.156611,3.858515
0.020000,13.217969,8.050209,4.788691,5.996850,1.556888,-4.122613,3.865933
0.020000,13.127976,7.970036,4.909218,6.026315,1.473227,-4.183042,3.872638
0.020000,13.038080,7.888921,5.030300,6.054127,1.390609,-4.130908,3.878609
0.020000,12.948254,7.806953,5.151904,6.080198,1.303543,-4.353260,3.883820
0.020000,12.858466,7.724223,5.273994,6.104493,1.214741,-4.440105,3.888246
0.020000,12.768684,7.640828,5.396533,6.126924,1.121543,-4.659925,3.891862
0.020000,12.678869,7.556867,5.519480,6.147385,1.023048,-4.924740,3.894638
0.020000,12.588984,7.472444,5.642795,6.165745,0.918031,-5.250838,3.896546
0.020000,12.498988,7.387668,5.766433,6.181872,0.806332,-5.584965,3.897554
0.020000,12.409475,7.303257,5.889469,6.151794,-1.503866,-115.509914,3.897631
0.020000,12.321529,7.220387,6.010307,6.041915,-5.493997,-199.506516,3.896778
0.020000,12.235568,7.139598,6.128274,5.898358,-7.177801,-84.190228,3.895025
0.020000,12.151493,7.060928,6.243415,5.757061,-7.064870,5.646557,3.892406
0.020000,12.069218,6.984410,6.355773,5.617877,-6.959214,5.282785,3.888949
0.020000,11.988664,6.910071,6.465386,5.480678,-6.859915,4.964953,3.884683
0.020000,11.909763,6.837934,6.572293,5.345357,-6.766063,4.692598,3.879634
0.020000,11.832452,6.768018,6.676530,5.211839,-6.675886,4.508847,3.873828
0.020000,11.756676,6.700336,6.778131,5.080042,-6.589886,4.300019,3.867288
0.020000,11.682389,6.634899,6.877130,4.949940,-6.505069,4.240873,3.860040
0.020000,11.609547,6.571710,6.973560,4.821488,-6.422634,4.121725,3.852106
0.020000,11.538115,6.510772,7.067453,4.694689,-6.339919,4.135753,3.843510
0.020000,11.468061,6.452080,7.158844,4.569550,-6.256972,4.147334,3.834274
0.020000,11.399357,6.395627,7.247766,4.446089,-6.173035,4.196875,3.824424
0.020000,11.331981,6.341400,7.334254,4.324366,-6.086158,4.343822,3.813982
0.020000,11.265913,6.289383,7.418341,4.204399,-5.998373,4.389282,3.802975
0.020000,11.201134,6.239555,7.500067,4.086291,-5.905388,4.649262,3.791427
0.020000,11.137631,6.191891,7.579469,3.970080,-5.810523,4.743205,3.779367
0.020000,11.075389,6.146359,7.656586,3.855868,-5.710621,4.995125,3.766822
0.020000,11.014398,6.102928,7.731461,3.743736,-5.606591,5.201523,3.753822
0.020000,10.954647,6.061558,7.804137,3.633778,-5.497894,5.434839,3.740397
0.020000,10.896124,6.022207,7.874658,3.526089,-5.384478,5.670769,3.726579
0.020000,10.838822,5.984831,7.943073,3.420742,-5.267344,5.856711,3.712402
0.020000,10.782729,5.949380,8.009430,3.317836,-5.145292,6.102605,3.697900
0.020000,10.727835,5.915802,8.073779,3.217449,-5.019334,6.297914,3.683108
0.020000,10.674130,5.884042,8.136172,3.119646,-4.890150,6.459170,3.668063
0.020000,10.621603,5.854044,8.196661,3.024483,-4.758180,6.598530,3.652802
0.020000,10.570241,5.825749,8.255302,2.932004,-4.623914,6.713295,3.637363
0.020000,10.520033,5.799095,8.312146,2.842239,-4.488249,6.783248,3.621785
