dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.484235,18.816562,0.001189,0.118858,5.942905,297.145239,0.011129
0.020000,5.484268,18.816563,0.001221,0.001636,-5.861083,-590.199390,0.011105
0.020000,5.487853,18.816602,0.004807,0.179283,8.882322,737.170252,0.011068
0.020000,5.496243,18.816695,0.013197,0.419520,12.011853,156.476566,0.011018
0.020000,5.507024,18.816813,0.023979,0.539073,5.977628,-301.711270,0.010959
0.020000,5.520191,18.816957,0.037147,0.658392,5.965976,-0.582591,0.010893
0.020000,5.535739,18.817126,0.052695,0.777427,5.951739,-0.711835,0.010825
0.020000,5.553660,18.817320,0.070618,0.896126,5.934964,-0.838762,0.010758
0.020000,5.573948,18.817537,0.090906,1.014438,5.915604,-0.968003,0.010700
0.020000,5.596593,18.817779,0.113553,1.132311,5.893639,-1.098245,0.010655
0.020000,5.621585,18.818045,0.138547,1.249693,5.869108,-1.226548,0.010632
0.020000,5.648914,18.818335,0.165877,1.366533,5.841981,-1.356349,0.010636
0.020000,5.678568,18.818651,0.195533,1.482778,5.812274,-1.485370,0.010678
0.020000,5.710534,18.818994,0.227500,1.598378,5.779978,-1.614820,0.010766
0.020000,5.744797,18.819365,0.261766,1.713278,5.744998,-1.748966,0.010909
0.020000,5.781344,18.819768,0.298314,1.827426,5.707424,-1.878700,0.011119
0.020000,5.820157,18.820205,0.337130,1.940768,5.667092,-2.016623,0.011407
0.020000,5.861219,18.820680,0.378195,2.053252,5.624192,-2.144965,0.011785
0.020000,5.904512,18.821201,0.421491,2.164818,5.578284,-2.295423,0.012266
0.020000,5.950017,18.821772,0.466999,2.275413,5.529773,-2.425536,0.012863
0.020000,5.997712,18.822403,0.514699,2.384974,5.478070,-2.585138,0.013592
0.020000,6.047576,18.823102,0.564568,2.493447,5.423635,-2.721760,0.014467
0.020000,6.099586,18.823881,0.616583,2.600763,5.365814,-2.891076,0.015505
0.020000,6.153716,18.824752,0.670720,2.706863,5.304974,-3.042012,0.016724
0.020000,6.209941,18.825732,0.726954,2.811672,5.240474,-3.224956,0.018141
0.020000,6.268233,18.826836,0.785256,2.915125,5.172632,-3.392128,0.019775
0.020000,6.328563,18.828085,0.845599,3.017141,5.100804,-3.591412,0.021647
0.020000,6.390900,18.829500,0.907952,3.117648,5.025360,-3.772198,0.023778
0.020000,6.455211,18.831106,0.972283,3.216552,4.945163,-4.009853,0.026191
0.020000,6.521461,18.832930,1.038559,3.313768,4.860807,-4.217767,0.028909
0.020000,6.589613,18.835004,1.106742,3.409195,4.771362,-4.472271,0.031958
0.020000,6.659628,18.837360,1.176797,3.502738,4.677144,-4.710887,0.035365
0.020000,6.731464,18.840036,1.248683,3.594276,4.576909,-5.011752,0.039157
0.020000,6.805075,18.843073,1.322357,3.683700,4.471204,-5.285269,0.043364
0.020000,6.880414,18.846515,1.397774,3.770869,4.358439,-5.638226,0.048020
0.020000,6.957429,18.850412,1.474887,3.855663,4.239731,-5.935421,0.053156
0.020000,7.036064,18.854816,1.553646,3.937931,4.113366,-6.318247,0.058808
0.020000,7.116260,18.859784,1.633996,4.017494,3.978171,-6.759743,0.065015
0.020000,7.197953,18.865379,1.715880,4.094220,3.836294,-7.093830,0.071817
0.020000,7.281074,18.871666,1.799238,4.167911,3.684561,-7.586653,0.079257
0.020000,7.365548,18.878716,1.884006,4.238372,3.523031,-8.076518,0.087380
0.020000,7.451294,18.886606,1.970114,4.305425,3.352664,-8.518351,0.096235
0.020000,7.538226,18.895416,2.057491,4.368846,3.171056,-9.080386,0.105871
0.020000,7.626249,18.905231,2.146060,4.428455,2.980425,-9.531572,0.116345
0.020000,7.715264,18.916142,2.235741,4.484017,2.778097,-10.116381,0.127712
0.020000,7.805159,18.928242,2.326447,4.535317,2.565023,-10.653717,0.140032
0.020000,7.895820,18.941631,2.418091,4.582192,2.343724,-11.064937,0.153369
0.020000,7.987120,18.956412,2.510580,4.624433,2.112076,-11.582424,0.167787
0.020000,8.078926,18.972689,2.603818,4.661900,1.873326,-11.937481,0.183355
0.020000,8.171097,18.990574,2.697707,4.694490,1.629500,-12.191291,0.200140
0.020000,8.263484,19.010176,2.792151,4.722179,1.384475,-12.251243,0.218212
0.020000,8.355931,19.031609,2.887051,4.744987,1.140379,-12.204814,0.237640
0.020000,8.448280,19.054988,2.982313,4.763095,0.905400,-11.748940,0.258490
0.020000,8.540366,19.080427,3.077848,4.776787,0.684597,-11.040160,0.280825
0.020000,8.632027,19.108043,3.173579,4.786547,0.487991,-9.830321,0.304699
0.020000,8.723103,19.137952,3.269441,4.793062,0.325749,-8.112091,0.330160
0.020000,8.813441,19.170271,3.365386,4.797255,0.209689,-5.802991,0.357239
0.020000,8.902900,19.205119,3.461392,4.800336,0.154021,-2.783404,0.385952
0.020000,8.991355,19.242620,3.557468,4.803794,0.172890,0.943464,0.416294
0.020000,9.078701,19.282905,3.653656,4.809414,0.281027,5.406857,0.448235
0.020000,9.164858,19.326114,3.750042,4.819258,0.492176,10.557450,0.481714
0.020000,9.249774,19.372402,3.846753,4.835588,0.816501,16.216230,0.516641
0.020000,9.333422,19.421940,3.943970,4.860820,1.261602,22.255075,0.552889
0.020000,9.415802,19.474922,4.041917,4.897359,1.826957,28.267733,0.590299
0.020000,9.496938,19.531563,4.140867,4.947522,2.508170,34.060670,0.628679
0.020000,9.576864,19.592101,4.241133,5.013257,3.286759,38.929449,0.667808
0.020000,9.655624,19.656795,4.343056,5.096162,4.145224,42.923210,0.707444
0.020000,9.733257,19.725914,4.446999,5.197182,5.051025,45.290048,0.747333
0.020000,9.809789,19.799734,4.553332,5.316619,5.971854,46.041458,0.787213
0.020000,9.885226,19.878526,4.662414,5.454109,6.874483,45.131483,0.826830
0.020000,9.959551,19.962542,4.774587,5.608670,7.728064,42.679017,0.865942
0.020000,10.032715,20.052009,4.890162,5.778704,8.501680,38.680817,0.904333
0.020000,10.104647,20.147114,5.009406,5.962218,9.175679,33.699924,0.941811
0.020000,10.175249,20.248004,5.132546,6.156992,9.738743,28.153239,0.978217
0.020000,10.243641,20.353546,5.258309,6.288182,6.559499,-158.962198,1.013037
0.020000,10.308901,20.462122,5.384989,6.333964,2.289054,-213.522270,1.045798
0.020000,10.370949,20.573188,5.512211,6.361142,1.358912,-46.507109,1.076498
0.020000,10.447555,20.716774,5.674954,8.137147,88.800261,4372.067479,1.075986
0.020000,10.536875,20.879589,5.860661,9.285351,57.410212,-1569.502446,1.062049
0.020000,10.627245,21.039017,6.043920,9.162943,-6.120429,-3176.532075,1.048162
0.020000,10.718570,21.195049,6.224714,9.039688,-6.162723,-2.114702,1.034337
