dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.500000,17.400000,0.001189,0.118858,5.942905,297.145239,0.011129
0.020000,5.500000,17.400000,0.004754,0.237716,5.942905,0.000000,0.011105
0.020000,5.503533,17.400039,0.010697,0.356574,5.942905,-0.000000,0.011068
0.020000,5.511852,17.400131,0.019017,0.475432,5.942905,0.000000,0.011018
0.020000,5.522549,17.400249,0.029715,0.594290,5.942905,-0.000000,0.010959
0.020000,5.535622,17.400391,0.042789,0.713149,5.942905,0.000000,0.010893
0.020000,5.551073,17.400559,0.058240,0.832007,5.942905,0.000000,0.010825
0.020000,5.568901,17.400752,0.076069,0.950865,5.942905,0.000000,0.010758
0.020000,5.589105,17.400968,0.096275,1.069723,5.942905,-0.000000,0.010700
0.020000,5.611687,17.401209,0.118858,1.188581,5.942905,0.000000,0.010655
0.020000,5.636646,17.401475,0.143818,1.307439,5.942905,0.000000,0.010632
0.020000,5.663982,17.401766,0.171156,1.426297,5.942905,0.000000,0.010636
0.020000,5.693695,17.402082,0.200870,1.545155,5.942905,0.000000,0.010678
0.020000,5.725784,17.402426,0.232962,1.664013,5.942905,0.000000,0.010766
0.020000,5.760251,17.402800,0.267431,1.782871,5.942905,0.000000,0.010909
0.020000,5.797095,17.403205,0.304277,1.901730,5.942905,0.000000,0.011119
0.020000,5.836316,17.403647,0.343500,2.020588,5.942905,-0.000000,0.011407
0.020000,5.877913,17.404129,0.385100,2.139446,5.942905,0.000000,0.011785
0.020000,5.921888,17.404657,0.429078,2.258304,5.942905,0.000000,0.012266
0.020000,5.968239,17.405239,0.475432,2.377162,5.942905,-0.000000,0.012863
0.020000,6.016966,17.405884,0.524164,2.496020,5.942905,0.000000,0.013592
0.020000,6.068070,17.406600,0.575273,2.614878,5.942905,-0.000000,0.014467
0.020000,6.121550,17.407401,0.628759,2.733736,5.942905,0.000000,0.015505
0.020000,6.177406,17.408301,0.684623,2.852594,5.942905,0.000000,0.016724
0.020000,6.235638,17.409315,0.742863,2.971452,5.942905,0.000000,0.018141
0.020000,6.296245,17.410463,0.803481,3.090310,5.942905,0.000000,0.019775
0.020000,6.359226,17.411767,0.866476,3.209169,5.942905,0.000000,0.021647
0.020000,6.424581,17.413251,0.931847,3.328027,5.942905,0.000000,0.023778
