dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.515765,15.983438,0.001189,0.118858,5.942905,297.145239,0.011129
0.020000,5.515732,15.983437,0.001221,0.001636,-5.861083,-590.199390,0.011105
0.020000,5.519212,15.983476,0.004701,0.174001,8.618208,723.964555,0.011068
0.020000,5.527461,15.983567,0.012951,0.412487,11.924321,165.305638,0.011018
0.020000,5.538074,15.983684,0.023564,0.530651,5.908205,-300.805795,0.010959
0.020000,5.551054,15.983825,0.036545,0.649048,5.919828,0.581143,0.010893
0.020000,5.566407,15.983992,0.051900,0.767728,5.934027,0.709970,0.010825
0.020000,5.584141,15.984184,0.069635,0.886745,5.950845,0.840896,0.010758
0.020000,5.604263,15.984399,0.089758,1.006150,5.970234,0.969431,0.010700
0.020000,5.626782,15.984640,0.112277,1.125993,5.992174,1.096993,0.010655
0.020000,5.651707,15.984905,0.137204,1.246327,6.016708,1.226700,0.010632
0.020000,5.679049,15.985196,0.164548,1.367204,6.043816,1.355422,0.010636
0.020000,5.708821,15.985513,0.194321,1.488674,6.073532,1.485791,0.010678
0.020000,5.741035,15.985858,0.226537,1.610792,6.105873,1.617070,0.010766
0.020000,5.775705,15.986234,0.261209,1.733608,6.140783,1.745500,0.010909
0.020000,5.812847,15.986643,0.298353,1.857176,6.178402,1.880935,0.011119
0.020000,5.852475,15.987089,0.337984,1.981548,6.218631,2.011428,0.011407
0.020000,5.894608,15.987577,0.380120,2.106783,6.261750,2.155994,0.011785
0.020000,5.939263,15.988114,0.424778,2.232931,6.307416,2.283290,0.012266
0.020000,5.986461,15.988707,0.471979,2.360055,6.356177,2.438055,0.012863
0.020000,6.036220,15.989364,0.521743,2.488207,6.407584,2.570345,0.013592
0.020000,6.088564,15.990098,0.574093,2.617453,6.462304,2.736010,0.014467
0.020000,6.143515,15.990921,0.629050,2.747850,6.519881,2.878846,0.015505
0.020000,6.201097,15.991849,0.686639,2.879470,6.580965,3.054161,0.016724
0.020000,6.261335,15.992898,0.746886,3.012373,6.645184,3.210965,0.018141
0.020000,6.324257,15.994090,0.809819,3.146638,6.713228,3.402193,0.019775
0.020000,6.389890,15.995449,0.875466,3.282334,6.784812,3.579237,0.021647
0.020000,6.458263,15.997001,0.943857,3.419550,6.860800,3.799400,0.023778
0.020000,6.529408,15.998778,1.015024,3.558360,6.940470,3.983487,0.026191
0.020000,6.603357,16.000814,1.089001,3.698861,7.025053,4.229135,0.028909
0.020000,6.680144,16.003150,1.165824,3.841144,7.114169,4.455805,0.031958
0.020000,6.759806,16.005831,1.245531,3.985322,7.208896,4.736366,0.035365
0.020000,6.842378,16.008908,1.328160,4.131494,7.308622,4.986268,0.039157
0.020000,6.927901,16.012436,1.413756,4.279791,7.414833,5.310559,0.043364
0.020000,7.016416,16.016481,1.502363,4.430324,7.526634,5.590066,0.048020
0.020000,7.107963,16.021114,1.594028,4.583250,7.646335,5.985034,0.053156
0.020000,7.202589,16.026414,1.688802,4.738711,7.773010,6.333778,0.058808
