dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.915322,6.061337,0.000794,0.079404,3.970194,198.509689,4.755699
0.020000,16.915340,6.060902,0.001229,0.021758,-2.882270,-342.623203,4.755392
0.020000,16.915371,6.060177,0.001955,0.036294,0.726777,180.452382,4.754880
0.020000,16.915538,6.056223,0.005912,0.197852,8.077888,367.555512,4.754161
0.020000,16.915887,6.047774,0.014369,0.422823,11.248554,158.533307,4.753236
0.020000,16.916303,6.037439,0.024712,0.517172,4.717435,-326.555941,4.752100
0.020000,16.916781,6.025217,0.036943,0.611545,4.718666,0.061539,4.750752
0.020000,16.917311,6.011102,0.051068,0.706257,4.735600,0.846733,4.749190
0.020000,16.917887,5.995091,0.067089,0.801054,4.739834,0.211688,4.747410
0.020000,16.918496,5.977180,0.085011,0.896080,4.751340,0.575306,4.745408
0.020000,16.919129,5.957360,0.104841,0.991501,4.771025,0.984212,4.743181
0.020000,16.919772,5.935624,0.126587,1.087291,4.789514,0.924481,4.740723
0.020000,16.920410,5.911966,0.150253,1.183342,4.802537,0.651125,4.738029
0.020000,16.921029,5.886375,0.175851,1.279877,4.826733,1.209817,4.735093
0.020000,16.921610,5.858843,0.203389,1.376916,4.851965,1.261602,4.731910
0.020000,16.922135,5.829363,0.232874,1.474254,4.866928,0.748147,4.728471
0.020000,16.922583,5.797920,0.264320,1.572305,4.902536,1.780413,4.724770
0.020000,16.922930,5.764503,0.297739,1.670935,4.931504,1.448384,4.720798
0.020000,16.923153,5.729101,0.333142,1.770119,4.959176,1.383584,4.716546
0.020000,16.923224,5.691698,0.370545,1.870195,5.003823,2.232397,4.712004
0.020000,16.923113,5.652283,0.409960,1.970743,5.027402,1.178937,4.707161
0.020000,16.922790,5.610837,0.451408,2.072362,5.080945,2.677153,4.702006
0.020000,16.922219,5.567347,0.494902,2.174701,5.116947,1.800074,4.696527
0.020000,16.921365,5.521794,0.540462,2.278040,5.166935,2.499410,4.690710
0.020000,16.920185,5.474162,0.588109,2.382346,5.215330,2.419769,4.684540
0.020000,16.918637,5.424426,0.637869,2.487978,5.281558,3.311377,4.678002
0.020000,16.916674,5.372573,0.689759,2.594533,5.327754,2.309792,4.671079
0.020000,16.914245,5.318577,0.743810,2.702520,5.399383,3.581455,4.663752
0.020000,16.911294,5.262416,0.800048,2.811915,5.469755,3.518616,4.656003
0.020000,16.907761,5.204069,0.858502,2.922694,5.538936,3.459030,4.647811
0.020000,16.903582,5.143511,0.919204,3.035116,5.621085,4.107468,4.639152
0.020000,16.898687,5.080717,0.982189,3.149209,5.704649,4.178204,4.630004
0.020000,16.893000,5.015661,1.047493,3.265213,5.800237,4.779380,4.620339
0.020000,16.886438,4.948318,1.115155,3.383112,5.894903,4.733293,4.610130
0.020000,16.878911,4.878661,1.185217,3.503122,6.000522,5.280958,4.599349
0.020000,16.870324,4.806664,1.257725,3.625360,6.111898,5.568828,4.587962
0.020000,16.860570,4.732299,1.332726,3.750064,6.235194,6.164762,4.575936
0.020000,16.849536,4.655544,1.410270,3.877210,6.357334,6.106997,4.563235
0.020000,16.837097,4.576373,1.490413,4.007128,6.495855,6.926088,4.549822
0.020000,16.823120,4.494764,1.573209,4.139837,6.635489,6.981680,4.535656
0.020000,16.807459,4.410700,1.658720,4.275544,6.785348,7.492966,4.520695
0.020000,16.789956,4.324163,1.747010,4.414471,6.946340,8.049563,4.504893
0.020000,16.770442,4.235145,1.838142,4.556597,7.106311,7.998555,4.488206
0.020000,16.748731,4.143642,1.932185,4.702157,7.277990,8.583963,4.470585
0.020000,16.724627,4.049661,2.029208,4.851133,7.448805,8.540757,4.451981
0.020000,16.697916,3.953218,2.129281,5.003690,7.627861,8.952776,4.432345
0.020000,16.668371,3.854342,2.232477,5.159797,7.805351,8.874547,4.411626
0.020000,16.635750,3.753082,2.338861,5.319201,7.970163,8.240561,4.389776
0.020000,16.599799,3.649503,2.448502,5.482049,8.142412,8.612467,4.366749
0.020000,16.560248,3.543696,2.561460,5.647903,8.292723,7.515569,4.342501
0.020000,16.516819,3.435779,2.677787,5.816346,8.422113,6.469457,4.316996
0.020000,16.469228,3.325904,2.797527,5.986981,8.531774,5.483056,4.290202
0.020000,16.417185,3.214257,2.920708,6.159032,8.602542,3.538439,4.262100
0.020000,16.360404,3.101066,3.047342,6.331735,8.635160,1.630876,4.232680
0.020000,16.298608,2.986602,3.177422,6.503966,8.611523,-1.181873,4.201950
0.020000,16.231539,2.871186,3.310910,6.674435,8.523448,-4.403732,4.169933
0.020000,16.158964,2.755182,3.447746,6.841783,8.367434,-7.800690,4.136675
0.020000,16.080687,2.639004,3.587834,7.004385,8.130096,-11.866905,4.102241
0.020000,15.996560,2.523107,3.731045,7.160575,7.809478,-16.030881,4.066723
0.020000,15.906491,2.407982,3.877217,7.308582,7.400345,-20.456684,4.030236
0.020000,15.810453,2.294149,4.026151,7.446691,6.905459,-24.744261,3.992920
0.020000,15.708493,2.182138,4.177618,7.573351,6.333002,-28.622848,3.954937
0.020000,15.600729,2.072483,4.331362,7.687198,5.692368,-32.031703,3.916466
0.020000,15.487355,1.965700,4.487106,7.787238,5.001963,-34.520284,3.877705
0.020000,15.368632,1.862272,4.644562,7.872809,4.278575,-36.169387,3.838856
0.020000,15.244881,1.762638,4.803438,7.943758,3.547466,-36.555437,3.800127
0.020000,15.116471,1.667176,4.963445,8.000343,2.829214,-35.912626,3.761719
0.020000,14.983804,1.576196,5.124311,8.043309,2.148297,-34.045838,3.723827
