dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.500000,6.000000,0.000794,0.079404,3.970194,198.509689,4.755699
0.020000,15.500000,6.000000,0.003176,0.158808,3.970194,0.000000,4.755392
0.020000,15.500000,6.000000,0.007146,0.238212,3.970194,0.000000,4.754880
0.020000,15.500123,5.997063,0.012705,0.317616,3.970194,0.000000,4.754161
0.020000,15.500418,5.989925,0.019851,0.397019,3.970194,-0.000000,4.753236
0.020000,15.500770,5.981197,0.028585,0.476423,3.970194,0.000000,4.752100
0.020000,15.501173,5.970883,0.038908,0.555827,3.970194,-0.000000,4.750752
0.020000,15.501621,5.958979,0.050818,0.635231,3.970194,0.000000,4.749190
0.020000,15.502105,5.945489,0.064317,0.714635,3.970194,-0.000000,4.747410
0.020000,15.502618,5.930412,0.079404,0.794039,3.970194,0.000000,4.745408
0.020000,15.503150,5.913746,0.096079,0.873443,3.970194,0.000000,4.743181
0.020000,15.503690,5.895490,0.114342,0.952847,3.970194,0.000000,4.740723
0.020000,15.504226,5.875647,0.134193,1.032250,3.970194,0.000000,4.738029
0.020000,15.504744,5.854214,0.155632,1.111654,3.970194,-0.000000,4.735093
0.020000,15.505230,5.831191,0.178659,1.191058,3.970194,0.000000,4.731910
0.020000,15.505668,5.806581,0.203274,1.270462,3.970194,-0.000000,4.728471
0.020000,15.506041,5.780381,0.229477,1.349866,3.970194,0.000000,4.724770
0.020000,15.506330,5.752591,0.257269,1.429270,3.970194,0.000000,4.720798
0.020000,15.506515,5.723212,0.286648,1.508674,3.970194,-0.000000,4.716546
0.020000,15.506574,5.692243,0.317616,1.588078,3.970194,0.000000,4.712004
0.020000,15.506483,5.659689,0.350171,1.667481,3.970194,-0.000000,4.707161
0.020000,15.506216,5.625545,0.384315,1.746885,3.970194,0.000000,4.702006
0.020000,15.505748,5.589817,0.420047,1.826289,3.970194,0.000000,4.696527
0.020000,15.505048,5.552504,0.457366,1.905693,3.970194,0.000000,4.690710
0.020000,15.504084,5.513609,0.496274,1.985097,3.970194,-0.000000,4.684540
0.020000,15.502825,5.473131,0.536770,2.064501,3.970194,0.000000,4.678002
0.020000,15.501233,5.431078,0.578854,2.143905,3.970194,-0.000000,4.671079
0.020000,15.499270,5.387451,0.622526,2.223309,3.970194,0.000000,4.663752
0.020000,15.496895,5.342252,0.667787,2.302712,3.970194,0.000000,4.656003
0.020000,15.494064,5.295490,0.714635,2.382116,3.970194,0.000000,4.647811
0.020000,15.490730,5.247168,0.763071,2.461520,3.970194,-0.000000,4.639152
0.020000,15.486842,5.197296,0.813096,2.540924,3.970194,0.000000,4.630004
0.020000,15.482347,5.145879,0.864708,2.620328,3.970194,-0.000000,4.620339
0.020000,15.477188,5.092930,0.917909,2.699732,3.970194,0.000000,4.610130
0.020000,15.471303,5.038458,0.972697,2.779136,3.970194,-0.000000,4.599349
