dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.084678,5.938663,0.000794,0.079404,3.970194,198.509689,4.755699
0.020000,14.084660,5.939098,0.001229,0.021758,-2.882270,-342.623203,4.755392
0.020000,14.084629,5.939823,0.001955,0.036294,0.726777,180.452382,4.754880
0.020000,14.084709,5.937904,0.003876,0.096059,2.988270,113.074626,4.754161
0.020000,14.084950,5.932075,0.009710,0.291672,9.780604,339.616724,4.753236
0.020000,14.085237,5.924955,0.016836,0.356297,3.231268,-327.466819,4.752100
0.020000,14.085565,5.916549,0.025249,0.420661,3.218210,-0.652885,4.750752
0.020000,14.085930,5.906857,0.034947,0.484927,3.213285,-0.246268,4.749190
0.020000,14.086324,5.895887,0.045925,0.548864,3.196880,-0.820231,4.747410
0.020000,14.086741,5.883643,0.058175,0.612517,3.182653,-0.711367,4.745408
0.020000,14.087172,5.870131,0.071694,0.675939,3.171078,-0.578772,4.743181
0.020000,14.087609,5.855357,0.086475,0.739051,3.155612,-0.773277,4.740723
0.020000,14.088041,5.839328,0.102509,0.801716,3.133261,-1.117557,4.738029
0.020000,14.088459,5.822053,0.119790,0.864020,3.115180,-0.904063,4.735093
0.020000,14.088850,5.803539,0.138308,0.925906,3.094288,-1.044598,4.731910
0.020000,14.089202,5.783799,0.158051,0.987163,3.062859,-1.571409,4.728471
0.020000,14.089500,5.762841,0.179011,1.047992,3.041445,-1.070713,4.724770
0.020000,14.089731,5.740678,0.201175,1.108222,3.011487,-1.497930,4.720798
0.020000,14.089877,5.717323,0.224530,1.167750,2.976408,-1.753933,4.716546
0.020000,14.089924,5.692789,0.249064,1.226709,2.947977,-1.421566,4.712004
0.020000,14.089852,5.667095,0.274759,1.284727,2.900904,-2.353628,4.707161
0.020000,14.089643,5.640254,0.301601,1.342094,2.868327,-1.628872,4.702006
0.020000,14.089276,5.612287,0.329570,1.398472,2.818885,-2.472057,4.696527
0.020000,14.088730,5.583213,0.358649,1.453927,2.772753,-2.306627,4.690710
0.020000,14.087984,5.553056,0.388815,1.508316,2.719474,-2.663957,4.684540
0.020000,14.087012,5.521837,0.420050,1.561735,2.670923,-2.427559,4.678002
0.020000,14.085792,5.489584,0.452326,1.613791,2.602830,-3.404611,4.671079
0.020000,14.084295,5.456324,0.485619,1.664658,2.543321,-2.975469,4.663752
0.020000,14.082496,5.422088,0.519902,1.714159,2.475092,-3.411439,4.656003
0.020000,14.080367,5.386911,0.555144,1.762117,2.397865,-3.861367,4.647811
0.020000,14.077877,5.350826,0.591315,1.808511,2.319730,-3.906766,4.639152
0.020000,14.074997,5.313875,0.628378,1.853174,2.233133,-4.329836,4.630004
0.020000,14.071695,5.276098,0.666299,1.896050,2.143823,-4.465512,4.620339
0.020000,14.067938,5.237542,0.705038,1.936924,2.043674,-5.007433,4.610130
0.020000,14.063694,5.198256,0.744552,1.975707,1.939131,-5.227136,4.599349
0.020000,14.058928,5.158295,0.784796,2.012240,1.826688,-5.622154,4.587962
0.020000,14.053606,5.117714,0.825725,2.046427,1.709331,-5.867834,4.575936
0.020000,14.047693,5.076576,0.867285,2.078019,1.579581,-6.487543,4.563235
0.020000,14.041154,5.034947,0.909424,2.106955,1.446818,-6.638148,4.549822
0.020000,14.033953,4.992899,0.952085,2.133011,1.302803,-7.200738,4.535656
0.020000,14.026057,4.950507,0.995206,2.156064,1.152663,-7.506990,4.520695
0.020000,14.017431,4.907850,1.038726,2.176009,0.997232,-7.771569,4.504893
0.020000,14.008042,4.865015,1.082579,2.192637,0.831425,-8.290329,4.488206
0.020000,13.997859,4.822088,1.126697,2.205897,0.663003,-8.421105,4.470585
0.020000,13.986851,4.779164,1.171010,2.215656,0.487950,-8.752675,4.451981
0.020000,13.974992,4.736337,1.215448,2.221923,0.313317,-8.731646,4.432345
0.020000,13.962256,4.693705,1.259942,2.224686,0.138178,-8.756910,4.411626
0.020000,13.948620,4.651368,1.304421,2.223940,-0.037328,-8.775301,4.389776
0.020000,13.934064,4.609423,1.348820,2.219964,-0.198803,-8.073745,4.366749
0.020000,13.918570,4.567965,1.393079,2.212934,-0.351505,-7.635103,4.342501
0.020000,13.902122,4.527085,1.437143,2.203213,-0.486055,-6.727506,4.316996
0.020000,13.884706,4.486867,1.480971,2.191370,-0.592137,-5.304104,4.290202
0.020000,13.866304,4.447383,1.524532,2.178054,-0.665783,-3.682335,4.262100
0.020000,13.846900,4.408693,1.567815,2.164166,-0.694394,-1.430504,4.232680
0.020000,13.826469,4.370840,1.610830,2.150738,-0.671437,1.147839,4.201950
0.020000,13.804978,4.333850,1.653610,2.139006,-0.586560,4.243828,4.169933
0.020000,13.782381,4.297727,1.696218,2.130430,-0.428810,7.887501,4.136675
0.020000,13.758618,4.262453,1.738750,2.126585,-0.192238,11.828617,4.102241
0.020000,13.733605,4.227990,1.781334,2.129181,0.129786,16.101197,4.066723
0.020000,13.707234,4.194280,1.824133,2.139954,0.538625,20.441955,4.030236
