dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001331,1.416649,0.001190,0.118953,5.947647,297.382359,6.282246
0.020000,0.001079,1.416650,0.001442,0.012617,-5.316792,-563.221964,6.282424
0.020000,0.000658,1.416650,0.001863,0.021039,0.421070,286.893128,6.282721
0.020000,0.000069,1.416650,0.002452,0.029475,0.421822,0.037562,6.283137
0.020000,0.009050,1.416652,0.011434,0.449087,20.980598,1027.938820,0.000487
0.020000,0.021205,1.416662,0.023588,0.607727,7.931989,-652.430442,0.001143
0.020000,0.035568,1.416684,0.037951,0.718154,5.521371,-120.530921,0.001920
0.020000,0.052139,1.416723,0.054522,0.828540,5.519288,-0.104130,0.002818
0.020000,0.070914,1.416786,0.073298,0.938760,5.511028,-0.413000,0.003840
0.020000,0.091891,1.416878,0.094275,1.048898,5.506857,-0.208562,0.004985
0.020000,0.115073,1.417009,0.117457,1.159100,5.510133,0.163803,0.006255
0.020000,0.140454,1.417185,0.142839,1.269068,5.498373,-0.588027,0.007651
0.020000,0.168030,1.417417,0.170416,1.378848,5.489025,-0.467352,0.009176
0.020000,0.197803,1.417715,0.200191,1.488742,5.494680,0.282734,0.010830
0.020000,0.229768,1.418090,0.232157,1.598343,5.480065,-0.730775,0.012616
0.020000,0.263921,1.418553,0.266314,1.707804,5.473067,-0.349875,0.014535
0.020000,0.300260,1.419119,0.302657,1.817157,5.467648,-0.270954,0.016591
0.020000,0.338780,1.419800,0.341184,1.926348,5.459512,-0.406811,0.018784
0.020000,0.379479,1.420612,0.381890,2.035320,5.448624,-0.544409,0.021117
0.020000,0.422349,1.421571,0.424771,2.144068,5.437397,-0.561317,0.023594
0.020000,0.467392,1.422693,0.469828,2.252836,5.438407,0.050476,0.026217
0.020000,0.514596,1.423996,0.517050,2.361091,5.412764,-1.282166,0.028989
0.020000,0.563958,1.425499,0.566435,2.469254,5.408119,-0.232221,0.031913
0.020000,0.615474,1.427223,0.617980,2.577242,5.399406,-0.435636,0.034994
0.020000,0.669135,1.429189,0.671677,2.684847,5.380249,-0.957879,0.038234
0.020000,0.724934,1.431418,0.727520,2.792167,5.366024,-0.711223,0.041637
0.020000,0.782867,1.433935,0.785508,2.899386,5.360945,-0.253989,0.045208
0.020000,0.842922,1.436764,0.845629,3.006066,5.334005,-1.346990,0.048951
0.020000,0.905091,1.439932,0.907879,3.112490,5.321155,-0.642505,0.052871
0.020000,0.969364,1.443465,0.972249,3.218514,5.301240,-0.995730,0.056973
0.020000,1.035735,1.447393,1.038736,3.324346,5.291601,-0.481956,0.061262
0.020000,1.104189,1.451746,1.107329,3.429621,5.263738,-1.393123,0.065743
0.020000,1.174715,1.456554,1.178018,3.534491,5.243519,-1.010951,0.070422
0.020000,1.247302,1.461852,1.250799,3.639013,5.226077,-0.872112,0.075305
0.020000,1.321937,1.467674,1.325660,3.743061,5.202376,-1.185045,0.080400
0.020000,1.398601,1.474056,1.402590,3.846484,5.171184,-1.559606,0.085712
0.020000,1.477284,1.481035,1.481581,3.949572,5.154367,-0.840886,0.091249
0.020000,1.557967,1.488652,1.562622,4.052068,5.124798,-1.478402,0.097019
0.020000,1.640630,1.496948,1.645701,4.153946,5.093944,-1.542723,0.103030
0.020000,1.725256,1.505965,1.730806,4.255223,5.063829,-1.505744,0.109289
0.020000,1.811824,1.515748,1.817925,4.355970,5.037373,-1.322802,0.115806
0.020000,1.900312,1.526345,1.907045,4.455992,5.001099,-1.813681,0.122591
0.020000,1.990694,1.537804,1.998151,4.555308,4.965768,-1.766573,0.129653
0.020000,2.082946,1.550176,2.091229,4.653868,4.928003,-1.888245,0.137001
0.020000,2.177040,1.563514,2.186263,4.751733,4.893260,-1.737145,0.144648
0.020000,2.272947,1.577873,2.283239,4.848800,4.853360,-1.995011,0.152605
0.020000,2.370634,1.593310,2.382139,4.944966,4.808280,-2.253988,0.160883
0.020000,2.470066,1.609885,2.482943,5.040220,4.762702,-2.278907,0.169494
0.020000,2.571210,1.627659,2.585636,5.134667,4.722337,-2.018265,0.178453
0.020000,2.674024,1.646697,2.690198,5.228098,4.671588,-2.537436,0.187772
0.020000,2.778466,1.667065,2.796608,5.320489,4.619523,-2.603252,0.197465
0.020000,2.884491,1.688832,2.904844,5.411818,4.566457,-2.653309,0.207547
0.020000,2.992054,1.712070,3.014889,5.502224,4.520317,-2.306974,0.218035
0.020000,3.101099,1.736852,3.126714,5.591253,4.451448,-3.443490,0.228943
0.020000,3.211575,1.763255,3.240302,5.679377,4.406180,-2.263363,0.240287
0.020000,3.323421,1.791357,3.355624,5.766128,4.337568,-3.430606,0.252086
0.020000,3.436575,1.821240,3.472657,5.851662,4.276664,-3.045195,0.264356
0.020000,3.550973,1.852988,3.591379,5.936076,4.220713,-2.797547,0.277115
0.020000,3.666540,1.886686,3.711758,6.018980,4.145228,-3.774279,0.290381
0.020000,3.783204,1.922423,3.833774,6.100759,4.088906,-2.816067,0.304172
0.020000,3.900885,1.960289,3.957397,6.181155,4.019844,-3.453136,0.318508
0.020000,4.019500,2.000378,4.082603,6.260314,3.957949,-3.094745,0.333406
0.020000,4.138958,2.042784,4.209365,6.338085,3.888515,-3.471677,0.348885
0.020000,4.259167,2.087605,4.337657,6.414638,3.827666,-3.042444,0.364963
0.020000,4.380028,2.134938,4.467456,6.489943,3.765268,-3.119946,0.381656
0.020000,4.501438,2.184884,4.598739,6.564110,3.708336,-2.846600,0.398982
0.020000,4.623288,2.237545,4.731482,6.637154,3.652215,-2.806047,0.416955
0.020000,4.745470,2.293024,4.865669,6.709373,3.610928,-2.064351,0.435589
0.020000,4.867864,2.351424,5.001282,6.780638,3.563234,-2.384691,0.454895
0.020000,4.990349,2.412851,5.138308,6.851290,3.532617,-1.530839,0.474884
0.020000,5.112803,2.477410,5.276737,6.921469,3.508935,-1.184103,0.495560
0.020000,5.235097,2.545208,5.416567,6.991504,3.501745,-0.359516,0.516928
0.020000,5.357100,2.616351,5.557797,7.061516,3.500613,-0.056560,0.538985
0.020000,5.478679,2.690945,5.700436,7.131940,3.521191,1.028888,0.561728
0.020000,5.599699,2.769098,5.844498,7.203068,3.556432,1.762026,0.585147
