dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001190,0.118953,5.947647,297.382359,6.282246
0.020000,0.000000,0.000000,0.004758,0.237906,5.947647,0.000000,6.282424
0.020000,0.000000,0.000000,0.010706,0.356859,5.947647,-0.000000,6.282721
0.020000,0.000000,0.000000,0.019032,0.475812,5.947647,0.000000,6.283137
0.020000,0.009741,0.000002,0.029738,0.594765,5.947647,-0.000000,0.000487
0.020000,0.022824,0.000013,0.042823,0.713718,5.947647,0.000000,0.001143
0.020000,0.038288,0.000037,0.058287,0.832671,5.947647,0.000000,0.001920
0.020000,0.056131,0.000079,0.076130,0.951624,5.947647,0.000000,0.002818
0.020000,0.076353,0.000146,0.096352,1.070576,5.947647,-0.000000,0.003840
0.020000,0.098953,0.000246,0.118953,1.189529,5.947647,0.000000,0.004985
0.020000,0.123934,0.000386,0.143933,1.308482,5.947647,0.000000,0.006255
0.020000,0.151293,0.000577,0.171292,1.427435,5.947647,-0.000000,0.007651
0.020000,0.181029,0.000827,0.201030,1.546388,5.947647,0.000000,0.009176
0.020000,0.213146,0.001148,0.233148,1.665341,5.947647,-0.000000,0.010830
0.020000,0.247640,0.001552,0.267644,1.784294,5.947647,0.000000,0.012616
0.020000,0.284512,0.002053,0.304520,1.903247,5.947647,0.000000,0.014535
0.020000,0.323761,0.002664,0.343774,2.022200,5.947647,-0.000000,0.016591
0.020000,0.365389,0.003400,0.385408,2.141153,5.947647,0.000000,0.018784
0.020000,0.409392,0.004278,0.429420,2.260106,5.947647,0.000000,0.021117
0.020000,0.455771,0.005315,0.475812,2.379059,5.947647,0.000000,0.023594
0.020000,0.504528,0.006529,0.524582,2.498012,5.947647,0.000000,0.026217
0.020000,0.555657,0.007941,0.575732,2.616965,5.947647,0.000000,0.028989
0.020000,0.609161,0.009571,0.629261,2.735918,5.947647,-0.000000,0.031913
0.020000,0.665038,0.011441,0.685169,2.854871,5.947647,-0.000000,0.034994
