dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001331,-1.416649,0.001190,0.118953,5.947647,297.382359,6.282246
0.020000,-0.001079,-1.416650,0.001442,0.012617,-5.316792,-563.221964,6.282424
0.020000,-0.000658,-1.416650,0.001863,0.021039,0.421070,286.893128,6.282721
0.020000,-0.000069,-1.416650,0.002452,0.029475,0.421822,0.037562,6.283137
0.020000,0.010431,-1.416647,0.012952,0.524986,24.775568,1217.687312,0.000487
0.020000,0.024444,-1.416636,0.026964,0.700627,8.782056,-799.675613,0.001143
0.020000,0.041008,-1.416611,0.043528,0.828189,6.378082,-120.198688,0.001920
0.020000,0.060124,-1.416565,0.062645,0.955831,6.382078,0.199806,0.002818
0.020000,0.081793,-1.416493,0.084313,1.083430,6.379971,-0.105347,0.003840
0.020000,0.106014,-1.416386,0.108535,1.211102,6.383620,0.182444,0.004985
0.020000,0.132795,-1.416236,0.135316,1.339041,6.396937,0.665873,0.006255
0.020000,0.162132,-1.416032,0.164655,1.466921,6.393977,-0.148029,0.007651
0.020000,0.194028,-1.415764,0.196551,1.594819,6.394904,0.046342,0.009176
0.020000,0.228488,-1.415419,0.231013,1.723105,6.414329,0.971277,0.010830
0.020000,0.265512,-1.414985,0.268040,1.851335,6.411481,-0.142416,0.012616
0.020000,0.305103,-1.414447,0.307634,1.979708,6.418648,0.358349,0.014535
0.020000,0.347263,-1.413791,0.349800,2.108286,6.428894,0.512304,0.016591
0.020000,0.391997,-1.413000,0.394540,2.237031,6.437281,0.419352,0.018784
0.020000,0.439306,-1.412056,0.441859,2.365907,6.443802,0.326033,0.021117
0.020000,0.489192,-1.410941,0.491757,2.494933,6.451300,0.374937,0.023594
0.020000,0.541664,-1.409634,0.544246,2.624423,6.474485,1.159237,0.026217
0.020000,0.596719,-1.408114,0.599321,2.753786,6.468117,-0.318432,0.028989
0.020000,0.654363,-1.406358,0.656992,2.883541,6.487750,0.981680,0.031913
0.020000,0.714602,-1.404342,0.717265,3.013626,6.504277,0.826342,0.034994
0.020000,0.777436,-1.402041,0.780141,3.143831,6.510270,0.299661,0.038234
0.020000,0.842870,-1.399426,0.845627,3.274307,6.523766,0.674791,0.041637
0.020000,0.910912,-1.396470,0.913734,3.405304,6.549839,1.303627,0.045208
0.020000,0.981561,-1.393142,0.984460,3.536347,6.552161,0.116143,0.048951
0.020000,1.054822,-1.389409,1.057817,3.667807,6.573014,1.042640,0.052871
0.020000,1.130698,-1.385238,1.133808,3.799560,6.587642,0.731397,0.056973
0.020000,1.209199,-1.380592,1.212446,3.931892,6.616604,1.448079,0.061262
0.020000,1.290323,-1.375434,1.293734,4.064418,6.626324,0.486001,0.065743
0.020000,1.374076,-1.369723,1.377681,4.197368,6.647453,1.056471,0.070422
0.020000,1.460464,-1.363418,1.464298,4.330856,6.674410,1.347830,0.075305
0.020000,1.549489,-1.356473,1.553594,4.464787,6.696574,1.108216,0.080400
0.020000,1.641153,-1.348843,1.645575,4.599038,6.712524,0.797502,0.085712
0.020000,1.735462,-1.340477,1.740255,4.734008,6.748532,1.800391,0.091249
0.020000,1.832420,-1.331324,1.837644,4.869455,6.772328,1.189791,0.097019
0.020000,1.932028,-1.321328,1.937752,5.005409,6.797702,1.268718,0.103030
0.020000,2.034289,-1.310432,2.040592,5.141954,6.827243,1.477050,0.109289
0.020000,2.139206,-1.298574,2.146176,5.279247,6.864671,1.871402,0.115806
0.020000,2.246779,-1.285691,2.254519,5.417124,6.893818,1.457350,0.122591
0.020000,2.357011,-1.271716,2.365633,5.555680,6.927815,1.699842,0.129653
0.020000,2.469899,-1.256576,2.479531,5.694934,6.962713,1.744924,0.137001
0.020000,2.585444,-1.240197,2.596232,5.835041,7.005345,2.131592,0.144648
0.020000,2.703646,-1.222500,2.715751,5.975958,7.045850,2.025210,0.152605
0.020000,2.824499,-1.203401,2.838104,6.117643,7.084248,1.919929,0.160883
0.020000,2.947998,-1.182815,2.963307,6.260171,7.126394,2.107298,0.169494
0.020000,3.074141,-1.160647,3.091383,6.403762,7.179547,2.657653,0.178453
0.020000,3.202916,-1.136801,3.222348,6.548250,7.224390,2.242165,0.187772
0.020000,3.334315,-1.111176,3.356222,6.693693,7.272169,2.388952,0.197465
0.020000,3.468323,-1.083663,3.493025,6.840159,7.323298,2.556442,0.207547
0.020000,3.604929,-1.054150,3.632783,6.987916,7.387850,3.227605,0.218035
0.020000,3.744110,-1.022519,3.775513,7.136477,7.428059,2.010432,0.228943
0.020000,3.885849,-0.988643,3.921243,7.286531,7.502672,3.730658,0.240287
0.020000,4.030116,-0.952394,4.069994,7.437562,7.551571,2.444957,0.252086
0.020000,4.176880,-0.913634,4.221791,7.589843,7.614037,3.123277,0.264356
0.020000,4.326111,-0.872218,4.376663,7.743569,7.686317,3.614018,0.277115
0.020000,4.477761,-0.827998,4.534628,7.898286,7.735819,2.475099,0.290381
0.020000,4.631787,-0.780815,4.695719,8.054531,7.812286,3.823328,0.304172
0.020000,4.788132,-0.730507,4.859959,8.211992,7.873041,3.037774,0.318508
0.020000,4.946735,-0.676901,5.027376,8.370854,7.943104,3.503132,0.333406
0.020000,5.107522,-0.619822,5.197994,8.530884,8.001504,2.920002,0.348885
0.020000,5.270412,-0.559086,5.371839,8.692246,8.068109,3.330239,0.364963
0.020000,5.435312,-0.494503,5.548934,8.854794,8.127391,2.964127,0.381656
0.020000,5.602119,-0.425880,5.729305,9.018525,8.186552,2.958011,0.398982
0.020000,5.770712,-0.353016,5.912970,9.183257,8.236598,2.502308,0.416955
0.020000,5.940965,-0.275708,6.099953,9.349137,8.293982,2.869240,0.435589
0.020000,6.112726,-0.193749,6.290266,9.515655,8.325915,1.596640,0.454895
0.020000,6.285833,-0.106933,6.483924,9.682882,8.361365,1.772505,0.474884
0.020000,6.460106,-0.015051,6.680934,9.850528,8.382293,1.046371,0.495560
0.020000,6.635346,0.082103,6.881304,10.018489,8.398048,0.787736,0.516928
0.020000,6.811335,0.184728,7.085029,10.186276,8.389345,-0.435147,0.538985
0.020000,6.987836,0.293022,7.292105,10.353759,8.374147,-0.759884,0.561728
