dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001359,1.416649,0.000798,0.079822,3.991098,199.554885,6.282226
0.020000,0.001189,1.416650,0.000968,0.008466,-3.567811,-377.945452,6.282346
0.020000,0.000907,1.416650,0.001250,0.014114,0.282416,192.511377,6.282545
0.020000,0.000512,1.416650,0.001645,0.019769,0.282754,0.016906,6.282824
0.020000,0.000003,1.416650,0.002154,0.025434,0.283228,0.023687,6.283183
0.020000,0.008119,1.416652,0.010270,0.405792,19.017923,936.734728,0.000437
0.020000,0.017757,1.416658,0.019908,0.481920,3.806397,-760.576264,0.000957
0.020000,0.028881,1.416672,0.031032,0.556195,3.713727,-4.633505,0.001558
0.020000,0.041484,1.416696,0.043634,0.630122,3.696391,-0.866809,0.002240
0.020000,0.055565,1.416733,0.057716,0.704091,3.698435,0.102181,0.003005
0.020000,0.071130,1.416787,0.073281,0.778213,3.706101,0.383335,0.003851
0.020000,0.088172,1.416860,0.090323,0.852109,3.694800,-0.565085,0.004781
0.020000,0.106691,1.416958,0.108842,0.925975,3.693268,-0.076600,0.005795
0.020000,0.126686,1.417085,0.128838,0.999786,3.690598,-0.133490,0.006893
0.020000,0.148156,1.417246,0.150309,1.073533,3.687334,-0.163212,0.008077
0.020000,0.171103,1.417446,0.173256,1.147386,3.692649,0.265772,0.009346
0.020000,0.195521,1.417690,0.197676,1.220974,3.679414,-0.661765,0.010703
0.020000,0.221408,1.417986,0.223564,1.294419,3.672240,-0.358683,0.012148
0.020000,0.248769,1.418340,0.250927,1.368142,3.686127,0.694331,0.013683
0.020000,0.277593,1.418757,0.279754,1.441365,3.661185,-1.247067,0.015307
0.020000,0.307886,1.419247,0.310051,1.514833,3.673372,0.609338,0.017024
0.020000,0.339641,1.419816,0.341812,1.588042,3.660462,-0.645513,0.018833
0.020000,0.372858,1.420474,0.375035,1.661141,3.654946,-0.275778,0.020736
0.020000,0.407533,1.421227,0.409718,1.734175,3.651699,-0.162371,0.022736
0.020000,0.443665,1.422087,0.445861,1.807118,3.647171,-0.226372,0.024833
0.020000,0.481251,1.423062,0.483459,1.879945,3.641348,-0.291190,0.027028
0.020000,0.520289,1.424162,0.522512,1.952630,3.634212,-0.356799,0.029325
0.020000,0.560773,1.425398,0.563015,2.025145,3.625748,-0.423171,0.031724
0.020000,0.602701,1.426781,0.604966,2.097559,3.620701,-0.252372,0.034227
0.020000,0.646072,1.428323,0.648365,2.169946,3.619372,-0.066440,0.036837
0.020000,0.690878,1.430035,0.693204,2.241928,3.599104,-1.013391,0.039556
0.020000,0.737120,1.431930,0.739485,2.314050,3.606073,0.348427,0.042385
0.020000,0.784791,1.434022,0.787201,2.385801,3.587592,-0.924023,0.045328
0.020000,0.833884,1.436324,0.836348,2.457390,3.579430,-0.408135,0.048385
0.020000,0.884398,1.438851,0.886925,2.528847,3.572829,-0.330008,0.051562
0.020000,0.936327,1.441616,0.938928,2.600140,3.564690,-0.406978,0.054858
0.020000,0.989667,1.444637,0.992353,2.671240,3.554986,-0.485205,0.058279
0.020000,1.044410,1.447928,1.047195,2.742114,3.543693,-0.564626,0.061826
0.020000,1.100551,1.451507,1.103450,2.812730,3.530790,-0.645172,0.065503
0.020000,1.158081,1.455390,1.161111,2.883055,3.516255,-0.726764,0.069312
0.020000,1.216998,1.459597,1.220178,2.953370,3.515744,-0.025522,0.073258
0.020000,1.277290,1.464146,1.280642,3.023162,3.489617,-1.306358,0.077343
0.020000,1.338955,1.469055,1.342501,3.092972,3.490475,0.042911,0.081572
0.020000,1.401979,1.474346,1.405747,3.162285,3.465680,-1.239734,0.085948
0.020000,1.466355,1.480040,1.470374,3.231379,3.454690,-0.549512,0.090475
0.020000,1.532075,1.486157,1.536379,3.300215,3.441795,-0.644736,0.095158
0.020000,1.599130,1.492720,1.603754,3.368754,3.426966,-0.741467,0.100000
0.020000,1.667508,1.499754,1.672493,3.436958,3.410175,-0.839538,0.105006
0.020000,1.737199,1.507280,1.742589,3.504786,3.391400,-0.938758,0.110181
0.020000,1.808188,1.515326,1.814033,3.572198,3.370622,-1.038917,0.115530
0.020000,1.880470,1.523916,1.886823,3.639516,3.365882,-0.236972,0.121059
0.020000,1.954024,1.533077,1.960945,3.706106,3.329507,-1.818793,0.126771
0.020000,2.028842,1.542837,2.036397,3.772608,3.325121,-0.219273,0.132674
0.020000,2.104907,1.553224,2.113168,3.838528,3.295961,-1.458018,0.138772
0.020000,2.182202,1.564267,2.191248,3.904033,3.275292,-1.033420,0.145072
0.020000,2.260713,1.575998,2.270631,3.969115,3.254086,-1.060308,0.151581
