dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000798,0.079822,3.991098,199.554885,6.282226
0.020000,0.000000,0.000000,0.003193,0.159644,3.991098,0.000000,6.282346
0.020000,0.000000,0.000000,0.007184,0.239466,3.991098,-0.000000,6.282545
0.020000,0.000000,0.000000,0.012772,0.319288,3.991098,0.000000,6.282824
0.020000,0.000000,0.000000,0.019955,0.399110,3.991098,-0.000000,6.283183
0.020000,0.008738,0.000002,0.028736,0.478932,3.991098,-0.000000,0.000437
0.020000,0.019113,0.000009,0.039113,0.558754,3.991098,0.000000,0.000957
0.020000,0.031089,0.000024,0.051086,0.638576,3.991098,-0.000000,0.001558
0.020000,0.044658,0.000050,0.064656,0.718398,3.991098,-0.000000,0.002240
0.020000,0.059822,0.000090,0.079822,0.798220,3.991098,0.000000,0.003005
0.020000,0.076586,0.000147,0.096585,0.878041,3.991098,-0.000000,0.003851
0.020000,0.094945,0.000226,0.114944,0.957863,3.991098,-0.000000,0.004781
0.020000,0.114900,0.000332,0.134899,1.037685,3.991098,0.000000,0.005795
0.020000,0.136451,0.000469,0.156451,1.117507,3.991098,-0.000000,0.006893
0.020000,0.159598,0.000642,0.179599,1.197329,3.991098,-0.000000,0.008077
0.020000,0.184343,0.000857,0.204344,1.277151,3.991098,0.000000,0.009346
0.020000,0.210684,0.001122,0.230685,1.356973,3.991098,-0.000000,0.010703
0.020000,0.238617,0.001441,0.258623,1.436795,3.991098,-0.000000,0.012148
0.020000,0.268151,0.001822,0.288157,1.516617,3.991098,0.000000,0.013683
0.020000,0.299277,0.002273,0.319288,1.596439,3.991098,-0.000000,0.015307
0.020000,0.332001,0.002802,0.352015,1.676261,3.991098,-0.000000,0.017024
0.020000,0.366319,0.003418,0.386338,1.756083,3.991098,0.000000,0.018833
0.020000,0.402232,0.004128,0.422258,1.835905,3.991098,-0.000000,0.020736
0.020000,0.439739,0.004944,0.459774,1.915727,3.991098,-0.000000,0.022736
0.020000,0.478841,0.005874,0.498887,1.995549,3.991098,0.000000,0.024833
0.020000,0.519536,0.006929,0.539596,2.075371,3.991098,0.000000,0.027028
0.020000,0.561826,0.008121,0.581902,2.155193,3.991098,-0.000000,0.029325
0.020000,0.605707,0.009461,0.625804,2.235015,3.991098,0.000000,0.031724
0.020000,0.651179,0.010961,0.671303,2.314837,3.991098,-0.000000,0.034227
0.020000,0.698246,0.012634,0.718398,2.394659,3.991098,0.000000,0.036837
0.020000,0.746900,0.014493,0.767089,2.474481,3.991098,0.000000,0.039556
0.020000,0.797147,0.016553,0.817377,2.554303,3.991098,-0.000000,0.042385
0.020000,0.848982,0.018827,0.869261,2.634124,3.991098,0.000000,0.045328
0.020000,0.902403,0.021332,0.922742,2.713946,3.991098,0.000000,0.048385
0.020000,0.957411,0.024083,0.977819,2.793768,3.991098,-0.000000,0.051562
0.020000,1.014004,0.027097,1.034493,2.873590,3.991098,0.000000,0.054858
0.020000,1.072181,0.030392,1.092763,2.953412,3.991098,0.000000,0.058279
0.020000,1.131941,0.033985,1.152629,3.033234,3.991098,0.000000,0.061826
0.020000,1.193279,0.037895,1.214092,3.113056,3.991098,-0.000000,0.065503
0.020000,1.256194,0.042142,1.277151,3.192878,3.991098,0.000000,0.069312
0.020000,1.320687,0.046747,1.341807,3.272700,3.991098,0.000000,0.073258
0.020000,1.386750,0.051731,1.408059,3.352522,3.991098,-0.000000,0.077343
0.020000,1.454386,0.057116,1.475908,3.432344,3.991098,0.000000,0.081572
0.020000,1.523587,0.062926,1.545353,3.512166,3.991098,0.000000,0.085948
0.020000,1.594352,0.069184,1.616395,3.591988,3.991098,-0.000000,0.090475
0.020000,1.666677,0.075916,1.689033,3.671810,3.991098,0.000000,0.095158
0.020000,1.740558,0.083148,1.763267,3.751632,3.991098,0.000000,0.100000
0.020000,1.815992,0.090907,1.839098,3.831454,3.991098,-0.000000,0.105006
0.020000,1.892971,0.099221,1.916525,3.911276,3.991098,0.000000,0.110181
0.020000,1.971490,0.108119,1.995549,3.991098,3.991098,0.000000,0.115530
0.020000,2.051549,0.117634,2.076169,4.070920,3.991098,0.000000,0.121059
0.020000,2.133134,0.127795,2.158386,4.150742,3.991098,0.000000,0.126771
0.020000,2.216244,0.138636,2.242199,4.230564,3.991098,-0.000000,0.132674
0.020000,2.300868,0.150192,2.327608,4.310386,3.991098,0.000000,0.138772
0.020000,2.386999,0.162498,2.414614,4.390207,3.991098,0.000000,0.145072
0.020000,2.474629,0.175592,2.503216,4.470029,3.991098,-0.000000,0.151581
0.020000,2.563746,0.189511,2.593415,4.549851,3.991098,0.000000,0.158303
0.020000,2.654342,0.204295,2.685211,4.629673,3.991098,0.000000,0.165248
0.020000,2.746407,0.219987,2.778602,4.709495,3.991098,0.000000,0.172420
0.020000,2.839925,0.236630,2.873590,4.789317,3.991098,-0.000000,0.179829
0.020000,2.934886,0.254267,2.970175,4.869139,3.991098,0.000000,0.187480
0.020000,3.031273,0.272947,3.068356,4.948961,3.991098,0.000000,0.195383
0.020000,3.129071,0.292716,3.168133,5.028783,3.991098,-0.000000,0.203544
0.020000,3.228265,0.313624,3.269507,5.108605,3.991098,0.000000,0.211973
0.020000,3.328836,0.335725,3.372478,5.188427,3.991098,-0.000000,0.220678
0.020000,3.430763,0.359071,3.477044,5.268249,3.991098,0.000000,0.229668
0.020000,3.534024,0.383718,3.583208,5.348071,3.991098,-0.000000,0.238952
0.020000,3.638600,0.409723,3.690967,5.427893,3.991098,0.000000,0.248539
0.020000,3.744460,0.437146,3.800323,5.507715,3.991098,0.000000,0.258439
0.020000,3.851581,0.466048,3.911276,5.587537,3.991098,-0.000000,0.268661
0.020000,3.959934,0.496494,4.023825,5.667359,3.991098,0.000000,0.279216
0.020000,4.069485,0.528548,4.137970,5.747181,3.991098,-0.000000,0.290113
0.020000,4.180202,0.562278,4.253712,5.827003,3.991098,0.000000,0.301362
0.020000,4.292049,0.597755,4.371050,5.906825,3.991098,-0.000000,0.312974
0.020000,4.404984,0.635048,4.489985,5.986647,3.991098,0.000000,0.324958
0.020000,4.518968,0.674233,4.610516,6.066468,3.991098,0.000000,0.337326
0.020000,4.633952,0.715385,4.732644,6.146290,3.991098,-0.000000,0.350086
0.020000,4.749890,0.758581,4.856368,6.226112,3.991098,0.000000,0.363249
0.020000,4.866728,0.803901,4.981688,6.305934,3.991098,-0.000000,0.376824
0.020000,4.984410,0.851424,5.108605,6.385756,3.991098,0.000000,0.390820
0.020000,5.102877,0.901233,5.237118,6.465578,3.991098,0.000000,0.405246
0.020000,5.222064,0.953413,5.367228,6.545400,3.991098,-0.000000,0.420110
0.020000,5.341903,1.008046,5.498934,6.625222,3.991098,0.000000,0.435419
0.020000,5.462321,1.065220,5.632237,6.705044,3.991098,0.000000,0.451179
0.020000,5.583240,1.125018,5.767136,6.784866,3.991098,0.000000,0.467396
0.020000,5.704579,1.187528,5.903632,6.864688,3.991098,-0.000000,0.484073
0.020000,5.826249,1.252836,6.041724,6.944510,3.991098,0.000000,0.501213
0.020000,5.948160,1.321027,6.181412,7.024332,3.991098,0.000000,0.518817
0.020000,6.070215,1.392185,6.322697,7.104154,3.991098,-0.000000,0.536884
0.020000,6.192311,1.466394,6.465578,7.183976,3.991098,0.000000,0.555411
0.020000,6.314342,1.543734,6.610056,7.263798,3.991098,-0.000000,0.574394
0.020000,6.436197,1.624284,6.756130,7.343620,3.991098,0.000000,0.593825
0.020000,6.557761,1.708119,6.903801,7.423442,3.991098,-0.000000,0.613694
0.020000,6.678911,1.795311,7.053068,7.503264,3.991098,0.000000,0.633988
0.020000,6.799525,1.885927,7.203931,7.583086,3.991098,-0.000000,0.654693
0.020000,6.919475,1.980029,7.356391,7.662908,3.991098,0.000000,0.675790
0.020000,7.038629,2.077675,7.510448,7.742730,3.991098,0.000000,0.697258
0.020000,7.156855,2.178915,7.666100,7.822551,3.991098,-0.000000,0.719073
0.020000,7.274016,2.283793,7.823350,7.902373,3.991098,0.000000,0.741208
0.020000,7.389977,2.392347,7.982195,7.982195,3.991098,-0.000000,0.763634
0.020000,7.503921,2.503925,8.141676,7.965849,-0.817310,-240.420364,0.786183
0.020000,7.614657,2.617348,8.300195,7.886027,-3.991098,-158.689406,0.808594
0.020000,7.721747,2.732044,8.457117,7.806205,-3.991098,0.000000,0.830746
0.020000,7.825225,2.847878,8.612443,7.726383,-3.991098,0.000000,0.852607
0.020000,7.925126,2.964717,8.766172,7.646561,-3.991098,-0.000000,0.874149
0.020000,8.021497,3.082430,8.918305,7.566739,-3.991098,0.000000,0.895346
0.020000,8.114388,3.200885,9.068842,7.486917,-3.991098,-0.000000,0.916175
0.020000,8.203856,3.319956,9.217782,7.407096,-3.991098,0.000000,0.936616
