dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001359,-1.416649,0.000798,0.079822,3.991098,199.554885,6.282226
0.020000,-0.001189,-1.416650,0.000968,0.008466,-3.567811,-377.945452,6.282346
0.020000,-0.000907,-1.416650,0.001250,0.014114,0.282416,192.511377,6.282545
0.020000,-0.000512,-1.416650,0.001645,0.019769,0.282754,0.016906,6.282824
0.020000,-0.000003,-1.416650,0.002154,0.025434,0.283228,0.023687,6.283183
0.020000,0.009358,-1.416648,0.011515,0.468044,22.130516,1092.364416,0.000437
0.020000,0.020469,-1.416640,0.022626,0.555561,4.375860,-887.732829,0.000957
0.020000,0.033296,-1.416624,0.035453,0.641339,4.288896,-4.348178,0.001558
0.020000,0.047831,-1.416596,0.049988,0.726784,4.272224,-0.833621,0.002240
0.020000,0.064078,-1.416554,0.066235,0.812351,4.278351,0.306383,0.003005
0.020000,0.082042,-1.416492,0.084199,0.898179,4.291440,0.654403,0.003851
0.020000,0.101718,-1.416407,0.103876,0.983842,4.283111,-0.416429,0.004781
0.020000,0.123110,-1.416294,0.125267,1.069572,4.286532,0.171064,0.005795
0.020000,0.146216,-1.416148,0.148374,1.155355,4.289127,0.129762,0.006893
0.020000,0.171039,-1.415962,0.173198,1.241185,4.291532,0.120224,0.008077
0.020000,0.197584,-1.415731,0.199744,1.327273,4.304370,0.641898,0.009346
0.020000,0.225846,-1.415447,0.228008,1.413198,4.296271,-0.404944,0.010703
0.020000,0.255827,-1.415105,0.257990,1.499112,4.295698,-0.028649,0.012148
0.020000,0.287534,-1.414695,0.289700,1.585514,4.320071,1.218640,0.013683
0.020000,0.320961,-1.414211,0.323130,1.671514,4.300013,-1.002891,0.015307
0.020000,0.356116,-1.413642,0.358290,1.757985,4.323562,1.177442,0.017024
0.020000,0.392997,-1.412981,0.395177,1.844357,4.318597,-0.248256,0.018833
0.020000,0.431606,-1.412217,0.433793,1.930813,4.322805,0.210410,0.020736
0.020000,0.471945,-1.411340,0.474142,2.017419,4.330272,0.373374,0.022736
0.020000,0.514016,-1.410340,0.516225,2.104157,4.336898,0.331277,0.024833
0.020000,0.557822,-1.409203,0.560045,2.191010,4.342678,0.288996,0.027028
0.020000,0.603363,-1.407920,0.605604,2.277962,4.347609,0.246578,0.029325
0.020000,0.650641,-1.406476,0.652904,2.364996,4.351691,0.204073,0.031724
0.020000,0.699658,-1.404860,0.701948,2.452206,4.360487,0.439815,0.034227
0.020000,0.750420,-1.403055,0.752742,2.539694,4.374402,0.695721,0.036837
0.020000,0.802922,-1.401049,0.805283,2.627032,4.366924,-0.373868,0.039556
0.020000,0.857174,-1.398825,0.859580,2.714876,4.392157,1.261641,0.042385
0.020000,0.913173,-1.396368,0.915633,2.802644,4.388402,-0.187762,0.045328
0.020000,0.970922,-1.393660,0.973445,2.890596,4.397598,0.459826,0.048385
0.020000,1.030423,-1.390684,1.033021,2.978786,4.409541,0.597119,0.051562
0.020000,1.091680,-1.387422,1.094365,3.067199,4.420618,0.553853,0.054858
0.020000,1.154695,-1.383853,1.157481,3.155815,4.430826,0.510421,0.058279
0.020000,1.219471,-1.379959,1.222374,3.244619,4.440164,0.466910,0.061826
0.020000,1.286008,-1.375717,1.289045,3.333591,4.448633,0.423415,0.065503
0.020000,1.354306,-1.371107,1.357500,3.422716,4.456233,0.380033,0.069312
0.020000,1.424375,-1.366103,1.427747,3.512349,4.481630,1.269848,0.073258
0.020000,1.496209,-1.360684,1.499785,3.601904,4.477750,-0.194026,0.077343
0.020000,1.569817,-1.354823,1.573626,3.692048,4.507209,1.472944,0.081572
0.020000,1.645196,-1.348495,1.649270,3.782195,4.507349,0.007017,0.085948
0.020000,1.722349,-1.341672,1.726724,3.872700,4.525257,0.895386,0.090475
0.020000,1.801278,-1.334325,1.805995,3.963545,4.542269,0.850585,0.095158
0.020000,1.881987,-1.326425,1.887089,4.054713,4.558383,0.805732,0.100000
0.020000,1.964475,-1.317940,1.970013,4.146185,4.573603,0.760982,0.105006
0.020000,2.048744,-1.308839,2.054771,4.237944,4.587933,0.716505,0.110181
0.020000,2.134793,-1.299087,2.141371,4.329971,4.601383,0.672481,0.115530
0.020000,2.222628,-1.288648,2.229825,4.422690,4.635934,1.727588,0.121059
0.020000,2.312243,-1.277487,2.320132,4.515365,4.633745,-0.109482,0.126771
0.020000,2.403645,-1.265564,2.412308,4.608809,4.672201,1.922806,0.132674
0.020000,2.496829,-1.252839,2.506357,4.702454,4.682262,0.503053,0.138772
0.020000,2.591796,-1.239270,2.602288,4.796544,4.704496,1.111734,0.145072
0.020000,2.688544,-1.224814,2.700110,4.891103,4.727971,1.173725,0.151581
