dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.646243,5.090388,0.001786,0.178571,8.928571,446.428571,2.506954
0.020000,23.646832,5.089955,0.002517,0.036584,-7.099392,-801.398185,2.507462
0.020000,23.647816,5.089232,0.003739,0.061057,1.223654,416.152329,2.508310
0.020000,23.643855,5.092134,0.008649,0.245547,9.224494,400.041994,2.509500
0.020000,23.632672,5.100311,0.022503,0.692675,22.356427,656.596656,2.511037
0.020000,23.618994,5.110275,0.039426,0.846149,7.673672,-734.137783,2.512926
0.020000,23.602825,5.122004,0.059401,0.998731,7.629111,-2.228034,2.515174
0.020000,23.584155,5.135477,0.082424,1.151178,7.622387,-0.336207,2.517791
0.020000,23.562989,5.150661,0.108473,1.302445,7.563331,-2.952792,2.520784
0.020000,23.539324,5.167524,0.137532,1.452930,7.524235,-1.954815,2.524164
0.020000,23.513155,5.186031,0.169583,1.602591,7.483051,-2.059189,2.527945
0.020000,23.484473,5.206144,0.204615,1.751561,7.448503,-1.727419,2.532141
0.020000,23.453282,5.227812,0.242593,1.898917,7.367808,-4.034714,2.536767
0.020000,23.419570,5.250989,0.283504,2.045560,7.332163,-1.782247,2.541843
0.020000,23.383344,5.275613,0.327306,2.190110,7.227476,-5.234366,2.547386
0.020000,23.344596,5.301624,0.373975,2.333432,7.166117,-3.067943,2.553421
0.020000,23.303329,5.328951,0.423470,2.474750,7.065915,-5.010129,2.559971
0.020000,23.259539,5.357522,0.475756,2.614309,6.977937,-4.398868,2.567064
0.020000,23.213229,5.387252,0.530788,2.751603,6.864673,-5.663200,2.574731
0.020000,23.164404,5.418050,0.588515,2.886317,6.735712,-6.448075,2.583003
0.020000,23.113062,5.449822,0.648892,3.018890,6.628670,-5.352074,2.591918
0.020000,23.059217,5.482458,0.711857,3.148209,6.465936,-8.136695,2.601517
0.020000,23.002880,5.515842,0.777342,3.274271,6.303073,-8.143156,2.611843
0.020000,22.944062,5.549851,0.845284,3.397110,6.141990,-8.054179,2.622945
0.020000,22.882786,5.584345,0.915602,3.515895,5.939213,-10.138833,2.634876
0.020000,22.819073,5.619181,0.988217,3.630724,5.741459,-9.887723,2.647694
0.020000,22.752959,5.654196,1.063031,3.740710,5.499320,-12.106901,2.661462
0.020000,22.684475,5.689224,1.139953,3.846099,5.269451,-11.493452,2.676249
0.020000,22.613677,5.724078,1.218865,3.945634,4.976739,-14.635632,2.692129
0.020000,22.540609,5.758567,1.299663,4.039888,4.712722,-13.200855,2.709183
0.020000,22.465339,5.792482,1.382222,4.127916,4.401381,-15.567045,2.727498
0.020000,22.387949,5.825599,1.466399,4.208881,4.048274,-17.655318,2.747164
0.020000,22.308520,5.857690,1.552066,4.283358,3.723814,-16.223017,2.768277
0.020000,22.227152,5.888511,1.639076,4.350483,3.356268,-18.377286,2.790938
0.020000,22.143956,5.917811,1.727281,4.410228,2.987232,-18.451833,2.815248
0.020000,22.059051,5.945331,1.816534,4.462686,2.622896,-18.216783,2.841310
0.020000,21.972562,5.970808,1.906698,4.508186,2.275006,-17.394509,2.869221
0.020000,21.884621,5.993975,1.997639,4.547076,1.944527,-16.523933,2.899069
0.020000,21.795349,6.014571,2.089256,4.580825,1.687438,-12.854453,2.930931
0.020000,21.704867,6.032335,2.181465,4.610448,1.481128,-10.315511,2.964858
0.020000,21.613261,6.047013,2.274239,4.638718,1.413524,-3.380192,3.000875
0.020000,21.520591,6.058359,2.367601,4.668096,1.468908,2.769173,3.038964
0.020000,21.426870,6.066129,2.461645,4.702171,1.703736,11.741419,3.079058
0.020000,21.332047,6.070082,2.556550,4.745271,2.155017,22.564046,3.121032
0.020000,21.236000,6.069967,2.652596,4.802311,2.851971,34.847715,3.164695
0.020000,21.138542,6.065519,2.750156,4.877986,3.783759,46.589417,3.209787
