dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.500000,6.250000,0.001786,0.178571,8.928571,446.428571,2.506954
0.020000,24.500000,6.250000,0.007143,0.357143,8.928571,0.000000,2.507462
0.020000,24.500000,6.250000,0.016071,0.535714,8.928571,0.000000,2.508310
0.020000,24.494656,6.253916,0.028571,0.714286,8.928571,-0.000000,2.509500
0.020000,24.481687,6.263398,0.044643,0.892857,8.928571,0.000000,2.511037
0.020000,24.465810,6.274965,0.064286,1.071429,8.928571,-0.000000,2.512926
0.020000,24.447020,6.288595,0.087500,1.250000,8.928571,0.000000,2.515174
0.020000,24.425295,6.304273,0.114286,1.428571,8.928571,-0.000000,2.517791
0.020000,24.400627,6.321969,0.144643,1.607143,8.928571,0.000000,2.520784
0.020000,24.372998,6.341657,0.178571,1.785714,8.928571,-0.000000,2.524164
0.020000,24.342384,6.363307,0.216071,1.964286,8.928571,-0.000000,2.527945
0.020000,24.308755,6.386889,0.257143,2.142857,8.928571,0.000000,2.532141
0.020000,24.272093,6.412357,0.301786,2.321429,8.928571,0.000000,2.536767
0.020000,24.232358,6.439676,0.350000,2.500000,8.928571,-0.000000,2.541843
0.020000,24.189530,6.468787,0.401786,2.678571,8.928571,0.000000,2.547386
0.020000,24.143567,6.499641,0.457143,2.857143,8.928571,0.000000,2.553421
0.020000,24.094436,6.532176,0.516071,3.035714,8.928571,0.000000,2.559971
0.020000,24.042091,6.566328,0.578571,3.214286,8.928571,0.000000,2.567064
0.020000,23.986491,6.602022,0.644643,3.392857,8.928571,0.000000,2.574731
0.020000,23.927592,6.639174,0.714286,3.571429,8.928571,-0.000000,2.583003
0.020000,23.865332,6.677702,0.787500,3.750000,8.928571,0.000000,2.591918
0.020000,23.799666,6.717503,0.864286,3.928571,8.928571,0.000000,2.601517
0.020000,23.730537,6.758467,0.944643,4.107143,8.928571,0.000000,2.611843
0.020000,23.657878,6.800477,1.028571,4.285714,8.928571,0.000000,2.622945
0.020000,23.581631,6.843398,1.116071,4.464286,8.928571,0.000000,2.634876
0.020000,23.501722,6.887088,1.207143,4.642857,8.928571,0.000000,2.647694
0.020000,23.418088,6.931382,1.301786,4.821429,8.928571,-0.000000,2.661462
0.020000,23.330646,6.976106,1.400000,5.000000,8.928571,0.000000,2.676249
0.020000,23.239331,7.021058,1.501786,5.178571,8.928571,0.000000,2.692129
0.020000,23.144055,7.066027,1.607143,5.357143,8.928571,-0.000000,2.709183
0.020000,23.044738,7.110774,1.716071,5.535714,8.928571,0.000000,2.727498
0.020000,22.941314,7.155030,1.828571,5.714286,8.928571,-0.000000,2.747164
0.020000,22.833695,7.198507,1.944643,5.892857,8.928571,0.000000,2.768277
0.020000,22.721810,7.240884,2.064286,6.071429,8.928571,-0.000000,2.790938
0.020000,22.605595,7.281809,2.187500,6.250000,8.928571,0.000000,2.815248
0.020000,22.484989,7.320895,2.314286,6.428571,8.928571,0.000000,2.841310
0.020000,22.359945,7.357723,2.444643,6.607143,8.928571,-0.000000,2.869221
0.020000,22.230441,7.391834,2.578571,6.785714,8.928571,0.000000,2.899069
0.020000,22.096463,7.422737,2.716071,6.964286,8.928571,-0.000000,2.930931
0.020000,21.958042,7.449904,2.857143,7.142857,8.928571,0.000000,2.964858
0.020000,21.815227,7.472779,3.001786,7.321429,8.928571,-0.000000,3.000875
0.020000,21.668118,7.490782,3.150000,7.500000,8.928571,0.000000,3.038964
0.020000,21.516861,7.503314,3.301786,7.678571,8.928571,0.000000,3.079058
0.020000,21.361652,7.509777,3.457143,7.857143,8.928571,-0.000000,3.121032
0.020000,21.202736,7.509583,3.616071,8.035714,8.928571,0.000000,3.164695
0.020000,21.040419,7.502172,3.778571,8.214286,8.928571,-0.000000,3.209787
0.020000,20.875054,7.487033,3.944643,8.392857,8.928571,0.000000,3.255978
0.020000,20.707038,7.463719,4.114286,8.571429,8.928571,0.000000,3.302883
0.020000,20.536793,7.431867,4.287500,8.750000,8.928571,0.000000,3.350068
0.020000,20.364764,7.391207,4.464286,8.928571,8.928571,0.000000,3.397077
0.020000,20.191388,7.341574,4.644643,9.107143,8.928571,0.000000,3.443450
0.020000,20.017085,7.282904,4.828571,9.285714,8.928571,0.000000,3.488747
0.020000,19.842238,7.215233,5.016071,9.464286,8.928571,-0.000000,3.532570
