dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.353757,7.409612,0.001786,0.178571,8.928571,446.428571,2.506954
0.020000,25.353168,7.410045,0.002517,0.036584,-7.099392,-801.398185,2.507462
0.020000,25.352184,7.410768,0.003739,0.061057,1.223654,416.152329,2.508310
0.020000,25.345457,7.415698,0.012078,0.416992,17.796765,828.655543,2.509500
0.020000,25.330702,7.426486,0.030356,0.913897,24.845245,352.423995,2.511037
0.020000,25.312626,7.439655,0.052721,1.118224,10.216369,-731.443823,2.512926
0.020000,25.291215,7.455185,0.079171,1.322501,10.213832,-0.126843,2.515174
0.020000,25.266435,7.473068,0.109730,1.527954,10.272653,2.941087,2.517791
0.020000,25.238266,7.493277,0.144399,1.733432,10.273915,0.063068,2.520784
0.020000,25.206672,7.515790,0.183193,1.939712,10.314001,2.004296,2.524164
0.020000,25.171613,7.540584,0.226133,2.147003,10.364554,2.527658,2.527945
0.020000,25.133037,7.567634,0.273248,2.355769,10.438285,3.686575,2.532141
0.020000,25.090904,7.596903,0.324550,2.565072,10.465126,1.342045,2.536767
0.020000,25.045146,7.628362,0.380079,2.776452,10.569035,5.195420,2.541843
0.020000,24.995716,7.661961,0.439847,2.988391,10.596959,1.396239,2.547386
0.020000,24.942538,7.697659,0.503895,3.202445,10.702659,5.284960,2.553421
0.020000,24.885543,7.735401,0.572255,3.417963,10.775931,3.663619,2.559971
0.020000,24.824643,7.775134,0.644969,3.635732,10.888461,5.626504,2.567064
0.020000,24.759753,7.816792,0.722080,3.855543,10.990509,5.102380,2.574731
0.020000,24.690779,7.860299,0.803630,4.077483,11.097017,5.325422,2.583003
0.020000,24.617602,7.905583,0.889685,4.302760,11.263840,8.341119,2.591918
0.020000,24.540115,7.952548,0.980294,4.530432,11.383590,5.987543,2.601517
0.020000,24.458194,8.001091,1.075517,4.761175,11.537190,7.679982,2.611843
0.020000,24.371695,8.051103,1.175433,4.995801,11.731293,9.705143,2.622945
0.020000,24.280476,8.102452,1.280111,5.233907,11.905281,8.699400,2.634876
0.020000,24.184372,8.154996,1.389642,5.476521,12.130707,11.271292,2.647694
0.020000,24.083217,8.208567,1.504107,5.723253,12.336613,10.295326,2.661462
0.020000,23.976817,8.262987,1.623616,5.975480,12.611320,13.735311,2.676249
0.020000,23.864986,8.318037,1.748262,6.232302,12.841094,11.488737,2.692129
0.020000,23.747501,8.373488,1.878176,6.495693,13.169579,16.424238,2.709183
0.020000,23.624138,8.429067,2.013481,6.765247,13.477675,15.404817,2.727498
0.020000,23.494679,8.484461,2.154293,7.040603,13.767820,14.507254,2.747164
0.020000,23.358870,8.539325,2.300766,7.323627,14.151185,19.168212,2.768277
0.020000,23.216469,8.593257,2.453038,7.613600,14.498654,17.373455,2.790938
0.020000,23.067233,8.645807,2.611255,7.910852,14.862595,18.197060,2.815248
0.020000,22.910927,8.696459,2.775564,8.215456,15.230229,18.381692,2.841310
0.020000,22.747329,8.744638,2.946109,8.527231,15.588747,17.925920,2.869221
0.020000,22.576261,8.789692,3.123010,8.845065,15.891679,15.146575,2.899069
0.020000,22.397577,8.830903,3.306385,9.168758,16.184680,14.650075,2.930931
0.020000,22.211217,8.867473,3.496299,9.495674,16.345776,8.054803,2.964858
0.020000,22.017193,8.898546,3.692796,9.824848,16.458703,5.646317,3.000875
0.020000,21.815644,8.923205,3.895847,10.152593,16.387229,-3.573673,3.038964
0.020000,21.606852,8.940499,4.105354,10.475336,16.137189,-12.501992,3.079058
0.020000,21.391258,8.949473,4.321135,10.789038,15.685094,-22.604791,3.121032
0.020000,21.169471,8.949199,4.542922,11.089346,15.015408,-33.484257,3.164695
0.020000,20.942296,8.938825,4.770334,11.370608,14.063076,-47.616599,3.209787
0.020000,20.710698,8.917623,5.002900,11.628317,12.885458,-58.880916,3.255978
0.020000,20.475785,8.885029,5.240063,11.858151,11.491684,-69.688693,3.302883
0.020000,20.238758,8.840687,5.481203,12.056976,9.941273,-77.520547,3.350068
0.020000,20.000855,8.784466,5.725658,12.222769,8.289630,-82.582163,3.397077
0.020000,19.763285,8.716466,5.972769,12.355558,6.639445,-82.509258,3.443450
0.020000,19.527163,8.637000,6.221904,12.456746,5.059416,-79.001430,3.488747
0.020000,19.293465,8.546567,6.472489,12.529244,3.624897,-71.725967,3.532570
0.020000,19.062988,8.445803,6.724031,12.577071,2.391361,-61.676780,3.574576
0.020000,18.836333,8.335440,6.976127,12.604825,1.387680,-50.184047,3.614486
0.020000,18.613905,8.216258,7.228473,12.617271,0.622327,-38.267645,3.652088
0.020000,18.397825,8.090197,7.478636,12.508196,-5.453763,-303.804523,3.686933
0.020000,18.189766,7.959335,7.724428,12.289568,-10.931421,-273.882918,3.718740
0.020000,17.989274,7.824576,7.966000,12.078592,-10.548807,19.130734,3.747615
0.020000,17.795844,7.686703,8.203538,11.876905,-10.084333,23.223709,3.773687
0.020000,17.608946,7.546389,8.437244,11.685321,-9.579183,25.257463,3.797098
0.020000,17.428053,7.404211,8.667325,11.504027,-9.064705,25.723907,3.817991
0.020000,17.252645,7.260668,8.893980,11.332753,-8.563701,25.050207,3.836503
0.020000,17.082228,7.116192,9.117397,11.170848,-8.095245,23.422797,3.852767
