dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.723318,10.988907,0.001796,0.179556,8.977801,448.890062,4.691507
0.020000,26.723160,10.981980,0.008724,0.346434,8.343907,-31.694714,4.688293
0.020000,26.722714,10.965315,0.025396,0.833564,24.356513,800.630289,4.682951
0.020000,26.721942,10.942025,0.048698,1.165115,16.577505,-388.950409,4.675497
0.020000,26.720696,10.912158,0.078591,1.494642,16.476367,-5.056886,4.665960
0.020000,26.718795,10.875782,0.115016,1.821281,16.331964,-7.220166,4.654380
0.020000,26.716018,10.832991,0.157897,2.144055,16.138673,-9.664541,4.640812
0.020000,26.712117,10.783910,0.207134,2.461820,15.888260,-12.520657,4.625323
0.020000,26.706815,10.728701,0.262597,2.773156,15.566830,-16.071500,4.608004
0.020000,26.699820,10.667568,0.324128,3.076576,15.171005,-19.791232,4.588965
0.020000,26.690831,10.600763,0.391536,3.370366,14.689469,-24.076780,4.568338
0.020000,26.679545,10.528585,0.464590,3.652737,14.118548,-28.546072,4.546284
0.020000,26.665673,10.451384,0.543028,3.921891,13.457724,-33.041185,4.522985
0.020000,26.648948,10.369554,0.626550,4.176082,12.709547,-37.408845,4.498649
0.020000,26.629136,10.283531,0.714824,4.413724,11.882099,-41.372437,4.473506
0.020000,26.606048,10.193783,0.807494,4.633496,10.988584,-44.675744,4.447805
0.020000,26.579545,10.100799,0.904182,4.834398,10.045094,-47.174500,4.421807
0.020000,26.549547,10.005072,1.004499,5.015841,9.072156,-48.646864,4.395782
0.020000,26.516032,9.907092,1.108052,5.177665,8.091194,-49.048117,4.370004
0.020000,26.479035,9.807329,1.214455,5.320143,7.123912,-48.364116,4.344741
0.020000,26.438649,9.706219,1.323332,5.443849,6.185307,-46.930218,4.320254
0.020000,26.395018,9.604160,1.434326,5.549710,5.293065,-44.612120,4.296790
0.020000,26.348329,9.501504,1.547101,5.638744,4.451676,-42.069436,4.274584
0.020000,26.298810,9.398551,1.661344,5.712137,3.669644,-39.101600,4.253852
0.020000,26.246722,9.295556,1.776762,5.770879,2.937097,-36.627364,4.234799
0.020000,26.192354,9.192725,1.893080,5.815915,2.251814,-34.264128,4.217614
0.020000,26.136023,9.090229,2.010036,5.847796,1.594036,-32.888943,4.202481
0.020000,26.078073,8.988203,2.127371,5.866737,0.947048,-32.349359,4.189578
0.020000,26.018874,8.886764,2.244820,5.872482,0.287281,-32.988375,4.179090
0.020000,25.958829,8.786015,2.362105,5.864244,-0.411927,-34.960388,4.171210
0.020000,25.898377,8.686063,2.478916,5.840568,-1.183792,-38.593238,4.166153
0.020000,25.838000,8.587031,2.594902,5.799292,-2.063793,-44.000070,4.164163
0.020000,25.778235,8.489076,2.709651,5.737413,-3.093969,-51.508797,4.165526
0.020000,25.719676,8.392410,2.822670,5.650968,-4.322260,-61.414539,4.170584
0.020000,25.662990,8.297327,2.933368,5.534896,-5.803592,-74.066596,4.179747
0.020000,25.608918,8.204233,3.041026,5.382916,-7.598964,-89.768610,4.193515
0.020000,25.558277,8.113682,3.144776,5.187477,-9.771981,-108.650861,4.212491
0.020000,25.511948,8.026422,3.243572,4.939797,-12.384013,-130.601581,4.237399
0.020000,25.471646,7.945134,3.334302,4.536539,-20.162903,-388.944494,4.268353
0.020000,25.438597,7.872437,3.414159,3.992804,-27.186735,-351.191606,4.304809
0.020000,25.412635,7.808863,3.482830,3.433582,-27.961112,-38.718851,4.346537
0.020000,25.393168,7.754454,3.540616,2.889315,-27.213330,37.389107,4.393331
0.020000,25.379397,7.709064,3.588049,2.371634,-25.884070,66.462967,4.444821
0.020000,25.370344,7.672258,3.625953,1.895172,-23.823068,103.050103,4.500435
0.020000,25.364943,7.643239,3.655470,1.475879,-20.964638,142.921507,4.559379
0.020000,25.362153,7.620842,3.678040,1.128482,-17.369857,179.739034,4.620655
0.020000,25.361085,7.603605,3.695310,0.863524,-13.247908,206.097466,4.683117
0.020000,25.361098,7.589907,3.709008,0.684882,-8.932103,215.790263,4.745567
0.020000,25.361845,7.578157,3.720782,0.588693,-4.809454,206.132440,4.806859
0.020000,25.363244,7.566962,3.732064,0.564112,-1.229028,179.021301,4.865999
0.020000,25.365405,7.555248,3.743976,0.595585,1.573631,140.132954,4.922209
0.020000,25.368532,7.542305,3.757291,0.665746,3.508060,96.721425,4.974950
0.020000,25.372836,7.527769,3.772451,0.758024,4.613896,55.291825,5.023915
0.020000,25.378478,7.511555,3.789619,0.858373,5.017418,20.176084,5.068993
0.020000,25.385532,7.493783,3.808739,0.956029,4.882803,-6.730758,5.110220
0.020000,25.393987,7.474702,3.829609,1.043509,4.374014,-25.439436,5.147739
0.020000,25.403753,7.454629,3.851933,1.116161,3.632597,-37.070826,5.181756
0.020000,25.414679,7.433901,3.875363,1.171546,2.769280,-43.165881,5.212510
0.020000,25.426571,7.412853,3.899539,1.208751,1.860248,-45.451564,5.240252
0.020000,25.439212,7.391793,3.924101,1.228121,0.968466,-44.589115,5.265232
0.020000,25.452372,7.371000,3.948709,1.230391,0.113512,-42.747688,5.287687
