dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.283632,11.018975,0.001796,0.179556,8.977801,448.890062,4.691507
0.020000,25.283578,11.016674,0.007182,0.359112,8.977801,0.000000,4.688293
0.020000,25.283338,11.007700,0.016160,0.538668,8.977801,0.000000,4.682951
0.020000,25.282921,10.995138,0.028729,0.718224,8.977801,-0.000000,4.675497
0.020000,25.282248,10.978992,0.044889,0.897780,8.977801,0.000000,4.665960
0.020000,25.281217,10.959268,0.064640,1.077336,8.977801,0.000000,4.654380
0.020000,25.279706,10.935975,0.087982,1.256892,8.977801,-0.000000,4.640812
0.020000,25.277571,10.909126,0.114916,1.436448,8.977801,0.000000,4.625323
0.020000,25.274653,10.878742,0.145440,1.616004,8.977801,0.000000,4.608004
0.020000,25.270774,10.844848,0.179556,1.795560,8.977801,0.000000,4.588965
0.020000,25.265745,10.807479,0.217263,1.975116,8.977801,0.000000,4.568338
0.020000,25.259365,10.766678,0.258561,2.154672,8.977801,-0.000000,4.546284
0.020000,25.251425,10.722498,0.303450,2.334228,8.977801,0.000000,4.522985
0.020000,25.241716,10.675001,0.351930,2.513784,8.977801,-0.000000,4.498649
0.020000,25.230028,10.624260,0.404001,2.693340,8.977801,0.000000,4.473506
0.020000,25.216158,10.570355,0.459663,2.872896,8.977801,-0.000000,4.447805
0.020000,25.199914,10.513373,0.518917,3.052452,8.977801,0.000000,4.421807
0.020000,25.181119,10.453407,0.581762,3.232008,8.977801,-0.000000,4.395782
0.020000,25.159614,10.390550,0.648197,3.411564,8.977801,0.000000,4.370004
0.020000,25.135263,10.324896,0.718224,3.591120,8.977801,-0.000000,4.344741
0.020000,25.107952,10.256533,0.791842,3.770677,8.977801,0.000000,4.320254
0.020000,25.077598,10.185542,0.869051,3.950233,8.977801,-0.000000,4.296790
0.020000,25.044144,10.111995,0.949851,4.129789,8.977801,0.000000,4.274584
0.020000,25.007560,10.035947,1.034243,4.309345,8.977801,-0.000000,4.253852
0.020000,24.967850,9.957438,1.122225,4.488901,8.977801,0.000000,4.234799
0.020000,24.925045,9.876486,1.213799,4.668457,8.977801,-0.000000,4.217614
0.020000,24.879207,9.793089,1.308963,4.848013,8.977801,0.000000,4.202481
