dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.843946,11.049044,0.001796,0.179556,8.977801,448.890062,4.691507
0.020000,23.843996,11.051369,0.004121,0.116264,-3.164624,-607.121265,4.688293
0.020000,23.843962,11.050085,0.005405,0.064210,-2.602700,28.096189,4.682951
0.020000,23.843901,11.048251,0.007240,0.091762,1.377632,199.016608,4.675497
0.020000,23.843800,11.045825,0.009667,0.121360,1.479879,5.112360,4.665960
0.020000,23.843639,11.042753,0.012744,0.153823,1.623187,7.165372,4.654380
0.020000,23.843393,11.038958,0.016547,0.190144,1.816041,9.642710,4.640812
0.020000,23.843026,11.034343,0.021177,0.231499,2.067746,12.585268,4.625323
0.020000,23.842491,11.028784,0.026762,0.279246,2.387358,15.980608,4.608004
0.020000,23.841729,11.022129,0.033460,0.334932,2.784295,19.846818,4.588965
0.020000,23.840660,11.014195,0.041465,0.400243,3.265547,24.062643,4.568338
0.020000,23.839185,11.004771,0.051005,0.476963,3.835999,28.522561,4.546284
0.020000,23.837177,10.993612,0.062343,0.566902,4.496952,33.047666,4.522985
0.020000,23.834484,10.980449,0.075779,0.671806,5.245164,37.410601,4.498649
0.020000,23.830919,10.964989,0.091644,0.793258,6.072619,41.372746,4.473506
0.020000,23.826268,10.946926,0.110296,0.932589,6.966571,44.697600,4.447805
0.020000,23.820283,10.925948,0.132111,1.090786,7.909851,47.164001,4.421807
0.020000,23.812691,10.901742,0.157480,1.268438,8.882576,48.636243,4.395782
0.020000,23.803197,10.874008,0.186794,1.465708,9.863523,49.047357,4.370004
0.020000,23.791490,10.842463,0.220441,1.682357,10.832412,48.444446,4.344741
0.020000,23.777255,10.806847,0.258797,1.917760,11.770151,46.886944,4.320254
0.020000,23.760179,10.766925,0.302217,2.171037,12.663869,44.685909,4.296790
0.020000,23.739958,10.722487,0.351039,2.441102,13.503265,41.969807,4.274584
0.020000,23.716311,10.673343,0.405577,2.726859,14.287841,39.228774,4.253852
0.020000,23.688979,10.619319,0.466121,3.027218,15.017928,36.504369,4.234799
0.020000,23.657736,10.560246,0.532948,3.341333,15.705780,34.392601,4.217614
0.020000,23.622390,10.495949,0.606319,3.668592,16.362961,32.859047,4.202481
0.020000,23.582786,10.426238,0.686495,4.008784,17.009582,32.331066,4.189578
0.020000,23.538807,10.350890,0.773738,4.362161,17.668844,32.963083,4.179090
0.020000,23.490376,10.269639,0.868329,4.729538,18.368859,35.000731,4.171210
0.020000,23.437458,10.182151,0.970576,5.112342,19.140213,38.567735,4.166153
0.020000,23.380064,10.088013,1.080831,5.512741,20.019943,43.986502,4.164163
0.020000,23.318254,9.986705,1.199505,5.933734,21.049632,51.484438,4.165526
0.020000,23.252152,9.877579,1.327091,6.379280,22.277319,61.384361,4.170584
0.020000,23.181960,9.759823,1.464180,6.854431,23.757545,74.011286,4.179747
0.020000,23.107989,9.632433,1.611489,7.365457,25.551288,89.687143,4.193515
