dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.501246,2.060001,0.001786,0.178571,8.928571,446.428571,3.142458
0.020000,24.498398,2.060000,0.004634,0.142409,-1.808098,-536.833464,3.141335
0.020000,24.486778,2.060014,0.016254,0.581011,21.930075,1186.908635,3.139466
0.020000,24.470518,2.060070,0.032514,0.812995,11.599179,-516.544798,3.136854
0.020000,24.449627,2.060204,0.053405,1.044566,11.578577,-1.030117,3.133507
0.020000,24.424117,2.060462,0.078916,1.275554,11.549391,-1.459260,3.129432
0.020000,24.394003,2.060901,0.109033,1.505852,11.514921,-1.723495,3.124639
0.020000,24.359305,2.061584,0.143739,1.735271,11.470942,-2.198965,3.119139
0.020000,24.320045,2.062588,0.183012,1.963636,11.418243,-2.634953,3.112947
0.020000,24.276252,2.063993,0.226827,2.190761,11.356236,-3.100355,3.106082
0.020000,24.227961,2.065891,0.275156,2.416437,11.283813,-3.621170,3.098561
0.020000,24.175211,2.068378,0.327964,2.640432,11.199732,-4.204029,3.090411
0.020000,24.118049,2.071558,0.385214,2.862500,11.103428,-4.815223,3.081655
0.020000,24.056530,2.075538,0.446862,3.082377,10.993836,-5.479578,3.072327
0.020000,23.990716,2.080431,0.512857,3.299782,10.870271,-6.178233,3.062458
0.020000,23.920677,2.086351,0.583146,3.514417,10.731726,-6.927279,3.052089
0.020000,23.846493,2.093415,0.657666,3.725993,10.578783,-7.647118,3.041262
0.020000,23.768251,2.101737,0.736349,3.934174,10.409090,-8.484672,3.030023
0.020000,23.686048,2.111432,0.819122,4.138652,10.223873,-9.260869,3.018424
0.020000,23.599988,2.122608,0.905904,4.339105,10.022669,-10.060192,3.006522
0.020000,23.510186,2.135370,0.996609,4.535221,9.805807,-10.843082,2.994375
0.020000,23.416762,2.149816,1.091143,4.726698,9.573834,-11.598669,2.982050
0.020000,23.319845,2.166033,1.189407,4.913241,9.327174,-12.332991,2.969613
0.020000,23.219568,2.184099,1.291299,5.094584,9.067151,-13.001151,2.957139
0.020000,23.116069,2.204081,1.396709,5.270472,8.794387,-13.638214,2.944701
0.020000,23.009492,2.226029,1.505522,5.440685,8.510630,-14.187850,2.932379
0.020000,22.899981,2.249981,1.617623,5.605022,8.216872,-14.687884,2.920256
0.020000,22.787679,2.275957,1.732889,5.763313,7.914518,-15.117715,2.908413
0.020000,22.672733,2.303961,1.851197,5.915409,7.604798,-15.485991,2.896939
0.020000,22.555285,2.333979,1.972421,6.061186,7.288880,-15.795880,2.885920
0.020000,22.435474,2.365977,2.096432,6.200537,6.967556,-16.066197,2.875446
0.020000,22.313434,2.399902,2.223099,6.333368,6.641549,-16.300380,2.865607
0.020000,22.189296,2.435682,2.352291,6.459587,6.310920,-16.531425,2.856496
0.020000,22.063183,2.473223,2.483873,6.579101,5.975711,-16.760472,2.848204
0.020000,21.935212,2.512412,2.617709,6.691810,5.635462,-17.012415,2.840828
0.020000,21.805496,2.553114,2.753661,6.797586,5.288798,-17.333241,2.834462
0.020000,21.674139,2.595171,2.891586,6.896280,4.934706,-17.704577,2.829206
0.020000,21.541241,2.638405,3.031340,6.987701,4.571042,-18.183215,2.825161
0.020000,21.406896,2.682615,3.172773,7.071618,4.195843,-18.759919,2.822430
0.020000,21.271195,2.727575,3.315728,7.147748,3.806529,-19.465733,2.821122
0.020000,21.134228,2.773039,3.460043,7.215760,3.400556,-20.298613,2.821350
0.020000,20.996084,2.818734,3.605548,7.275267,2.975387,-21.258486,2.823231
0.020000,20.856853,2.864361,3.752065,7.325841,2.528668,-22.335957,2.826890
0.020000,20.716630,2.909601,3.899405,7.367017,2.058828,-23.491982,2.832457
0.020000,20.575515,2.954105,4.047372,7.398321,1.565206,-24.681113,2.840069
0.020000,20.433617,2.997504,4.195758,7.419300,1.048939,-25.813324,2.849870
0.020000,20.291055,3.039403,4.344349,7.429570,0.513514,-26.771243,2.862008
0.020000,20.147959,3.079389,4.492927,7.428888,-0.034144,-27.382933,2.876636
0.020000,20.004470,3.117031,4.641272,7.417242,-0.582261,-27.405814,2.893905
0.020000,19.860736,3.151886,4.789171,7.394975,-1.113358,-26.554870,2.913963
0.020000,19.716912,3.183504,4.936430,7.362930,-1.602282,-24.446220,2.936946
0.020000,19.573148,3.211437,5.082882,7.322622,-2.015379,-20.654818,2.962968
0.020000,19.429580,3.235244,5.228411,7.276426,-2.309785,-14.720317,2.992112
0.020000,19.286313,3.254501,5.372966,7.227743,-2.434186,-6.220028,3.024410
0.020000,19.143405,3.268803,5.516588,7.181115,-2.331369,5.140823,3.059836
0.020000,19.000842,3.277767,5.659433,7.142232,-1.944166,19.360173,3.098281
0.020000,18.859772,3.281025,5.800540,7.055385,-4.342352,-119.909327,3.139172
0.020000,18.717797,3.278914,5.942531,7.099537,2.207593,327.497242,3.173164
0.020000,18.567728,3.271565,6.092779,7.512416,20.643943,921.817525,3.207709
0.020000,18.416696,3.258994,6.244333,7.577707,3.264565,-868.968890,3.241347
0.020000,18.264572,3.241245,6.397490,7.657832,4.006281,37.085810,3.273872
0.020000,18.111245,3.218379,6.552513,7.751147,4.665706,32.971232,3.305102
0.020000,17.956626,3.190473,6.709630,7.855826,5.233952,28.412273,3.334878
0.020000,17.800649,3.157626,6.869028,7.969920,5.704734,23.539103,3.363070
0.020000,17.643263,3.119960,7.030858,8.091496,6.078771,18.701852,3.389573
0.020000,17.484436,3.077618,7.195232,8.218723,6.361352,14.129052,3.414310
0.020000,17.324143,3.030768,7.362231,8.349947,6.561190,9.991939,3.437225
0.020000,17.162368,2.979598,7.531906,8.483731,6.689216,6.401277,3.458282
0.020000,16.999095,2.924318,7.704283,8.618880,6.757458,3.412095,3.477463
0.020000,16.834306,2.865153,7.879372,8.754442,6.778123,1.033274,3.494761
0.020000,16.667975,2.802345,8.057166,8.889699,6.762833,-0.764512,3.510180
0.020000,16.500069,2.736150,8.237649,9.024149,6.722483,-2.017508,3.523733
0.020000,16.330545,2.666830,8.420799,9.157477,6.666426,-2.802841,3.535434
0.020000,16.159344,2.594662,8.606589,9.289533,6.602804,-3.181107,3.545301
0.020000,15.986395,2.519925,8.794995,9.420301,6.538382,-3.221101,3.553352
0.020000,15.811613,2.442910,8.985993,9.549874,6.478631,-2.987534,3.559603
0.020000,15.634899,2.363910,9.179562,9.678430,6.427806,-2.541261,3.564070
0.020000,15.456139,2.283228,9.375686,9.806213,6.389168,-1.931898,3.566761
0.020000,15.275207,2.201171,9.574356,9.933514,6.365018,-1.207505,3.567684
