dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.500000,3.500000,0.001786,0.178571,8.928571,446.428571,3.142458
0.020000,24.498769,3.500000,0.007143,0.357143,8.928571,0.000000,3.141335
0.020000,24.489841,3.500011,0.016071,0.535714,8.928571,0.000000,3.139466
0.020000,24.477341,3.500054,0.028571,0.714286,8.928571,-0.000000,3.136854
0.020000,24.461270,3.500157,0.044643,0.892857,8.928571,0.000000,3.133507
0.020000,24.441628,3.500356,0.064286,1.071429,8.928571,-0.000000,3.129432
0.020000,24.418416,3.500694,0.087500,1.250000,8.928571,0.000000,3.124639
0.020000,24.391636,3.501221,0.114286,1.428571,8.928571,-0.000000,3.119139
0.020000,24.361288,3.501997,0.144643,1.607143,8.928571,0.000000,3.112947
0.020000,24.327377,3.503085,0.178571,1.785714,8.928571,-0.000000,3.106082
0.020000,24.289906,3.504558,0.216071,1.964286,8.928571,-0.000000,3.098561
0.020000,24.248881,3.506492,0.257143,2.142857,8.928571,0.000000,3.090411
0.020000,24.204307,3.508972,0.301786,2.321429,8.928571,0.000000,3.081655
0.020000,24.156193,3.512085,0.350000,2.500000,8.928571,-0.000000,3.072327
0.020000,24.104550,3.515924,0.401786,2.678571,8.928571,0.000000,3.062458
0.020000,24.049390,3.520587,0.457143,2.857143,8.928571,0.000000,3.052089
0.020000,23.990727,3.526173,0.516071,3.035714,8.928571,0.000000,3.041262
0.020000,23.928578,3.532784,0.578571,3.214286,8.928571,0.000000,3.030023
0.020000,23.862962,3.540523,0.644643,3.392857,8.928571,0.000000,3.018424
0.020000,23.793900,3.549492,0.714286,3.571429,8.928571,-0.000000,3.006522
0.020000,23.721414,3.559794,0.787500,3.750000,8.928571,0.000000,2.994375
0.020000,23.645531,3.571528,0.864286,3.928571,8.928571,0.000000,2.982050
0.020000,23.566276,3.584790,0.944643,4.107143,8.928571,0.000000,2.969613
0.020000,23.483678,3.599672,1.028571,4.285714,8.928571,0.000000,2.957139
0.020000,23.397765,3.616259,1.116071,4.464286,8.928571,0.000000,2.944701
