dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.498754,4.939999,0.001786,0.178571,8.928571,446.428571,3.142458
0.020000,24.499141,4.940000,0.002172,0.019337,-7.961699,-844.513507,3.141335
0.020000,24.492904,4.940008,0.008409,0.311849,14.625562,1129.363029,3.139466
0.020000,24.484164,4.940038,0.017149,0.437000,6.257551,-418.400569,3.136854
0.020000,24.472912,4.940110,0.028401,0.562584,6.279200,1.082460,3.133507
0.020000,24.459139,4.940249,0.042175,0.688719,6.306763,1.378178,3.129432
0.020000,24.442829,4.940487,0.058487,0.815577,6.342877,1.805700,3.124639
0.020000,24.423966,4.940858,0.077353,0.943302,6.386281,2.170198,3.119139
0.020000,24.402532,4.941406,0.098795,1.072073,6.438554,2.613657,3.112947
0.020000,24.378503,4.942178,0.122836,1.202086,6.500650,3.104772,3.106082
0.020000,24.351852,4.943225,0.149507,1.333553,6.573319,3.633480,3.098561
0.020000,24.322551,4.944607,0.178841,1.466698,6.657282,4.198132,3.090411
0.020000,24.290565,4.946386,0.210877,1.601771,6.753628,4.817323,3.081655
0.020000,24.255857,4.948632,0.245657,1.739033,6.863129,5.475038,3.072327
0.020000,24.218385,4.951418,0.283233,1.878767,6.986666,6.176818,3.062458
0.020000,24.178103,4.954823,0.323658,2.021262,7.124781,6.905792,3.052089
0.020000,24.134962,4.958932,0.366995,2.166837,7.278729,7.697380,3.041262
0.020000,24.088906,4.963831,0.413311,2.315793,7.447804,8.453742,3.030023
0.020000,24.039876,4.969614,0.462680,2.468454,7.633053,9.262433,3.018424
0.020000,23.987811,4.976376,0.515182,2.625138,7.834204,10.057549,3.006522
0.020000,23.932642,4.984217,0.570906,2.786160,8.051071,10.843380,2.994375
0.020000,23.874299,4.993240,0.629942,2.951824,8.283219,11.607405,2.982050
0.020000,23.812707,5.003547,0.692390,3.122419,8.529756,12.326821,2.969613
0.020000,23.747788,5.015244,0.758355,3.298219,8.790002,13.012333,2.957139
0.020000,23.679461,5.028437,0.827944,3.479470,9.062543,13.627059,2.944701
0.020000,23.607641,5.043229,0.901272,3.666399,9.346470,14.196330,2.932379
0.020000,23.532239,5.059722,0.978456,3.859205,9.640264,14.689690,2.920256
0.020000,23.453166,5.078015,1.059617,4.058058,9.942663,15.119933,2.908413
0.020000,23.370328,5.098198,1.144880,4.263106,10.252402,15.486989,2.896939
0.020000,23.283626,5.120360,1.234369,4.474474,10.568421,15.800929,2.885920
0.020000,23.192959,5.144577,1.328214,4.692270,10.889759,16.066881,2.875446
0.020000,23.098220,5.170915,1.426546,4.916588,11.215901,16.307115,2.865607
0.020000,22.999297,5.199429,1.529497,5.147516,11.546438,16.526869,2.856496
0.020000,22.896071,5.230159,1.637199,5.385149,11.881634,16.759765,2.848204
0.020000,22.788415,5.263129,1.749791,5.629592,12.222131,17.024875,2.840828
0.020000,22.676191,5.298344,1.867411,5.880964,12.568604,17.323669,2.834462
0.020000,22.559251,5.335787,1.990199,6.139420,12.922825,17.711042,2.829206
0.020000,22.437432,5.375418,2.118302,6.405147,13.286353,18.176368,2.825161
0.020000,22.310558,5.417170,2.251870,6.678378,13.661560,18.760391,2.822430
0.020000,22.178433,5.460947,2.391057,6.959394,14.050775,19.460731,2.821122
0.020000,22.040845,5.506617,2.536028,7.248526,14.456627,20.292590,2.821350
0.020000,21.897556,5.554012,2.686951,7.546160,14.881684,21.252868,2.823231
0.020000,21.748311,5.602920,2.844006,7.852723,15.328138,22.322709,2.826890
