dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.213034,3.348277,0.001791,0.179098,8.954881,447.744033,0.432813
0.020000,20.212287,3.347932,0.002614,0.041160,-6.896888,-792.588411,0.433385
0.020000,20.214321,3.348876,0.004857,0.112125,3.548249,522.256835,0.434339
0.020000,20.223944,3.353347,0.015468,0.530543,20.920916,868.633321,0.435676
0.020000,20.236301,3.359113,0.029104,0.681803,7.562982,-667.896660,0.437400
0.020000,20.251381,3.366183,0.045759,0.832763,7.548014,-0.748434,0.439515
0.020000,20.269170,3.374575,0.065428,0.983456,7.534639,-0.668746,0.442024
0.020000,20.289654,3.384305,0.088105,1.133845,7.519468,-0.758530,0.444932
0.020000,20.312810,3.395394,0.113780,1.283733,7.494398,-1.253500,0.448246
0.020000,20.338618,3.407864,0.142442,1.433146,7.470654,-1.187229,0.451973
0.020000,20.367053,3.421742,0.174083,1.582030,7.444165,-1.324436,0.456118
0.020000,20.398086,3.437055,0.208689,1.730289,7.412984,-1.559035,0.460692
0.020000,20.431688,3.453837,0.246248,1.877979,7.384468,-1.425787,0.465703
0.020000,20.467823,3.472121,0.286746,2.024867,7.344420,-2.002399,0.471160
0.020000,20.506454,3.491944,0.330166,2.170995,7.306388,-1.901609,0.477076
0.020000,20.547540,3.513348,0.376492,2.316326,7.266543,-1.992264,0.483460
0.020000,20.591035,3.536374,0.425707,2.460724,7.219938,-2.330256,0.490326
0.020000,20.636892,3.561070,0.477791,2.604213,7.174411,-2.276367,0.497688
0.020000,20.685057,3.587483,0.532723,2.746616,7.120161,-2.712455,0.505557
0.020000,20.735475,3.615668,0.590484,2.888054,7.071927,-2.411702,0.513951
0.020000,20.788085,3.645679,0.651052,3.028395,7.017021,-2.745337,0.522883
0.020000,20.842820,3.677574,0.714402,3.167504,6.955440,-3.079011,0.532371
0.020000,20.899612,3.711415,0.780512,3.305470,6.898332,-2.855418,0.542429
0.020000,20.958383,3.747266,0.849355,3.442164,6.834692,-3.182012,0.553076
0.020000,21.019058,3.785195,0.920909,3.577726,6.778101,-2.829553,0.564329
0.020000,21.081550,3.825272,0.995148,3.711923,6.709851,-3.412468,0.576204
0.020000,21.145769,3.867571,1.072046,3.844889,6.648287,-3.078223,0.588720
0.020000,21.211621,3.912169,1.151579,3.976665,6.588791,-2.974778,0.601894
0.020000,21.279007,3.959146,1.233723,4.107211,6.527298,-3.074667,0.615741
0.020000,21.347822,4.008585,1.318457,4.236680,6.473474,-2.691218,0.630279
0.020000,21.417956,4.060572,1.405757,4.365024,6.417173,-2.815030,0.645520
0.020000,21.489294,4.115195,1.495606,4.492442,6.370919,-2.312721,0.661479
0.020000,21.561717,4.172549,1.587989,4.619156,6.335678,-1.762014,0.678167
0.020000,21.635101,4.232729,1.682893,4.745187,6.301590,-1.704398,0.695590
0.020000,21.709318,4.295833,1.780311,4.870922,6.286724,-0.743300,0.713756
0.020000,21.784236,4.361965,1.880241,4.996499,6.278871,-0.392664,0.732664
0.020000,21.859718,4.431229,1.982687,5.122281,6.289092,0.511036,0.752312
0.020000,21.935627,4.503736,2.087661,5.248702,6.321068,1.598816,0.772692
0.020000,22.011821,4.579600,2.195182,5.376064,6.368074,2.350301,0.793791
0.020000,22.088156,4.658936,2.305279,5.504821,6.437829,3.487760,0.815588
0.020000,22.164487,4.741866,2.417990,5.635541,6.536003,4.908686,0.838058
0.020000,22.240665,4.828513,2.533362,5.768634,6.654655,5.932609,0.861165
0.020000,22.316543,4.919005,2.651457,5.904733,6.804960,7.515214,0.884871
