dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.817008,2.041061,0.001791,0.179098,8.954881,447.744033,0.432813
0.020000,20.817008,2.041061,0.007164,0.358195,8.954881,0.000000,0.433385
0.020000,20.820288,2.042582,0.016119,0.537293,8.954881,-0.000000,0.434339
0.020000,20.831658,2.047865,0.028656,0.716390,8.954881,0.000000,0.435676
0.020000,20.846265,2.054680,0.044774,0.895488,8.954881,-0.000000,0.437400
0.020000,20.864102,2.063044,0.064475,1.074586,8.954881,0.000000,0.439515
0.020000,20.885158,2.072976,0.087758,1.253683,8.954881,0.000000,0.442024
0.020000,20.909425,2.084504,0.114622,1.432781,8.954881,-0.000000,0.444932
0.020000,20.936886,2.097654,0.145069,1.611879,8.954881,0.000000,0.448246
0.020000,20.967525,2.112458,0.179098,1.790976,8.954881,0.000000,0.451973
0.020000,21.001325,2.128954,0.216708,1.970074,8.954881,0.000000,0.456118
0.020000,21.038264,2.147182,0.257901,2.149171,8.954881,0.000000,0.460692
0.020000,21.078321,2.167188,0.302675,2.328269,8.954881,0.000000,0.465703
0.020000,21.121469,2.189020,0.351031,2.507367,8.954881,0.000000,0.471160
0.020000,21.167678,2.212732,0.402970,2.686464,8.954881,0.000000,0.477076
0.020000,21.216917,2.238384,0.458490,2.865562,8.954881,-0.000000,0.483460
0.020000,21.269151,2.266036,0.517592,3.044659,8.954881,0.000000,0.490326
0.020000,21.324341,2.295758,0.580276,3.223757,8.954881,-0.000000,0.497688
0.020000,21.382443,2.327621,0.646542,3.402855,8.954881,0.000000,0.505557
0.020000,21.443410,2.361703,0.716390,3.581952,8.954881,-0.000000,0.513951
0.020000,21.507193,2.398088,0.789820,3.761050,8.954881,0.000000,0.522883
0.020000,21.573731,2.436861,0.866832,3.940147,8.954881,-0.000000,0.532371
0.020000,21.642965,2.478117,0.947426,4.119245,8.954881,0.000000,0.542429
0.020000,21.714826,2.521952,1.031602,4.298343,8.954881,-0.000000,0.553076
0.020000,21.789240,2.568470,1.119360,4.477440,8.954881,0.000000,0.564329
0.020000,21.866126,2.617779,1.210700,4.656538,8.954881,0.000000,0.576204
0.020000,21.945396,2.669992,1.305622,4.835636,8.954881,0.000000,0.588720
0.020000,22.026955,2.725227,1.404125,5.014733,8.954881,0.000000,0.601894
0.020000,22.110699,2.783608,1.506211,5.193831,8.954881,0.000000,0.615741
0.020000,22.196515,2.845262,1.611879,5.372928,8.954881,0.000000,0.630279
0.020000,22.284281,2.910319,1.721128,5.552026,8.954881,-0.000000,0.645520
0.020000,22.373864,2.978914,1.833960,5.731124,8.954881,0.000000,0.661479
0.020000,22.465125,3.051187,1.950373,5.910221,8.954881,0.000000,0.678167
0.020000,22.557909,3.127276,2.070368,6.089319,8.954881,0.000000,0.695590
0.020000,22.652053,3.207325,2.193946,6.268416,8.954881,-0.000000,0.713756
0.020000,22.747383,3.291475,2.321105,6.447514,8.954881,0.000000,0.732664
0.020000,22.843711,3.379869,2.451846,6.626612,8.954881,0.000000,0.752312
0.020000,22.940841,3.472647,2.586170,6.805709,8.954881,-0.000000,0.772692
0.020000,23.038565,3.569947,2.724075,6.984807,8.954881,0.000000,0.793791
0.020000,23.136662,3.671902,2.865562,7.163905,8.954881,-0.000000,0.815588
0.020000,23.234904,3.778638,3.010631,7.343002,8.954881,0.000000,0.838058
0.020000,23.333053,3.890276,3.159282,7.522100,8.954881,-0.000000,0.861165
0.020000,23.430863,4.006925,3.311515,7.701197,8.954881,0.000000,0.884871
0.020000,23.528082,4.128685,3.467330,7.880295,8.954881,-0.000000,0.909124
0.020000,23.624454,4.255643,3.626727,8.059393,8.954881,0.000000,0.933870
0.020000,23.719721,4.387873,3.789705,8.238490,8.954881,-0.000000,0.959044
0.020000,23.813624,4.525435,3.956266,8.417588,8.954881,0.000000,0.984575
0.020000,23.905907,4.668372,4.126409,8.596685,8.954881,0.000000,1.010388
0.020000,23.996318,4.816710,4.300134,8.775783,8.954881,0.000000,1.036400
0.020000,24.084615,4.970462,4.477440,8.954881,8.954881,-0.000000,1.062525
0.020000,24.170564,5.129620,4.658329,9.133978,8.954881,0.000000,1.088676
0.020000,24.253946,5.294165,4.842799,9.313076,8.954881,-0.000000,1.114762
0.020000,24.334554,5.464059,5.030852,9.492174,8.954881,0.000000,1.140695
0.020000,24.412201,5.639252,5.222486,9.671271,8.954881,-0.000000,1.166388
0.020000,24.485510,5.816653,5.414443,9.524364,-7.345380,-815.013040,1.191338
0.020000,24.553309,5.992744,5.603139,9.345266,-8.954881,-80.475027,1.215067
0.020000,24.615811,6.166983,5.788253,9.166168,-8.954881,-0.000000,1.237556
0.020000,24.673351,6.339151,5.969786,8.987071,-8.954881,0.000000,1.258834
0.020000,24.726252,6.509054,6.147736,8.807973,-8.954881,-0.000000,1.278939
0.020000,24.774826,6.676517,6.322105,8.628875,-8.954881,0.000000,1.297915
0.020000,24.819371,6.841390,6.492891,8.449778,-8.954881,-0.000000,1.315805
0.020000,24.860172,7.003538,6.660096,8.270680,-8.954881,0.000000,1.332659
0.020000,24.897499,7.162844,6.823718,8.091583,-8.954881,0.000000,1.348524
0.020000,24.931605,7.319207,6.983759,7.912485,-8.954881,-0.000000,1.363450
0.020000,24.962732,7.472537,7.140218,7.733387,-8.954881,0.000000,1.377483
0.020000,24.991105,7.622757,7.293095,7.554290,-8.954881,0.000000,1.390672
0.020000,25.016935,7.769799,7.442389,7.375192,-8.954881,0.000000,1.403062
0.020000,25.040420,7.913606,7.588102,7.196095,-8.954881,-0.000000,1.414697
0.020000,25.061744,8.054127,7.730233,7.016997,-8.954881,-0.000000,1.425620
0.020000,25.081080,8.191320,7.868782,6.837899,-8.954881,0.000000,1.435871
0.020000,25.098588,8.325146,8.003749,6.658802,-8.954881,-0.000000,1.445489
0.020000,25.114417,8.455573,8.135134,6.479704,-8.954881,0.000000,1.454509
0.020000,25.128705,8.582575,8.262937,6.300606,-8.954881,-0.000000,1.462967
0.020000,25.141581,8.706127,8.387159,6.121509,-8.954881,0.000000,1.470894
0.020000,25.153164,8.826208,8.507798,5.942411,-8.954881,-0.000000,1.478323
0.020000,25.163566,8.942802,8.624855,5.763314,-8.954881,-0.000000,1.485281
0.020000,25.172887,9.055894,8.738330,5.584216,-8.954881,0.000000,1.491796
0.020000,25.181224,9.165471,8.848224,5.405118,-8.954881,-0.000000,1.497895
0.020000,25.188663,9.271521,8.954535,5.226021,-8.954881,0.000000,1.503600
0.020000,25.195286,9.374036,9.057264,5.046923,-8.954881,-0.000000,1.508934
0.020000,25.201168,9.473009,9.156412,4.867826,-8.954881,0.000000,1.513919
0.020000,25.206377,9.568433,9.251977,4.688728,-8.954881,-0.000000,1.518575
0.020000,25.210978,9.660301,9.343961,4.509630,-8.954881,0.000000,1.522920
0.020000,25.215029,9.748610,9.432363,4.330533,-8.954881,0.000000,1.526972
0.020000,25.218584,9.833355,9.517182,4.151435,-8.954881,-0.000000,1.530748
0.020000,25.221693,9.914533,9.598420,3.972338,-8.954881,0.000000,1.534262
0.020000,25.224402,9.992142,9.676076,3.793240,-8.954881,-0.000000,1.537529
0.020000,25.226753,10.066178,9.750150,3.614142,-8.954881,0.000000,1.540563
0.020000,25.228785,10.136641,9.820642,3.435045,-8.954881,-0.000000,1.543377
0.020000,25.230532,10.203528,9.887551,3.255947,-8.954881,0.000000,1.545981
0.020000,25.232026,10.266838,9.950879,3.076849,-8.954881,-0.000000,1.548387
0.020000,25.233299,10.326571,10.010625,2.897752,-8.954881,0.000000,1.550606
0.020000,25.234375,10.382724,10.066789,2.718654,-8.954881,-0.000000,1.552646
0.020000,25.235280,10.435299,10.119372,2.539557,-8.954881,0.000000,1.554516
0.020000,25.236036,10.484293,10.168372,2.360459,-8.954881,-0.000000,1.556225
0.020000,25.236662,10.529707,10.213790,2.181361,-8.954881,0.000000,1.557780
0.020000,25.237177,10.571540,10.255626,2.002264,-8.954881,0.000000,1.559187
0.020000,25.237597,10.609792,10.293881,1.823166,-8.954881,-0.000000,1.560454
0.020000,25.237936,10.644463,10.328553,1.644069,-8.954881,0.000000,1.561585
0.020000,25.238207,10.675552,10.359643,1.464971,-8.954881,0.000000,1.562585
