dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.420982,0.733844,0.001791,0.179098,8.954881,447.744033,0.432813
0.020000,21.421729,0.734189,0.002614,0.041160,-6.896888,-792.588411,0.433385
0.020000,21.426255,0.736288,0.007603,0.249456,10.414794,865.584082,0.434339
0.020000,21.439371,0.742383,0.022066,0.723140,23.684231,663.471870,0.435676
0.020000,21.456229,0.750248,0.040668,0.930098,10.347895,-666.816845,0.437400
0.020000,21.476822,0.759904,0.063413,1.137241,10.357130,0.461752,0.439515
0.020000,21.501147,0.771378,0.090308,1.344745,10.375226,0.904825,0.442024
0.020000,21.529197,0.784703,0.121362,1.552698,10.397632,1.120308,0.444932
0.020000,21.560962,0.799914,0.156581,1.760964,10.413297,0.783260,0.448246
0.020000,21.596432,0.817053,0.195975,1.969717,10.437634,1.216829,0.451973
0.020000,21.635597,0.836167,0.239556,2.179019,10.465140,1.375303,0.456118
0.020000,21.678442,0.857309,0.287333,2.388883,10.493177,1.401831,0.460692
0.020000,21.724955,0.880539,0.339324,2.599522,10.531948,1.938564,0.465703
0.020000,21.775114,0.905919,0.395539,2.810759,10.561848,1.494992,0.471160
0.020000,21.828902,0.933521,0.455995,3.022791,10.601590,1.987093,0.477076
0.020000,21.886295,0.963419,0.520709,3.235708,10.645879,2.214464,0.483460
0.020000,21.947267,0.995698,0.589698,3.449463,10.687713,2.091715,0.490326
0.020000,22.011790,1.030446,0.662983,3.664221,10.737899,2.509275,0.497688
0.020000,22.079828,1.067758,0.740580,3.879870,10.782451,2.227634,0.505557
0.020000,22.151345,1.107738,0.822514,4.096706,10.841836,2.969210,0.513951
0.020000,22.226300,1.150497,0.908807,4.314662,10.897776,2.797001,0.522883
0.020000,22.304643,1.196148,0.999480,4.533654,10.949588,2.590590,0.532371
0.020000,22.386319,1.244818,1.094559,4.753903,11.012467,3.143964,0.542429
0.020000,22.471268,1.296637,1.194065,4.975299,11.069784,2.865839,0.553076
0.020000,22.559422,1.351745,1.298026,5.198099,11.140008,3.511236,0.564329
0.020000,22.650703,1.410286,1.406466,5.421992,11.194668,2.732978,0.576204
0.020000,22.745024,1.472413,1.519410,5.647165,11.258654,3.199297,0.588720
0.020000,22.842289,1.538286,1.636882,5.873633,11.323371,3.235841,0.601894
0.020000,22.942390,1.608070,1.758907,6.101241,11.380417,2.852316,0.615741
0.020000,23.045208,1.681938,1.885508,6.330067,11.441308,3.044554,0.630279
0.020000,23.150605,1.760066,2.016705,6.559821,11.487709,2.320063,0.645520
0.020000,23.258434,1.842632,2.152515,6.790513,11.534597,2.344405,0.661479
0.020000,23.368533,1.929824,2.292957,7.022102,11.579449,2.242582,0.678167
0.020000,23.480717,2.021823,2.438040,7.254155,11.602647,1.159917,0.695590
0.020000,23.594789,2.118817,2.587774,7.486687,11.626613,1.198300,0.713756
0.020000,23.710530,2.220986,2.742159,7.719233,11.627303,0.034489,0.732664
0.020000,23.827704,2.328509,2.901190,7.951552,11.615953,-0.567526,0.752312
0.020000,23.946055,2.441558,3.064858,8.183404,11.592551,-1.170087,0.772692
0.020000,24.065308,2.560295,3.233142,8.414221,11.540864,-2.584337,0.793791
