dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.211955,3.347778,0.001755,0.175502,8.775078,438.753898,0.433639
0.020000,20.213748,3.348610,0.003732,0.098840,-3.833066,-630.407206,0.434386
0.020000,20.220091,3.351557,0.010726,0.349722,12.544104,818.858485,0.435622
0.020000,20.228988,3.355708,0.020543,0.490843,7.056018,-274.404272,0.437336
0.020000,20.240454,3.361084,0.033207,0.633195,7.117634,3.080809,0.439511
0.020000,20.254511,3.367715,0.048750,0.777130,7.196746,3.955610,0.442124
0.020000,20.271184,3.375639,0.067210,0.922997,7.293353,4.830346,0.445148
0.020000,20.290503,3.384897,0.088632,1.071146,7.407428,5.703717,0.448553
0.020000,20.312504,3.395536,0.113071,1.221921,7.538743,6.565744,0.452300
0.020000,20.337226,3.407611,0.140584,1.375665,7.687203,7.423021,0.456350
0.020000,20.364714,3.421179,0.171239,1.532717,7.852616,8.270653,0.460657
0.020000,20.395017,3.436304,0.205107,1.693412,8.034765,9.107466,0.465169
0.020000,20.428191,3.453052,0.242268,1.858078,8.233286,9.926005,0.469831
0.020000,20.464295,3.471493,0.282809,2.027037,8.447923,10.731857,0.474584
0.020000,20.503394,3.491700,0.326821,2.200604,8.678347,11.521202,0.479364
0.020000,20.545560,3.513747,0.374403,2.379088,8.924228,12.294085,0.484103
0.020000,20.590870,3.537709,0.425659,2.562791,9.185124,13.044803,0.488728
0.020000,20.639408,3.563660,0.480699,2.752014,9.461166,13.802098,0.493162
0.020000,20.691266,3.591674,0.539640,2.947048,9.751714,14.527386,0.497325
0.020000,20.746543,3.621821,0.602604,3.148192,10.057169,15.272731,0.501132
0.020000,20.805350,3.654166,0.669719,3.355741,10.377464,16.014743,0.504493
0.020000,20.867804,3.688771,0.741119,3.570001,10.713017,16.777680,0.507317
0.020000,20.934036,3.725686,0.816944,3.791290,11.064445,17.571368,0.509504
0.020000,21.004192,3.764956,0.897343,4.019942,11.432588,18.407169,0.510953
0.020000,21.078430,3.806612,0.982470,4.256316,11.818685,19.304868,0.511557
