dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.817008,2.041061,0.001755,0.175502,8.775078,438.753898,0.433639
0.020000,20.819777,2.042345,0.007020,0.351003,8.775078,0.000000,0.434386
0.020000,20.827735,2.046043,0.015795,0.526505,8.775078,0.000000,0.435622
0.020000,20.838868,2.051236,0.028080,0.702006,8.775078,-0.000000,0.437336
0.020000,20.853170,2.057941,0.043875,0.877508,8.775078,0.000000,0.439511
0.020000,20.870629,2.066179,0.063181,1.053009,8.775078,0.000000,0.442124
0.020000,20.891236,2.075972,0.085996,1.228511,8.775078,-0.000000,0.445148
0.020000,20.914976,2.087348,0.112321,1.404012,8.775078,0.000000,0.448553
0.020000,20.941835,2.100337,0.142156,1.579514,8.775078,0.000000,0.452300
0.020000,20.971798,2.114971,0.175502,1.755016,8.775078,-0.000000,0.456350
0.020000,21.004846,2.131284,0.212357,1.930517,8.775078,0.000000,0.460657
0.020000,21.040963,2.149310,0.252722,2.106019,8.775078,-0.000000,0.465169
0.020000,21.080130,2.169083,0.296598,2.281520,8.775078,-0.000000,0.469831
0.020000,21.122329,2.190638,0.343983,2.457022,8.775078,0.000000,0.474584
0.020000,21.167544,2.214005,0.394879,2.632523,8.775078,0.000000,0.479364
0.020000,21.215757,2.239213,0.449284,2.808025,8.775078,-0.000000,0.484103
0.020000,21.266954,2.266288,0.507200,2.983527,8.775078,0.000000,0.488728
0.020000,21.321123,2.295250,0.568625,3.159028,8.775078,0.000000,0.493162
0.020000,21.378255,2.326113,0.633561,3.334530,8.775078,-0.000000,0.497325
0.020000,21.438346,2.358884,0.702006,3.510031,8.775078,0.000000,0.501132
0.020000,21.501393,2.393562,0.773962,3.685533,8.775078,0.000000,0.504493
0.020000,21.567404,2.430137,0.849428,3.861034,8.775078,0.000000,0.507317
0.020000,21.636388,2.468586,0.928403,4.036536,8.775078,-0.000000,0.509504
0.020000,21.708365,2.508875,1.010889,4.212037,8.775078,0.000000,0.510953
0.020000,21.783361,2.550956,1.096885,4.387539,8.775078,0.000000,0.511557
0.020000,21.861413,2.594765,1.186391,4.563041,8.775078,-0.000000,0.511203
0.020000,21.942566,2.640220,1.279406,4.738542,8.775078,0.000000,0.509772
0.020000,22.026876,2.687220,1.375932,4.914044,8.775078,0.000000,0.507140
0.020000,22.114412,2.735641,1.475968,5.089545,8.775078,0.000000,0.503175
0.020000,22.205254,2.785335,1.579514,5.265047,8.775078,0.000000,0.497737
0.020000,22.299494,2.836127,1.686570,5.440548,8.775078,-0.000000,0.490681
0.020000,22.397236,2.887810,1.797136,5.616050,8.775078,0.000000,0.481850
0.020000,22.498599,2.940144,1.911212,5.791551,8.775078,0.000000,0.471082
0.020000,22.601508,2.991764,2.026342,5.721482,-3.503494,-613.928611,0.458495
0.020000,22.702884,3.040939,2.139017,5.545980,-8.775078,-263.579185,0.444490
0.020000,22.801787,3.087143,2.248182,5.370478,-8.775078,-0.000000,0.429324
0.020000,22.898200,3.130355,2.353836,5.194977,-8.775078,0.000000,0.413143
0.020000,22.992091,3.170577,2.455981,5.019475,-8.775078,0.000000,0.396098
0.020000,23.083417,3.207832,2.554615,4.843974,-8.775078,0.000000,0.378339
0.020000,23.172128,3.242165,2.649740,4.668472,-8.775078,0.000000,0.360015
0.020000,23.258164,3.273642,2.741354,4.492971,-8.775078,0.000000,0.341276
0.020000,23.341460,3.302346,2.829458,4.317469,-8.775078,0.000000,0.322269
0.020000,23.421949,3.328375,2.914053,4.141968,-8.775078,-0.000000,0.303136
0.020000,23.499562,3.351843,2.995137,3.966466,-8.775078,0.000000,0.284016
0.020000,23.574229,3.372877,3.072711,3.790964,-8.775078,0.000000,0.265038
0.020000,23.645883,3.391611,3.146776,3.615463,-8.775078,0.000000,0.246325
0.020000,23.714461,3.408190,3.217330,3.439961,-8.775078,0.000000,0.227992
0.020000,23.779902,3.422762,3.284374,3.264460,-8.775078,0.000000,0.210143
0.020000,23.842149,3.435480,3.347908,3.088958,-8.775078,0.000000,0.192872
0.020000,23.901153,3.446496,3.407932,2.913457,-8.775078,-0.000000,0.176261
0.020000,23.956867,3.455965,3.464447,2.737955,-8.775078,0.000000,0.160383
0.020000,24.009253,3.464035,3.517451,2.562454,-8.775078,0.000000,0.145303
0.020000,24.058275,3.470854,3.566945,2.386952,-8.775078,0.000000,0.131072
0.020000,24.103903,3.476560,3.612929,2.211450,-8.775078,0.000000,0.117737
0.020000,24.146113,3.481288,3.655403,2.035949,-8.775078,-0.000000,0.105333
0.020000,24.184883,3.485163,3.694367,1.860447,-8.775078,0.000000,0.093891
0.020000,24.220198,3.488302,3.729821,1.684946,-8.775078,-0.000000,0.083434
0.020000,24.252043,3.490814,3.761764,1.509444,-8.775078,0.000000,0.073979
0.020000,24.280407,3.492796,3.790198,1.333943,-8.775078,-0.000000,0.065542
0.020000,24.305283,3.494336,3.815122,1.158441,-8.775078,0.000000,0.058133
0.020000,24.326665,3.495512,3.836536,0.982939,-8.775078,0.000000,0.051758
0.020000,24.344547,3.496391,3.854440,0.807438,-8.775078,-0.000000,0.046422
0.020000,24.358927,3.497028,3.868834,0.631936,-8.775078,0.000000,0.042130
0.020000,24.369801,3.497468,3.879717,0.456435,-8.775078,-0.000000,0.038883
0.020000,24.377170,3.497747,3.887091,0.280933,-8.775078,0.000000,0.036683
0.020000,24.381031,3.497886,3.890955,0.105432,-8.775078,0.000000,0.035529
0.020000,24.382085,3.497924,3.892009,0.000000,-5.271584,175.174713,0.035215
0.020000,24.382085,3.497924,3.892009,0.000000,0.000000,263.579185,0.035215
0.020000,24.382085,3.497924,3.892009,0.000000,0.000000,0.000000,0.035215
