dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.422061,0.734343,0.001755,0.175502,8.775078,438.753898,0.433639
0.020000,21.425806,0.736079,0.005883,0.206382,1.544030,-361.552400,0.434386
0.020000,21.435379,0.740528,0.016438,0.527786,16.070213,726.309176,0.435622
0.020000,21.448749,0.746765,0.031192,0.737668,10.494065,-278.807410,0.437336
0.020000,21.465885,0.754799,0.050118,0.946318,10.432536,-3.076466,0.439511
0.020000,21.486748,0.764642,0.073186,1.153386,10.353384,-3.957577,0.442124
0.020000,21.511288,0.776304,0.100356,1.358521,10.256741,-4.832161,0.445148
0.020000,21.539449,0.789799,0.131584,1.561376,10.142764,-5.698851,0.448553
0.020000,21.571167,0.805137,0.166816,1.761604,10.011404,-6.568007,0.452300
0.020000,21.606370,0.822331,0.205993,1.958862,9.862906,-7.424880,0.456350
0.020000,21.644979,0.841388,0.249049,2.152812,9.697479,-8.271357,0.460657
0.020000,21.686909,0.862316,0.295912,2.343120,9.515402,-9.103880,0.465169
0.020000,21.732069,0.885115,0.346501,2.529457,9.316842,-9.927998,0.469831
0.020000,21.780364,0.909782,0.400731,2.711501,9.102200,-10.732111,0.474584
0.020000,21.831694,0.936309,0.458510,2.888937,8.871807,-11.519647,0.479364
0.020000,21.885954,0.964679,0.519739,3.061457,8.625988,-12.290907,0.484103
0.020000,21.943038,0.994868,0.584314,3.228754,8.364864,-13.056203,0.488728
0.020000,22.002838,1.026840,0.652125,3.390537,8.089147,-13.785889,0.493162
0.020000,22.065245,1.060552,0.723055,3.546504,7.798360,-14.539311,0.497325
0.020000,22.130148,1.095947,0.796982,3.696365,7.493038,-15.266096,0.501132
0.020000,22.197437,1.132958,0.873778,3.839820,7.172748,-16.014504,0.504493
0.020000,22.267004,1.171503,0.953310,3.976564,6.837192,-16.777805,0.507317
0.020000,22.338740,1.211485,1.035435,4.106279,6.485771,-17.571053,0.509504
0.020000,22.412538,1.252794,1.120008,4.228631,6.117573,-18.409902,0.510953
0.020000,22.488292,1.295300,1.206873,4.343261,5.731523,-19.302513,0.511557
0.020000,22.565899,1.338859,1.295869,4.449783,5.326081,-20.272082,0.511203
0.020000,22.645254,1.383308,1.386824,4.547775,4.899604,-21.323842,0.509772
0.020000,22.726254,1.428462,1.479560,4.636779,4.450217,-22.469357,0.507140
0.020000,22.808793,1.474120,1.573886,4.716299,3.975974,-23.712147,0.503175
0.020000,22.892766,1.520057,1.669602,4.785798,3.474975,-25.049967,0.497737
0.020000,22.978060,1.566029,1.766496,4.844715,2.945836,-26.456974,0.490681
0.020000,23.064560,1.611770,1.864345,4.892469,2.387716,-27.905975,0.481850
0.020000,23.152144,1.656992,1.962915,4.928494,1.801256,-29.322999,0.471082
0.020000,23.238850,1.700488,2.059919,4.850187,-3.915372,-285.831418,0.458495
0.020000,23.322081,1.740864,2.152427,4.625377,-11.240517,-366.257212,0.444490
0.020000,23.401196,1.777827,2.239750,4.366185,-12.959583,-85.953331,0.429324
0.020000,23.476345,1.811512,2.322104,4.117679,-12.425290,26.714676,0.413143
0.020000,23.547673,1.842071,2.399703,3.879934,-11.887272,26.900884,0.396098
0.020000,23.615320,1.869669,2.472763,3.653001,-11.346622,27.032486,0.378339
0.020000,23.679423,1.894481,2.541500,3.436880,-10.806086,27.026800,0.360015
0.020000,23.740118,1.916690,2.606130,3.231490,-10.269478,26.830392,0.341276
0.020000,23.797537,1.936478,2.666863,3.036661,-9.741444,26.401715,0.322269
