dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.939976,6.008247,0.001773,0.177255,8.862770,443.138501,4.718116
0.020000,15.939980,6.007717,0.002303,0.026507,-7.537445,-820.010748,4.719164
0.020000,15.940029,6.001375,0.008645,0.317127,14.531043,1103.424406,4.720915
0.020000,15.940115,5.992505,0.017515,0.443500,6.318653,-410.619509,4.723371
0.020000,15.940258,5.981119,0.028903,0.569364,6.293171,-1.274116,4.726542
0.020000,15.940482,5.967228,0.042795,0.694613,6.262463,-1.535383,4.730435
0.020000,15.940816,5.950850,0.059176,0.819085,6.223588,-1.943745,4.735061
0.020000,15.941293,5.932003,0.078030,0.942660,6.178765,-2.241167,4.740433
0.020000,15.941956,5.910709,0.099334,1.065192,6.126575,-2.609478,4.746564
0.020000,15.942849,5.886995,0.123065,1.186559,6.068352,-2.911186,4.753472
0.020000,15.944022,5.860889,0.149197,1.306620,6.003078,-3.263687,4.761174
0.020000,15.945533,5.832423,0.177703,1.425293,5.933649,-3.471456,4.769690
0.020000,15.947444,5.801634,0.208551,1.542421,5.856380,-3.863427,4.779041
0.020000,15.949820,5.768561,0.241710,1.657923,5.775131,-4.062447,4.789249
0.020000,15.952737,5.733246,0.277145,1.771734,5.690547,-4.229228,4.800339
0.020000,15.956270,5.695737,0.314819,1.883747,5.600611,-4.496777,4.812335
0.020000,15.960505,5.656084,0.354699,1.993965,5.510930,-4.484038,4.825262
0.020000,15.965530,5.614338,0.396745,2.102336,5.418527,-4.620183,4.839146
0.020000,15.971439,5.570557,0.440923,2.208898,5.328101,-4.521300,4.854011
0.020000,15.978333,5.524799,0.487198,2.313726,5.241414,-4.334316,4.869882
0.020000,15.986316,5.477125,0.535536,2.416913,5.159338,-4.103829,4.886782
0.020000,15.995500,5.427596,0.585909,2.518646,5.086670,-3.633366,4.904731
0.020000,16.006000,5.376276,0.638292,2.619159,5.025642,-3.051438,4.923745
0.020000,16.017940,5.323227,0.692668,2.718782,4.981170,-2.223563,4.943838
0.020000,16.031446,5.268511,0.749026,2.817907,4.956238,-1.246638,4.965016
0.020000,16.046655,5.212188,0.807367,2.917024,4.955859,-0.018957,4.987279
0.020000,16.063707,5.154313,0.867701,3.016729,4.985240,1.469085,5.010618
0.020000,16.082753,5.094940,0.930055,3.117693,5.048187,3.147322,5.035018
0.020000,16.103950,5.034113,0.994469,3.220689,5.149787,5.080038,5.060448
0.020000,16.127466,4.971876,1.061000,3.326575,5.294321,7.226667,5.086870
0.020000,16.153477,4.908264,1.129726,3.436265,5.484493,9.508603,5.114230
0.020000,16.182172,4.843305,1.200740,3.550716,5.722567,11.903707,5.142462
0.020000,16.213749,4.777025,1.274158,3.670898,6.009086,14.325949,5.171487
0.020000,16.248418,4.709443,1.350113,3.797758,6.343014,16.696404,5.201211
0.020000,16.286400,4.640580,1.428757,3.932177,6.720935,18.896076,5.231530
0.020000,16.327262,4.571532,1.508989,4.011636,3.972963,-137.398604,5.261856
0.020000,16.369849,4.504236,1.588629,3.981974,-1.483115,-272.803926,5.291241
0.020000,16.413467,4.439503,1.666685,3.902810,-3.958211,-123.754770,5.319264
0.020000,16.457926,4.377264,1.743173,3.824389,-3.921025,1.859265,5.345915
0.020000,16.503037,4.317457,1.818085,3.745611,-3.938893,-0.893396,5.371198
0.020000,16.548610,4.260032,1.891396,3.665571,-4.002032,-3.156921,5.395131
0.020000,16.594458,4.204945,1.963067,3.583539,-4.101565,-4.976656,5.417741
0.020000,16.640395,4.152153,2.033046,3.498963,-4.228841,-6.363797,5.439065
