dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.500000,6.000000,0.001773,0.177255,8.862770,443.138501,4.718116
0.020000,14.500013,5.997960,0.007090,0.354511,8.862770,0.000000,4.719164
0.020000,14.500081,5.989098,0.015953,0.531766,8.862770,-0.000000,4.720915
0.020000,14.500202,5.976691,0.028361,0.709022,8.862770,0.000000,4.723371
0.020000,14.500403,5.960739,0.044314,0.886277,8.862770,-0.000000,4.726542
0.020000,14.500717,5.941243,0.063812,1.063532,8.862770,-0.000000,4.730435
0.020000,14.501186,5.918205,0.086855,1.240788,8.862770,0.000000,4.735061
0.020000,14.501860,5.891625,0.113443,1.418043,8.862770,-0.000000,4.740433
0.020000,14.502797,5.861506,0.143577,1.595299,8.862770,0.000000,4.746564
0.020000,14.504064,5.827852,0.177255,1.772554,8.862770,0.000000,4.753472
0.020000,14.505736,5.790666,0.214479,1.949809,8.862770,0.000000,4.761174
0.020000,14.507897,5.749955,0.255248,2.127065,8.862770,-0.000000,4.769690
0.020000,14.510641,5.705726,0.299562,2.304320,8.862770,0.000000,4.779041
0.020000,14.514072,5.657991,0.347421,2.481576,8.862770,-0.000000,4.789249
0.020000,14.518302,5.606761,0.398825,2.658831,8.862770,0.000000,4.800339
0.020000,14.523456,5.552055,0.453774,2.836086,8.862770,0.000000,4.812335
0.020000,14.529668,5.493891,0.512268,3.013342,8.862770,0.000000,4.825262
0.020000,14.537083,5.432297,0.574307,3.190597,8.862770,0.000000,4.839146
0.020000,14.545856,5.367303,0.639892,3.367853,8.862770,0.000000,4.854011
0.020000,14.556155,5.298945,0.709022,3.545108,8.862770,0.000000,4.869882
0.020000,14.568158,5.227270,0.781696,3.722363,8.862770,0.000000,4.886782
0.020000,14.582055,5.152328,0.857916,3.899619,8.862770,-0.000000,4.904731
0.020000,14.598044,5.074184,0.937681,4.076874,8.862770,-0.000000,4.923745
0.020000,14.616337,4.992908,1.020991,4.254130,8.862770,0.000000,4.943838
0.020000,14.637153,4.908586,1.107846,4.431385,8.862770,0.000000,4.965016
0.020000,14.660719,4.821314,1.198247,4.608640,8.862770,0.000000,4.987279
0.020000,14.687271,4.731201,1.292192,4.785896,8.862770,-0.000000,5.010618
0.020000,14.717049,4.638372,1.389682,4.963151,8.862770,0.000000,5.035018
0.020000,14.750298,4.542967,1.490718,5.140407,8.862770,-0.000000,5.060448
0.020000,14.787261,4.445139,1.595299,5.317662,8.862770,0.000000,5.086870
0.020000,14.828184,4.345061,1.703424,5.494917,8.862770,0.000000,5.114230
0.020000,14.873306,4.242915,1.815095,5.672173,8.862770,-0.000000,5.142462
0.020000,14.922858,4.138904,1.930311,5.849428,8.862770,0.000000,5.171487
0.020000,14.977062,4.033239,2.049072,6.026684,8.862770,0.000000,5.201211
0.020000,15.036126,3.926145,2.171379,6.203939,8.862770,-0.000000,5.231530
0.020000,15.099225,3.819517,2.295283,6.186485,-0.872712,-486.774099,5.261856
0.020000,15.164438,3.716465,2.417240,6.009229,-8.862770,-399.502904,5.291241
0.020000,15.230601,3.618267,2.535652,5.831974,-8.862770,-0.000000,5.319264
0.020000,15.297364,3.524798,2.650519,5.654719,-8.862770,0.000000,5.345915
0.020000,15.364397,3.435925,2.761841,5.477463,-8.862770,0.000000,5.371198
0.020000,15.431392,3.351504,2.869618,5.300208,-8.862770,-0.000000,5.395131
0.020000,15.498067,3.271390,2.973849,5.122952,-8.862770,0.000000,5.417741
0.020000,15.564157,3.195433,3.074536,4.945697,-8.862770,-0.000000,5.439065
0.020000,15.629425,3.123486,3.171677,4.768442,-8.862770,0.000000,5.459142
0.020000,15.693648,3.055403,3.265273,4.591186,-8.862770,0.000000,5.478018
0.020000,15.756627,2.991039,3.355324,4.413931,-8.862770,0.000000,5.495740
0.020000,15.818179,2.930257,3.441831,4.236675,-8.862770,-0.000000,5.512356
0.020000,15.878139,2.872923,3.524791,4.059420,-8.862770,0.000000,5.527915
0.020000,15.936356,2.818909,3.604207,3.882165,-8.862770,-0.000000,5.542464
0.020000,15.992694,2.768093,3.680078,3.704909,-8.862770,0.000000,5.556049
0.020000,16.047032,2.720361,3.752404,3.527654,-8.862770,0.000000,5.568716
0.020000,16.099257,2.675603,3.821184,3.350398,-8.862770,-0.000000,5.580507
0.020000,16.149269,2.633718,3.886420,3.173143,-8.862770,0.000000,5.591462
0.020000,16.196980,2.594611,3.948110,2.995888,-8.862770,-0.000000,5.601621
0.020000,16.242306,2.558192,4.006255,2.818632,-8.862770,-0.000000,5.611017
0.020000,16.285177,2.524380,4.060855,2.641377,-8.862770,0.000000,5.619686
0.020000,16.325525,2.493097,4.111910,2.464121,-8.862770,0.000000,5.627657
0.020000,16.363293,2.464274,4.159420,2.286866,-8.862770,-0.000000,5.634958
0.020000,16.398428,2.437847,4.203385,2.109611,-8.862770,0.000000,5.641617
0.020000,16.430884,2.413755,4.243804,1.932355,-8.862770,0.000000,5.647656
0.020000,16.460618,2.391948,4.280679,1.755100,-8.862770,0.000000,5.653097
0.020000,16.487596,2.372375,4.314008,1.577844,-8.862770,0.000000,5.657960
0.020000,16.511783,2.354995,4.343793,1.400589,-8.862770,0.000000,5.662261
0.020000,16.533153,2.339770,4.370032,1.223334,-8.862770,0.000000,5.666016
0.020000,16.551682,2.326666,4.392726,1.046078,-8.862770,0.000000,5.669238
0.020000,16.567349,2.315655,4.411875,0.868823,-8.862770,-0.000000,5.671938
0.020000,16.580137,2.306714,4.427479,0.691567,-8.862770,0.000000,5.674125
0.020000,16.590033,2.299824,4.439538,0.514312,-8.862770,0.000000,5.675808
0.020000,16.597027,2.294969,4.448052,0.337057,-8.862770,0.000000,5.676993
0.020000,16.601111,2.292140,4.453020,0.159801,-8.862770,-0.000000,5.677682
0.020000,16.602426,2.291230,4.454618,0.000000,-7.990058,43.635598,5.677904
0.020000,16.602426,2.291230,4.454618,0.000000,0.000000,399.502904,5.677904
0.020000,16.602426,2.291230,4.454618,0.000000,0.000000,0.000000,5.677904
