dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.060024,5.991753,0.001773,0.177255,8.862770,443.138501,4.718116
0.020000,13.060046,5.988204,0.005322,0.177460,0.010217,-442.627667,4.719164
0.020000,13.060134,5.976821,0.016704,0.569134,19.583711,978.674731,4.720915
0.020000,13.060289,5.960876,0.032650,0.797301,11.408369,-408.767139,4.723371
0.020000,13.060547,5.940359,0.053169,1.025924,11.431122,1.137656,4.726542
0.020000,13.060951,5.915258,0.078273,1.255202,11.463932,1.640522,4.730435
0.020000,13.061556,5.885560,0.107978,1.485230,11.501357,1.871270,4.735061
0.020000,13.062426,5.851248,0.142301,1.716173,11.547180,2.291104,4.740433
0.020000,13.063638,5.812304,0.181264,1.948143,11.598498,2.565931,4.746564
0.020000,13.065279,5.768709,0.224890,2.181288,11.657258,2.937993,4.753472
0.020000,13.067449,5.720443,0.273204,2.415707,11.720924,3.183294,4.761174
0.020000,13.070260,5.667486,0.326236,2.651585,11.793928,3.650211,4.769690
0.020000,13.073838,5.609818,0.384014,2.888950,11.868214,3.714298,4.779041
0.020000,13.078323,5.547420,0.446573,3.127935,11.949295,4.054058,4.789249
0.020000,13.083868,5.480276,0.513946,3.368662,12.036331,4.351779,4.800339
0.020000,13.090643,5.408372,0.586169,3.611118,12.122780,4.322460,4.812335
0.020000,13.098832,5.331699,0.663278,3.855436,12.215915,4.656727,4.825262
0.020000,13.108636,5.250256,0.745309,4.101552,12.305810,4.494747,4.839146
0.020000,13.120273,5.164048,0.832298,4.349479,12.396316,4.525306,4.854011
0.020000,13.133977,5.073092,0.924282,4.599172,12.484652,4.416826,4.869882
0.020000,13.150000,4.977415,1.021291,4.850472,12.565012,4.017977,4.886782
0.020000,13.168609,4.877061,1.123356,5.103234,12.638111,3.654983,4.904731
0.020000,13.190088,4.772092,1.230500,5.357199,12.698267,3.007793,4.923745
0.020000,13.214735,4.662590,1.342741,5.612078,12.743925,2.282896,4.943838
0.020000,13.242860,4.548661,1.460090,5.867446,12.768392,1.223351,4.965016
0.020000,13.274784,4.430439,1.582546,6.122809,12.768149,-0.012141,4.987279
0.020000,13.310835,4.308088,1.710098,6.377599,12.739531,-1.430930,5.010618
0.020000,13.351346,4.181804,1.842721,6.631116,12.675849,-3.184101,5.035018
0.020000,13.396645,4.051820,1.980372,6.882591,12.573755,-5.104692,5.060448
0.020000,13.447057,3.918402,2.122996,7.131186,12.429739,-7.200781,5.086870
0.020000,13.502891,3.781857,2.270516,7.375976,12.239473,-9.513302,5.114230
0.020000,13.564439,3.642526,2.422836,7.616002,12.001309,-11.908218,5.142462
0.020000,13.631966,3.500783,2.579842,7.850294,11.714612,-14.334847,5.171487
0.020000,13.705705,3.357035,2.741400,8.077913,11.380969,-16.682130,5.201211
0.020000,13.785853,3.211711,2.907359,8.297975,11.003102,-18.893369,5.231530
0.020000,13.871188,3.067502,3.074926,8.378311,4.016760,-349.317102,5.261856
0.020000,13.959027,2.928694,3.239192,8.213301,-8.250501,-613.363049,5.291241
0.020000,14.047736,2.797030,3.397952,7.938005,-13.764789,-275.714398,5.319264
0.020000,14.136803,2.672333,3.551191,7.661961,-13.802202,-1.870632,5.345915
0.020000,14.225757,2.554392,3.698916,7.386269,-13.784613,0.879414,5.371198
0.020000,14.314174,2.442976,3.841153,7.111842,-13.721327,3.164320,5.395131
0.020000,14.401675,2.337835,3.977941,6.839398,-13.622177,4.957481,5.417741
0.020000,14.487920,2.238713,4.109331,6.569495,-13.495182,6.349793,5.439065
0.020000,14.572611,2.145353,4.235382,6.302536,-13.347938,7.362191,5.459142
0.020000,14.655485,2.057496,4.356158,6.038807,-13.186435,8.075159,5.478018
0.020000,14.736311,1.974892,4.471727,5.778468,-13.016976,8.472909,5.495740
0.020000,14.814888,1.897297,4.582159,5.521599,-12.843431,8.677273,5.512356
0.020000,14.891040,1.824479,4.687523,5.268213,-12.669296,8.706751,5.527915
0.020000,14.964614,1.756215,4.787889,5.018267,-12.497297,8.599931,5.542464
0.020000,15.035479,1.692296,4.883322,4.771642,-12.331278,8.300968,5.556049
0.020000,15.103520,1.632525,4.973887,4.528264,-12.168883,8.119722,5.568716
0.020000,15.168637,1.576719,5.059646,4.287949,-12.015769,7.655734,5.580507
0.020000,15.230744,1.524705,5.140657,4.050546,-11.870135,7.281705,5.591462
0.020000,15.289767,1.476324,5.216975,3.815885,-11.733042,6.854628,5.601621
0.020000,15.345642,1.431430,5.288651,3.583806,-11.603977,6.453269,5.611017
0.020000,15.398313,1.389888,5.355733,3.354120,-11.484263,5.985672,5.619686
0.020000,15.447732,1.351572,5.418266,3.126650,-11.373538,5.536265,5.627657
0.020000,15.493859,1.316370,5.476290,2.901211,-11.271923,5.080769,5.634958
0.020000,15.536657,1.284179,5.529843,2.677647,-11.178229,4.684704,5.641617
0.020000,15.576095,1.254904,5.578959,2.455804,-11.092141,4.304352,5.647656
0.020000,15.612148,1.228463,5.623669,2.235487,-11.015835,3.815315,5.653097
0.020000,15.644792,1.204778,5.664001,2.016573,-10.945691,3.507189,5.657960
0.020000,15.674010,1.183784,5.699978,1.798896,-10.883851,3.092012,5.662261
0.020000,15.699783,1.165421,5.731625,1.582308,-10.829436,2.720753,5.666016
0.020000,15.722100,1.149638,5.758958,1.366676,-10.781598,2.391887,5.669238
0.020000,15.740948,1.136392,5.781995,1.151849,-10.741341,2.012856,5.671938
0.020000,15.756318,1.125646,5.800749,0.937707,-10.707074,1.713362,5.674125
0.020000,15.768203,1.117371,5.815232,0.724114,-10.679655,1.370973,5.675808
0.020000,15.776598,1.111544,5.825451,0.510951,-10.658158,1.074834,5.676993
0.020000,15.781498,1.108149,5.831412,0.298081,-10.643500,0.732901,5.677682
0.020000,15.783075,1.107058,5.833329,0.095856,-10.111260,26.612013,5.677904
0.020000,15.783075,1.107058,5.833329,0.000000,-4.792793,265.923334,5.677904
0.020000,15.783075,1.107058,5.833329,0.000000,0.000000,239.639647,5.677904
