dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.939994,6.004217,0.001786,0.178571,8.928571,446.428571,4.715317
0.020000,15.939997,6.003147,0.002856,0.053500,-6.253562,-759.106653,4.714574
0.020000,15.940009,5.994436,0.011566,0.435537,19.101816,1267.768875,4.713333
0.020000,15.940010,5.979423,0.026579,0.750650,15.755667,-167.307464,4.711587
0.020000,15.939973,5.960101,0.045902,0.966134,10.774205,-249.073059,4.709330
0.020000,15.939868,5.936454,0.069549,1.182326,10.809604,1.769934,4.706549
0.020000,15.939658,5.908464,0.097540,1.399555,10.861462,2.592882,4.703233
0.020000,15.939299,5.876111,0.129894,1.617733,10.908902,2.372011,4.699365
0.020000,15.938739,5.839371,0.166639,1.837213,10.973965,3.253152,4.694929
0.020000,15.937917,5.798210,0.207808,2.058466,11.062687,4.436085,4.689901
0.020000,15.936763,5.752601,0.253432,2.281207,11.137027,3.717036,4.684259
0.020000,15.935196,5.702501,0.303557,2.506233,11.251300,5.713623,4.677972
0.020000,15.933125,5.647874,0.358222,2.733281,11.352417,5.055874,4.671012
0.020000,15.930448,5.588674,0.417483,2.963040,11.487923,6.775268,4.663341
0.020000,15.927046,5.524852,0.481396,3.195622,11.629102,7.058954,4.654919
0.020000,15.922790,5.456356,0.550024,3.431402,11.788990,7.994423,4.645703
0.020000,15.917530,5.383127,0.623441,3.670871,11.973491,9.225040,4.635641
0.020000,15.911102,5.305105,0.701728,3.914332,12.173025,9.976722,4.624678
0.020000,15.903317,5.222226,0.784971,4.162178,12.392283,10.962893,4.612753
0.020000,15.893967,5.134424,0.873270,4.414942,12.638201,12.295881,4.599796
0.020000,15.882816,5.041627,0.966734,4.673215,12.913677,13.773821,4.585733
0.020000,15.869599,4.943764,1.065486,4.937582,13.218334,15.232852,4.570479
0.020000,15.854018,4.840770,1.169652,5.208305,13.536146,15.890579,4.553943
0.020000,15.835739,4.732574,1.279381,5.486438,13.906680,18.526718,4.536026
0.020000,15.814388,4.619120,1.394827,5.772298,14.292993,19.315640,4.516618
0.020000,15.789543,4.500359,1.516159,6.066605,14.715361,21.118415,4.495602
0.020000,15.760734,4.376261,1.643557,6.369905,15.164978,22.480848,4.472853
0.020000,15.727437,4.246821,1.777210,6.682665,15.637999,23.651032,4.448240
0.020000,15.689069,4.112069,1.917319,7.005424,16.137931,24.996572,4.421624
0.020000,15.644989,3.972086,2.064078,7.337974,16.627514,24.479159,4.392869
0.020000,15.594495,3.827017,2.217684,7.680269,17.114777,24.363153,4.361839
0.020000,15.536830,3.677093,2.378315,8.031573,17.565205,22.521399,4.328409
0.020000,15.471192,3.522648,2.546129,8.390709,17.956770,19.578275,4.292471
0.020000,15.396750,3.364153,2.721235,8.755301,18.229616,13.642271,4.253947
0.020000,15.312670,3.202230,2.903687,9.122598,18.364853,6.761848,4.212801
0.020000,15.218151,3.037678,3.093453,9.488274,18.283793,-4.052979,4.169054
0.020000,15.112471,2.871488,3.290399,9.847291,17.950848,-16.647258,4.122800
0.020000,14.995041,2.704835,3.494269,10.193498,17.310339,-32.025423,4.074215
0.020000,14.865465,2.539067,3.704671,10.520102,16.330217,-49.006116,4.023573
