dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.500000,6.000000,0.001786,0.178571,8.928571,446.428571,4.715317
0.020000,14.500000,6.000000,0.007143,0.357143,8.928571,0.000000,4.714574
0.020000,14.500010,5.993077,0.016071,0.535714,8.928571,0.000000,4.713333
0.020000,14.500011,5.980577,0.028571,0.714286,8.928571,-0.000000,4.711587
0.020000,14.499980,5.964506,0.044643,0.892857,8.928571,0.000000,4.709330
0.020000,14.499892,5.944864,0.064286,1.071429,8.928571,-0.000000,4.706549
0.020000,14.499718,5.921649,0.087500,1.250000,8.928571,0.000000,4.703233
0.020000,14.499421,5.894865,0.114286,1.428571,8.928571,-0.000000,4.699365
0.020000,14.498959,5.864513,0.144643,1.607143,8.928571,0.000000,4.694929
0.020000,14.498281,5.830590,0.178571,1.785714,8.928571,-0.000000,4.689901
0.020000,14.497333,5.793103,0.216071,1.964286,8.928571,-0.000000,4.684259
0.020000,14.496049,5.752050,0.257143,2.142857,8.928571,0.000000,4.677972
0.020000,14.494358,5.707440,0.301786,2.321429,8.928571,0.000000,4.671012
0.020000,14.492179,5.659275,0.350000,2.500000,8.928571,-0.000000,4.663341
0.020000,14.489424,5.607563,0.401786,2.678571,8.928571,0.000000,4.654919
0.020000,14.485990,5.552313,0.457143,2.857143,8.928571,0.000000,4.645703
0.020000,14.481769,5.493536,0.516071,3.035714,8.928571,0.000000,4.635641
0.020000,14.476637,5.431247,0.578571,3.214286,8.928571,0.000000,4.624678
0.020000,14.470459,5.365465,0.644643,3.392857,8.928571,0.000000,4.612753
0.020000,14.463085,5.296215,0.714286,3.571429,8.928571,-0.000000,4.599796
0.020000,14.454351,5.223525,0.787500,3.750000,8.928571,0.000000,4.585733
0.020000,14.444074,5.147430,0.864286,3.928571,8.928571,0.000000,4.570479
0.020000,14.432056,5.067978,0.944643,4.107143,8.928571,0.000000,4.553943
0.020000,14.418076,4.985223,1.028571,4.285714,8.928571,0.000000,4.536026
0.020000,14.401894,4.899233,1.116071,4.464286,8.928571,0.000000,4.516618
0.020000,14.383248,4.810093,1.207143,4.642857,8.928571,0.000000,4.495602
0.020000,14.361849,4.717903,1.301786,4.821429,8.928571,-0.000000,4.472853
0.020000,14.337384,4.622788,1.400000,5.000000,8.928571,0.000000,4.448240
