dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.060006,5.995783,0.001786,0.178571,8.928571,446.428571,4.715317
0.020000,13.060003,5.996853,0.002856,0.053500,-6.253562,-759.106653,4.714574
0.020000,13.060011,5.991718,0.007991,0.256771,10.163525,820.854352,4.713333
0.020000,13.060011,5.981732,0.017977,0.499299,12.126397,98.143575,4.711587
0.020000,13.059987,5.968912,0.030797,0.640999,7.085027,-252.068477,4.709330
0.020000,13.059917,5.953273,0.046436,0.781926,7.046363,-1.933198,4.706549
0.020000,13.059779,5.934834,0.064876,0.921998,7.003552,-2.140545,4.703233
0.020000,13.059544,5.913618,0.086092,1.060839,6.942070,-3.074109,4.699365
0.020000,13.059178,5.889654,0.110059,1.198350,6.875572,-3.324907,4.694929
0.020000,13.058646,5.862970,0.136749,1.334486,6.806761,-3.440582,4.689901
0.020000,13.057903,5.833606,0.166123,1.468679,6.709680,-4.854051,4.684259
0.020000,13.056902,5.801600,0.198143,1.601040,6.618059,-4.581029,4.677972
0.020000,13.055591,5.767006,0.232763,1.730962,6.496071,-6.099393,4.671012
0.020000,13.053911,5.729876,0.269931,1.858408,6.372310,-6.188073,4.663341
0.020000,13.051801,5.690273,0.309590,1.982936,6.226384,-7.296270,4.654919
0.020000,13.049191,5.648270,0.351674,2.104222,6.064312,-8.103597,4.645703
0.020000,13.046008,5.603945,0.396113,2.221964,5.887122,-8.859515,4.635641
0.020000,13.042173,5.557389,0.442827,2.335689,5.686219,-10.045141,4.624678
0.020000,13.037601,5.508704,0.491726,2.444923,5.461736,-11.224153,4.612753
0.020000,13.032203,5.458007,0.542710,2.549220,5.214845,-12.344541,4.599796
0.020000,13.025885,5.405423,0.595672,2.648103,4.944111,-13.536712,4.585733
0.020000,13.018549,5.351095,0.650493,2.741029,4.646300,-14.890553,4.570479
0.020000,13.010093,5.295186,0.707037,2.827233,4.310213,-16.804333,4.553943
0.020000,13.000413,5.237871,0.765164,2.906347,3.955732,-17.724052,4.536026
0.020000,12.989401,5.179346,0.824716,2.977582,3.561723,-19.700450,4.516618
0.020000,12.976953,5.119827,0.885523,3.040382,3.139983,-21.087036,4.495602
0.020000,12.962963,5.059546,0.947407,3.094160,2.688911,-22.553554,4.472853
0.020000,12.947330,4.998755,1.010175,3.138421,2.213063,-23.792409,4.448240
0.020000,12.929958,4.937721,1.073633,3.172915,1.724683,-24.419029,4.421624
0.020000,12.910756,4.876724,1.137581,3.197382,1.223369,-25.065708,4.392869
0.020000,12.889644,4.816050,1.201824,3.212131,0.737458,-24.295524,4.361839
0.020000,12.866548,4.755980,1.266180,3.217835,0.285187,-22.613547,4.328409
0.020000,12.841400,4.696783,1.330497,3.215858,-0.098827,-19.200709,4.292471
0.020000,12.814131,4.638702,1.394661,3.208194,-0.383219,-14.219613,4.253947
0.020000,12.784664,4.581935,1.458621,3.197992,-0.510100,-6.344052,4.212801
0.020000,12.752902,4.526620,1.522407,3.189265,-0.436355,3.687248,4.169054
0.020000,12.718704,4.472825,1.586151,3.187236,-0.101448,16.745383,4.122800
0.020000,12.681868,4.420536,1.650112,3.198030,0.539721,32.058441,4.074215
0.020000,12.642107,4.369662,1.714680,3.228425,1.519708,48.999344,4.023573
0.020000,12.599031,4.320046,1.780387,3.285326,2.845089,66.269028,3.971242
0.020000,12.552138,4.271491,1.847889,3.375090,4.488203,82.155713,3.917677
0.020000,12.500822,4.223801,1.917943,3.502732,6.382068,94.693267,3.863406
0.020000,12.444398,4.176817,1.991368,3.671254,8.426088,102.200981,3.808995
0.020000,12.382140,4.130455,2.068993,3.881207,10.497663,103.578768,3.755020
0.020000,12.313336,4.084730,2.151605,4.130601,12.469714,98.602563,3.702029
0.020000,12.237336,4.039766,2.239909,4.415246,14.232227,88.125653,3.650512
0.020000,12.153599,3.995783,2.334495,4.729282,15.701831,73.480163,3.600876
0.020000,12.061718,3.953076,2.435816,5.066051,16.838449,56.830893,3.553437
0.020000,11.961436,3.911986,2.544190,5.418686,17.631720,39.663562,3.508415
0.020000,11.852638,3.872869,2.659806,5.780813,18.106371,23.732545,3.465942
0.020000,11.735337,3.836069,2.782744,6.146906,18.304667,9.914797,3.426074
0.020000,11.609650,3.801898,2.912994,6.512472,18.278272,-1.319750,3.388802
0.020000,11.475774,3.770625,3.050474,6.874028,18.077826,-10.022290,3.354071
0.020000,11.333958,3.742466,3.195058,7.229206,17.758907,-15.945963,3.321792
0.020000,11.184487,3.717588,3.346585,7.576358,17.357574,-20.066639,3.291855
0.020000,11.027661,3.696107,3.504876,7.914532,16.908709,-22.443260,3.264134
0.020000,10.865247,3.678238,3.668270,8.169688,12.757773,-207.546762,3.238716
0.020000,10.699133,3.664026,3.834991,8.336042,8.317717,-222.002833,3.215608
0.020000,10.529754,3.653288,4.004710,8.485941,7.494932,-41.139257,3.194581
