dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.454501,1.339481,0.001800,0.179980,8.999021,449.951045,2.526478
0.020000,15.455483,1.338787,0.003002,0.060124,-5.992800,-749.591030,2.527313
0.020000,15.455424,1.338828,0.003074,0.003592,-2.826643,158.307858,2.528708
0.020000,15.447423,1.344442,0.012849,0.488722,24.256509,1354.157554,2.530668
0.020000,15.437136,1.351627,0.025396,0.627372,6.932488,-866.201016,2.533205
0.020000,15.424568,1.360352,0.040696,0.764978,6.880338,-2.607514,2.536330
0.020000,15.409723,1.370582,0.058724,0.901440,6.823099,-2.861945,2.540057
0.020000,15.392603,1.382278,0.079458,1.036687,6.762351,-3.037380,2.544407
0.020000,15.373213,1.395394,0.102867,1.170459,6.688564,-3.689396,2.549399
0.020000,15.351563,1.409870,0.128911,1.302207,6.587441,-5.056119,2.555058
0.020000,15.327655,1.425649,0.157557,1.432299,6.504558,-4.144178,2.561413
0.020000,15.301504,1.442657,0.188752,1.559733,6.371726,-6.641563,2.568497
0.020000,15.273124,1.460816,0.222444,1.684618,6.244226,-6.375013,2.576345
0.020000,15.242527,1.480039,0.258579,1.806707,6.104486,-6.986982,2.584999
0.020000,15.209737,1.500227,0.297086,1.925352,5.932250,-8.611810,2.594504
0.020000,15.174778,1.521273,0.337891,2.040257,5.745215,-9.351779,2.604911
0.020000,15.137674,1.543065,0.380921,2.151495,5.561922,-9.164611,2.616277
0.020000,15.098467,1.565470,0.426078,2.257883,5.319396,-12.126309,2.628662
0.020000,15.057196,1.588351,0.473267,2.359447,5.078177,-12.060956,2.642136
0.020000,15.013910,1.611562,0.522384,2.455835,4.819404,-12.938632,2.656772
0.020000,14.968668,1.634940,0.573309,2.546247,4.520602,-14.940129,2.672652
0.020000,14.921538,1.658314,0.625916,2.630375,4.206416,-15.709298,2.689860
0.020000,14.872594,1.681505,0.680077,2.708024,3.882475,-16.197030,2.708493
0.020000,14.821928,1.704321,0.735644,2.778344,3.515972,-18.325180,2.728647
0.020000,14.769631,1.726565,0.792475,2.841556,3.160628,-17.767167,2.750425
0.020000,14.715814,1.748031,0.850415,2.896991,2.771729,-19.444985,2.773930
0.020000,14.660588,1.768511,0.909315,2.945032,2.402070,-18.482957,2.799269
0.020000,14.604071,1.787795,0.969032,2.985837,2.040247,-18.091111,2.826540
0.020000,14.546378,1.805677,1.029433,3.020026,1.709431,-16.540796,2.855835
0.020000,14.487612,1.821954,1.090411,3.048922,1.444814,-13.230871,2.887229
0.020000,14.427860,1.836434,1.151893,3.074075,1.257659,-9.357767,2.920774
0.020000,14.367178,1.848932,1.213849,3.097812,1.186842,-3.540855,2.956487
0.020000,14.305570,1.859275,1.276319,3.123496,1.284198,4.867836,2.994344
0.020000,14.242984,1.867293,1.339416,3.154873,1.568825,14.231336,3.034264
0.020000,14.179287,1.872817,1.403352,3.196781,2.095400,26.328742,3.076101
0.020000,14.114264,1.875665,1.468437,3.254284,2.875149,38.987445,3.119639
0.020000,14.047606,1.875631,1.535095,3.332888,3.930192,52.752183,3.164585
0.020000,13.978923,1.872466,1.603851,3.437794,5.245302,65.755495,3.210574
0.020000,13.907759,1.865870,1.675321,3.573488,6.784710,76.970408,3.257177
0.020000,13.833617,1.855485,1.750186,3.743274,8.489309,85.229917,3.303921
0.020000,13.756000,1.840896,1.829162,3.948804,10.276505,89.359828,3.350311
0.020000,13.674443,1.821644,1.912961,4.189930,12.056272,88.988338,3.395851
0.020000,13.588546,1.797247,2.002256,4.464731,13.740056,84.189213,3.440074
0.020000,13.497996,1.767228,2.097652,4.769808,15.253850,75.689671,3.482559
0.020000,13.402578,1.731141,2.199666,5.100718,16.545523,64.583673,3.522949
0.020000,13.302168,1.688596,2.308717,5.452534,17.590794,52.263544,3.560953
