dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.285456,2.515539,0.001800,0.179980,8.999021,449.951045,2.526478
0.020000,16.285456,2.515539,0.007199,0.359961,8.999021,0.000000,2.527313
0.020000,16.283754,2.516736,0.016198,0.539941,8.999021,0.000000,2.528708
0.020000,16.273443,2.523972,0.028797,0.719922,8.999021,0.000000,2.530668
0.020000,16.260161,2.533249,0.044995,0.899902,8.999021,0.000000,2.533205
0.020000,16.243897,2.544539,0.064793,1.079883,8.999021,0.000000,2.536330
0.020000,16.224632,2.557816,0.088190,1.259863,8.999021,-0.000000,2.540057
0.020000,16.202341,2.573045,0.115187,1.439843,8.999021,0.000000,2.544407
0.020000,16.176996,2.590188,0.145784,1.619824,8.999021,-0.000000,2.549399
0.020000,16.148572,2.609193,0.179980,1.799804,8.999021,0.000000,2.555058
0.020000,16.117025,2.630014,0.217776,1.979785,8.999021,-0.000000,2.561413
0.020000,16.082324,2.652583,0.259172,2.159765,8.999021,0.000000,2.568497
0.020000,16.044424,2.676832,0.304167,2.339745,8.999021,-0.000000,2.576345
0.020000,16.003275,2.702684,0.352762,2.519726,8.999021,0.000000,2.584999
0.020000,15.958829,2.730048,0.404956,2.699706,8.999021,0.000000,2.594504
0.020000,15.911032,2.758823,0.460750,2.879687,8.999021,0.000000,2.604911
0.020000,15.859815,2.788903,0.520143,3.059667,8.999021,-0.000000,2.616277
0.020000,15.805122,2.820156,0.583137,3.239648,8.999021,0.000000,2.628662
0.020000,15.746883,2.852445,0.649729,3.419628,8.999021,0.000000,2.642136
0.020000,15.685021,2.885614,0.719922,3.599608,8.999021,0.000000,2.656772
0.020000,15.619464,2.919488,0.793714,3.779589,8.999021,-0.000000,2.672652
0.020000,15.550134,2.953871,0.871105,3.959569,8.999021,0.000000,2.689860
0.020000,15.476942,2.988549,0.952096,4.139550,8.999021,0.000000,2.708493
0.020000,15.399813,3.023278,1.036687,4.319530,8.999021,0.000000,2.728647
0.020000,15.318657,3.057794,1.124878,4.499510,8.999021,-0.000000,2.750425
0.020000,15.233400,3.091796,1.216668,4.679491,8.999021,0.000000,2.773930
0.020000,15.143963,3.124958,1.312057,4.859471,8.999021,0.000000,2.799269
0.020000,15.050279,3.156918,1.411046,5.039452,8.999021,-0.000000,2.826540
0.020000,14.952292,3.187282,1.513635,5.219432,8.999021,0.000000,2.855835
0.020000,14.849959,3.215620,1.619824,5.399413,8.999021,-0.000000,2.887229
0.020000,14.743262,3.241468,1.729612,5.579393,8.999021,0.000000,2.920774
0.020000,14.632210,3.264332,1.842999,5.759373,8.999021,-0.000000,2.956487
0.020000,14.516842,3.283692,1.959987,5.939354,8.999021,-0.000000,2.994344
0.020000,14.397241,3.299007,2.080574,6.119334,8.999021,0.000000,3.034264
0.020000,14.273528,3.309730,2.204760,6.299315,8.999021,0.000000,3.076101
0.020000,14.145874,3.315318,2.332546,6.479295,8.999021,-0.000000,3.119639
0.020000,14.014500,3.315250,2.463932,6.659275,8.999021,0.000000,3.164585
0.020000,13.879669,3.309041,2.598917,6.839256,8.999021,-0.000000,3.210574
0.020000,13.741688,3.296262,2.737502,7.019236,8.999021,0.000000,3.257177
0.020000,13.600889,3.276555,2.879687,7.199217,8.999021,0.000000,3.303921
0.020000,13.457624,3.249645,3.025471,7.379197,8.999021,-0.000000,3.350311
0.020000,13.312244,3.215349,3.174855,7.559178,8.999021,0.000000,3.395851
0.020000,13.165087,3.173577,3.327838,7.739158,8.999021,-0.000000,3.440074
0.020000,13.016462,3.124330,3.484421,7.919138,8.999021,0.000000,3.482559
0.020000,12.866639,3.067692,3.644603,8.099119,8.999021,0.000000,3.522949
0.020000,12.715835,3.003820,3.808386,8.279099,8.999021,-0.000000,3.560953
0.020000,12.564216,2.932931,3.975767,8.459080,8.999021,0.000000,3.596348
0.020000,12.411886,2.855292,4.146749,8.639060,8.999021,0.000000,3.628978
0.020000,12.258898,2.771205,4.321330,8.819040,8.999021,-0.000000,3.658737
0.020000,12.105243,2.681001,4.499510,8.999021,8.999021,0.000000,3.685564
0.020000,11.950866,2.585031,4.681291,9.179001,8.999021,0.000000,3.709425
0.020000,11.795659,2.483665,4.866670,9.358982,8.999021,0.000000,3.730307
0.020000,11.641770,2.378877,5.052851,9.259055,-4.996316,-699.766846,3.747963
0.020000,11.491860,2.273258,5.236232,9.079075,-8.999021,-200.135243,3.762273
0.020000,11.346224,2.167849,5.416014,8.899095,-8.999021,0.000000,3.773472
0.020000,11.204518,2.063162,5.592196,8.719114,-8.999021,0.000000,3.781838
0.020000,11.066434,1.959636,5.764778,8.539134,-8.999021,-0.000000,3.787606
0.020000,10.931694,1.857655,5.933761,8.359153,-8.999021,0.000000,3.790981
0.020000,10.800049,1.757548,6.099145,8.179173,-8.999021,-0.000000,3.792134
0.020000,10.671280,1.659607,6.260928,7.999192,-8.999021,0.000000,3.791216
0.020000,10.545195,1.564083,6.419112,7.819212,-8.999021,0.000000,3.788355
0.020000,10.421627,1.471200,6.573697,7.639232,-8.999021,-0.000000,3.783660
0.020000,10.300433,1.381153,6.724682,7.459251,-8.999021,0.000000,3.777228
0.020000,10.181494,1.294114,6.872067,7.279271,-8.999021,-0.000000,3.769148
0.020000,10.064711,1.210234,7.015852,7.099290,-8.999021,0.000000,3.759495
0.020000,9.950007,1.129642,7.156038,6.919310,-8.999021,0.000000,3.748344
0.020000,9.837325,1.052452,7.292625,6.739330,-8.999021,-0.000000,3.735765
0.020000,9.726626,0.978758,7.425612,6.559349,-8.999021,0.000000,3.721826
0.020000,9.617889,0.908637,7.554999,6.379369,-8.999021,-0.000000,3.706599
0.020000,9.511111,0.842149,7.680786,6.199388,-8.999021,-0.000000,3.690156
0.020000,9.406305,0.779338,7.802974,6.019408,-8.999021,0.000000,3.672576
0.020000,9.303499,0.720230,7.921563,5.839427,-8.999021,-0.000000,3.653943
0.020000,9.202737,0.664832,8.036551,5.659447,-8.999021,0.000000,3.634347
0.020000,9.104073,0.613134,8.147940,5.479467,-8.999021,0.000000,3.613888
0.020000,9.007576,0.565108,8.255730,5.299486,-8.999021,-0.000000,3.592671
0.020000,8.913324,0.520706,8.359920,5.119506,-8.999021,0.000000,3.570812
0.020000,8.821402,0.479861,8.460510,4.939525,-8.999021,-0.000000,3.548432
0.020000,8.731902,0.442490,8.557501,4.759545,-8.999021,-0.000000,3.525658
0.020000,8.644922,0.408489,8.650892,4.579565,-8.999021,0.000000,3.502624
0.020000,8.560562,0.377740,8.740684,4.399584,-8.999021,-0.000000,3.479464
0.020000,8.478922,0.350107,8.826875,4.219604,-8.999021,0.000000,3.456315
0.020000,8.400101,0.325441,8.909468,4.039623,-8.999021,-0.000000,3.433313
0.020000,8.324196,0.303580,8.988460,3.859643,-8.999021,0.000000,3.410588
0.020000,8.251297,0.284352,9.063853,3.679662,-8.999021,-0.000000,3.388268
0.020000,8.181492,0.267579,9.135647,3.499682,-8.999021,0.000000,3.366472
0.020000,8.114860,0.253074,9.203841,3.319702,-8.999021,0.000000,3.345310
0.020000,8.051473,0.240651,9.268435,3.139721,-8.999021,0.000000,3.324883
0.020000,7.991396,0.230121,9.329430,2.959741,-8.999021,-0.000000,3.305283
0.020000,7.934684,0.221297,9.386825,2.779760,-8.999021,0.000000,3.286587
0.020000,7.881387,0.213995,9.440620,2.599780,-8.999021,0.000000,3.268865
0.020000,7.831546,0.208039,9.490816,2.419800,-8.999021,0.000000,3.252176
0.020000,7.785197,0.203258,9.537412,2.239819,-8.999021,-0.000000,3.236567
0.020000,7.742366,0.199491,9.580409,2.059839,-8.999021,0.000000,3.222079
0.020000,7.703077,0.196585,9.619805,1.879858,-8.999021,-0.000000,3.208742
0.020000,7.667347,0.194400,9.655603,1.699878,-8.999021,0.000000,3.196581
0.020000,7.635188,0.192807,9.687801,1.519897,-8.999021,0.000000,3.185615
0.020000,7.606613,0.191688,9.716399,1.339917,-8.999021,0.000000,3.175857
0.020000,7.581625,0.190938,9.741397,1.159937,-8.999021,0.000000,3.167317
0.020000,7.560232,0.190466,9.762796,0.979956,-8.999021,0.000000,3.160001
0.020000,7.542434,0.190192,9.780596,0.799976,-8.999021,-0.000000,3.153912
0.020000,7.528236,0.190052,9.794795,0.619995,-8.999021,0.000000,3.149054
0.020000,7.517636,0.189992,9.805395,0.440015,-8.999021,0.000000,3.145426
0.020000,7.510635,0.189973,9.812396,0.260035,-8.999021,0.000000,3.143031
0.020000,7.507234,0.189971,9.815797,0.080054,-8.999021,0.000000,3.141867
0.020000,7.506433,0.189970,9.816597,0.000000,-4.002705,249.815801,3.141593
0.020000,7.506433,0.189970,9.816597,0.000000,0.000000,200.135243,3.141593
