dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.116411,3.691598,0.001800,0.179980,8.999021,449.951045,2.526478
0.020000,17.115428,3.692292,0.003002,0.060124,-5.992800,-749.591030,2.527313
0.020000,17.112085,3.694645,0.007091,0.204431,7.215329,660.406419,2.528708
0.020000,17.099463,3.703502,0.022511,0.770981,28.327496,1055.608357,2.530668
0.020000,17.083187,3.714870,0.042364,0.992663,11.084105,-862.169543,2.533205
0.020000,17.063226,3.728727,0.066663,1.214954,11.114539,1.521718,2.536330
0.020000,17.039541,3.745049,0.095428,1.438234,11.163988,2.472414,2.540057
0.020000,17.012079,3.763811,0.128687,1.662962,11.236423,3.621793,2.544407
0.020000,16.980779,3.784982,0.166473,1.889328,11.318320,4.094834,2.549399
0.020000,16.945581,3.808517,0.208815,2.117091,11.388145,3.491242,2.555058
0.020000,16.906395,3.834379,0.255766,2.347531,11.521999,6.692691,2.561413
0.020000,16.863143,3.862509,0.307361,2.579755,11.611200,4.460053,2.568497
0.020000,16.815724,3.892849,0.363655,2.814723,11.748399,6.859980,2.576345
0.020000,16.764023,3.925330,0.424713,3.052890,11.908314,7.995735,2.584999
0.020000,16.707921,3.959870,0.490595,3.294083,12.059669,7.567737,2.594504
0.020000,16.647286,3.996374,0.561370,3.538782,12.234935,8.763301,2.604911
0.020000,16.581955,4.034741,0.637134,3.788195,12.470643,11.785417,2.616277
0.020000,16.511777,4.074843,0.717962,4.041390,12.659784,9.457055,2.628662
0.020000,16.436570,4.116538,0.803954,4.299604,12.910706,12.546074,2.642136
0.020000,16.356133,4.159667,0.895224,4.563483,13.193947,14.162071,2.656772
0.020000,16.270261,4.204036,0.991881,4.832857,13.468665,13.735875,2.672652
0.020000,16.178729,4.249428,1.094050,5.108437,13.779013,15.517435,2.689860
0.020000,16.081290,4.295593,1.201872,5.391124,14.134363,17.767458,2.708493
0.020000,15.977699,4.342236,1.315480,5.680373,14.462449,16.404330,2.728647
0.020000,15.867683,4.389023,1.435030,5.977534,14.858061,19.780586,2.750425
0.020000,15.750986,4.435561,1.560665,6.281728,15.209687,17.581306,2.773930
0.020000,15.627338,4.481405,1.692538,6.593674,15.597313,19.381313,2.799269
0.020000,15.496486,4.526042,1.830794,6.912776,15.955105,17.889576,2.826540
0.020000,15.358207,4.568887,1.975559,7.238266,16.274496,15.969577,2.855835
0.020000,15.212307,4.609286,2.126949,7.569483,16.560815,14.315949,2.887229
0.020000,15.058663,4.646503,2.285036,7.904340,16.742887,9.103603,2.920774
0.020000,14.897243,4.679733,2.449841,8.240249,16.795435,2.627370,2.956487
0.020000,14.728115,4.708109,2.621333,8.574591,16.717095,-3.917010,2.994344
0.020000,14.551499,4.730720,2.799390,8.902894,16.415167,-15.096374,3.034264
0.020000,14.367768,4.746643,2.983810,9.220985,15.904560,-25.530370,3.076101
0.020000,14.177484,4.754971,3.174276,9.523271,15.114299,-39.513048,3.119639
0.020000,13.981394,4.754869,3.370367,9.804547,14.063795,-52.525171,3.164585
0.020000,13.780416,4.745616,3.571557,10.059543,12.749804,-65.699553,3.210574
0.020000,13.575617,4.726653,3.777232,10.283717,11.208671,-77.056666,3.257177
0.020000,13.368161,4.697624,3.986709,10.473860,9.507152,-85.075953,3.303921
0.020000,13.159247,4.658393,4.199274,10.628278,7.720909,-89.312130,3.350311
0.020000,12.950044,4.609053,4.414217,10.747132,5.942700,-88.910480,3.395851
0.020000,12.741628,4.549906,4.630864,10.832337,4.260248,-84.122584,3.440074
0.020000,12.534929,4.481431,4.848610,10.887300,2.748130,-75.605889,3.482559
0.020000,12.330700,4.404243,5.066939,10.916432,1.456615,-64.575762,3.522949
0.020000,12.129502,4.319043,5.285432,10.924699,0.413352,-52.163176,3.560953
0.020000,11.931706,4.226582,5.503773,10.917001,-0.384901,-39.912618,3.596348
0.020000,11.737510,4.127619,5.721731,10.897929,-0.953615,-28.435721,3.628978
0.020000,11.546961,4.022902,5.939157,10.871312,-1.330846,-18.861525,3.658737
0.020000,11.359989,3.913151,6.155962,10.840215,-1.554836,-11.199499,3.685564
0.020000,11.176425,3.799050,6.372097,10.806772,-1.672160,-5.866229,3.709425
0.020000,10.996037,3.681248,6.587544,10.772333,-1.721958,-2.489870,3.730307
0.020000,10.821130,3.562156,6.799146,10.580093,-9.611999,-394.502080,3.747963
0.020000,10.654373,3.444674,7.003131,10.199277,-19.040787,-471.439383,3.762273
0.020000,10.495669,3.329812,7.199039,9.795398,-20.193945,-57.657900,3.773472
0.020000,10.344273,3.217969,7.387267,9.411397,-19.200036,49.695442,3.781838
0.020000,10.199542,3.109462,7.568156,9.044444,-18.347669,42.618347,3.787606
0.020000,10.060927,3.004549,7.741998,8.692091,-17.617645,36.501200,3.790981
0.020000,9.927959,2.903437,7.909043,8.352242,-16.992437,31.260414,3.792134
0.020000,9.800243,2.806295,8.069504,8.023094,-16.457395,26.752096,3.791216
0.020000,9.677443,2.713260,8.223567,7.703151,-15.997189,23.010309,3.788355
0.020000,9.559280,2.624438,8.371391,7.391185,-15.598296,19.944664,3.783660
0.020000,9.445521,2.539913,8.513115,7.086186,-15.249940,17.417766,3.777228
0.020000,9.335973,2.459745,8.648863,6.787423,-14.938155,15.589239,3.769148
0.020000,9.230480,2.383971,8.778749,6.494282,-14.657047,14.055401,3.759495
0.020000,9.128916,2.312609,8.902877,6.206419,-14.393136,13.195558,3.748344
0.020000,9.031180,2.245653,9.021349,5.923573,-14.142312,12.541217,3.735765
0.020000,8.937190,2.183079,9.134263,5.645721,-13.892582,12.486490,3.721826
