dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.297552,3.664843,0.001786,0.178571,8.928571,446.428571,6.282920
0.020000,0.297346,3.664843,0.001991,0.010288,-8.414167,-867.136906,6.283063
0.020000,0.301333,3.664844,0.005978,0.199341,9.452665,893.341565,0.000115
0.020000,0.313353,3.664847,0.017998,0.601003,20.083078,531.520655,0.000449
0.020000,0.328807,3.664857,0.033453,0.772725,8.586089,-574.849451,0.000877
0.020000,0.347696,3.664879,0.052342,0.944456,8.586560,0.023549,0.001401
0.020000,0.370020,3.664917,0.074666,1.116191,8.586760,0.009998,0.002019
0.020000,0.395779,3.664978,0.100425,1.287936,8.587222,0.023128,0.002732
0.020000,0.424972,3.665070,0.129618,1.459692,8.587807,0.029258,0.003540
0.020000,0.457601,3.665200,0.162247,1.631458,8.588295,0.024401,0.004442
0.020000,0.493666,3.665378,0.198312,1.803239,8.589068,0.038647,0.005439
0.020000,0.533166,3.665614,0.237813,1.975031,8.589583,0.025725,0.006530
0.020000,0.576101,3.665920,0.280750,2.146845,8.590694,0.055564,0.007715
0.020000,0.622473,3.666308,0.327123,2.318671,8.591307,0.030657,0.008993
0.020000,0.672281,3.666790,0.376934,2.490519,8.592440,0.056626,0.010365
0.020000,0.725526,3.667381,0.430181,2.662386,8.593327,0.044379,0.011830
0.020000,0.782207,3.668095,0.486867,2.834279,8.594645,0.065881,0.013387
0.020000,0.842325,3.668950,0.546991,3.006198,8.595935,0.064480,0.015037
0.020000,0.905879,3.669961,0.610554,3.178136,8.596911,0.048807,0.016779
0.020000,0.972871,3.671147,0.677556,3.350109,8.598673,0.088102,0.018613
0.020000,1.043300,3.672526,0.747998,3.522111,8.600066,0.069644,0.020538
0.020000,1.117165,3.674117,0.821881,3.694144,8.601694,0.081436,0.022554
0.020000,1.194468,3.675943,0.899205,3.866212,8.603398,0.085194,0.024660
0.020000,1.275208,3.678023,0.979971,4.038316,8.605202,0.090176,0.026856
