dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.297169,2.224843,0.001786,0.178571,8.928571,446.428571,6.282920
0.020000,0.297169,2.224843,0.007143,0.357143,8.928571,0.000000,6.283063
0.020000,0.301499,2.224844,0.016071,0.535714,8.928571,0.000000,0.000115
0.020000,0.313999,2.224847,0.028571,0.714286,8.928571,-0.000000,0.000449
0.020000,0.330070,2.224858,0.044643,0.892857,8.928571,0.000000,0.000877
0.020000,0.349713,2.224880,0.064286,1.071429,8.928571,-0.000000,0.001401
0.020000,0.372927,2.224920,0.087500,1.250000,8.928571,0.000000,0.002019
0.020000,0.399713,2.224983,0.114286,1.428571,8.928571,-0.000000,0.002732
0.020000,0.430070,2.225079,0.144643,1.607143,8.928571,0.000000,0.003540
0.020000,0.463998,2.225214,0.178571,1.785714,8.928571,-0.000000,0.004442
0.020000,0.501498,2.225399,0.216071,1.964286,8.928571,-0.000000,0.005439
0.020000,0.542569,2.225645,0.257143,2.142857,8.928571,0.000000,0.006530
0.020000,0.587210,2.225963,0.301786,2.321429,8.928571,0.000000,0.007715
0.020000,0.635423,2.226366,0.350000,2.500000,8.928571,-0.000000,0.008993
0.020000,0.687206,2.226867,0.401786,2.678571,8.928571,0.000000,0.010365
0.020000,0.742560,2.227481,0.457143,2.857143,8.928571,0.000000,0.011830
0.020000,0.801484,2.228224,0.516071,3.035714,8.928571,0.000000,0.013387
0.020000,0.863978,2.229113,0.578571,3.214286,8.928571,0.000000,0.015037
0.020000,0.930041,2.230164,0.644643,3.392857,8.928571,0.000000,0.016779
0.020000,0.999672,2.231396,0.714286,3.571429,8.928571,-0.000000,0.018613
0.020000,1.072873,2.232829,0.787500,3.750000,8.928571,0.000000,0.020538
0.020000,1.149641,2.234484,0.864286,3.928571,8.928571,0.000000,0.022554
0.020000,1.229975,2.236380,0.944643,4.107143,8.928571,0.000000,0.024660
0.020000,1.313876,2.238542,1.028571,4.285714,8.928571,0.000000,0.026856
0.020000,1.401342,2.240992,1.116071,4.464286,8.928571,0.000000,0.029142
0.020000,1.492371,2.243753,1.207143,4.642857,8.928571,0.000000,0.031515
0.020000,1.586963,2.246852,1.301786,4.821429,8.928571,-0.000000,0.033977
0.020000,1.685117,2.250314,1.400000,5.000000,8.928571,0.000000,0.036527
0.020000,1.786829,2.254165,1.501786,5.178571,8.928571,0.000000,0.039163
0.020000,1.892100,2.258433,1.607143,5.357143,8.928571,-0.000000,0.041885
0.020000,2.000926,2.263147,1.716071,5.535714,8.928571,0.000000,0.044693
0.020000,2.113307,2.268336,1.828571,5.714286,8.928571,-0.000000,0.047585
0.020000,2.229238,2.274030,1.944643,5.892857,8.928571,0.000000,0.050561
0.020000,2.348719,2.280259,2.064286,6.071429,8.928571,-0.000000,0.053619
0.020000,2.471745,2.287056,2.187500,6.250000,8.928571,0.000000,0.056760
