dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.296787,0.784843,0.001786,0.178571,8.928571,446.428571,6.282920
0.020000,0.296993,0.784843,0.001991,0.010288,-8.414167,-867.136906,6.283063
0.020000,0.301665,0.784844,0.006664,0.233630,11.167100,979.063315,0.000115
0.020000,0.314645,0.784847,0.019644,0.648997,20.768364,480.063197,0.000449
0.020000,0.331333,0.784858,0.036332,0.834416,9.270925,-574.871937,0.000877
0.020000,0.351730,0.784882,0.056729,1.019832,9.270811,-0.005677,0.001401
0.020000,0.375835,0.784923,0.080834,1.205237,9.270263,-0.027410,0.002019
0.020000,0.403647,0.784989,0.108646,1.390634,9.269854,-0.020445,0.002732
0.020000,0.435168,0.785088,0.140167,1.576023,9.269431,-0.021171,0.003540
0.020000,0.470395,0.785228,0.175395,1.761398,9.268752,-0.033912,0.004442
0.020000,0.509330,0.785421,0.214330,1.946763,9.268228,-0.026199,0.005439
0.020000,0.551972,0.785676,0.256972,2.132108,9.267268,-0.048008,0.006530
0.020000,0.598319,0.786006,0.303321,2.317444,9.266791,-0.023862,0.007715
0.020000,0.648373,0.786424,0.353376,2.502756,9.265610,-0.059042,0.008993
0.020000,0.702131,0.786944,0.407137,2.688052,9.264819,-0.039546,0.010365
0.020000,0.759594,0.787582,0.464604,2.873324,9.263588,-0.061562,0.011830
0.020000,0.820761,0.788353,0.525775,3.058577,9.262640,-0.047430,0.013387
0.020000,0.885630,0.789275,0.590651,3.243806,9.261473,-0.058311,0.015037
0.020000,0.954202,0.790366,0.659231,3.429002,9.259775,-0.084896,0.016779
0.020000,1.026474,0.791645,0.731515,3.614176,9.258725,-0.052494,0.018613
0.020000,1.102446,0.793133,0.807501,3.799318,9.257071,-0.082743,0.020538
0.020000,1.182116,0.794850,0.887190,3.984427,9.255457,-0.080699,0.022554
0.020000,1.265483,0.796818,0.970580,4.169501,9.253703,-0.087683,0.024660
0.020000,1.352544,0.799061,1.057671,4.354538,9.251829,-0.093714,0.026856
0.020000,1.443300,0.801603,1.148461,4.539537,9.249958,-0.093551,0.029142
0.020000,1.537746,0.804468,1.242951,4.724493,9.247785,-0.108650,0.031515
0.020000,1.635882,0.807683,1.341139,4.909408,9.245796,-0.099458,0.033977
0.020000,1.737704,0.811274,1.443025,5.094276,9.243390,-0.120293,0.036527
0.020000,1.843210,0.815269,1.548607,5.279092,9.240805,-0.129212,0.039163
0.020000,1.952397,0.819696,1.657884,5.463860,9.238382,-0.121173,0.041885
0.020000,2.065263,0.824585,1.770855,5.648573,9.235653,-0.136434,0.044693
0.020000,2.181803,0.829966,1.887520,5.833227,9.232711,-0.147096,0.047585
0.020000,2.302015,0.835870,2.007876,6.017823,9.229805,-0.145327,0.050561
0.020000,2.425894,0.842329,2.131924,6.202357,9.226701,-0.155181,0.053619
0.020000,2.553436,0.849375,2.259660,6.386822,9.223224,-0.173869,0.056760
0.020000,2.684636,0.857042,2.391085,6.571222,9.220004,-0.160998,0.059981
0.020000,2.819491,0.865364,2.526195,6.755546,9.216196,-0.190390,0.063283
0.020000,2.957994,0.874376,2.664991,6.939799,9.212645,-0.177554,0.066663
0.020000,3.100140,0.884113,2.807471,7.123968,9.208476,-0.208465,0.070121
0.020000,3.245924,0.894611,2.953632,7.308058,9.204496,-0.198976,0.073655
0.020000,3.395339,0.905908,3.103473,7.492061,9.200160,-0.216803,0.077265
