dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.491257,3.639973,0.001786,0.178571,8.928571,446.428571,0.006071
0.020000,0.491280,3.639974,0.001809,0.001156,-8.870775,-889.967326,0.006055
0.020000,0.498284,3.640016,0.008813,0.350201,17.452262,1316.151879,0.006029
0.020000,0.510838,3.640091,0.021367,0.627686,13.874233,-178.901496,0.005991
0.020000,0.526978,3.640188,0.037507,0.807013,8.966358,-245.393747,0.005944
0.020000,0.546704,3.640304,0.057233,0.986331,8.965920,-0.021858,0.005885
0.020000,0.570016,3.640441,0.080546,1.165639,8.965386,-0.026702,0.005817
0.020000,0.596914,3.640596,0.107445,1.344934,8.964755,-0.031593,0.005739
0.020000,0.627398,3.640770,0.137929,1.524215,8.964026,-0.036427,0.005650
0.020000,0.661467,3.640961,0.171999,1.703479,8.963201,-0.041263,0.005552
0.020000,0.699121,3.641168,0.209653,1.882724,8.962277,-0.046167,0.005445
0.020000,0.740360,3.641390,0.250892,2.061949,8.961258,-0.050991,0.005329
0.020000,0.785182,3.641626,0.295715,2.241152,8.960140,-0.055862,0.005204
0.020000,0.833588,3.641874,0.344122,2.420331,8.958926,-0.060707,0.005070
0.020000,0.885577,3.642134,0.396112,2.599483,8.957614,-0.065594,0.004928
0.020000,0.941149,3.642404,0.451684,2.778607,8.956206,-0.070415,0.004779
0.020000,1.000302,3.642682,0.510838,2.957701,8.954700,-0.075300,0.004623
0.020000,1.063037,3.642967,0.573573,3.136763,8.953097,-0.080151,0.004459
0.020000,1.129352,3.643257,0.639889,3.315791,8.951397,-0.085011,0.004289
0.020000,1.199247,3.643551,0.709785,3.494783,8.949600,-0.089859,0.004114
0.020000,1.272721,3.643846,0.783259,3.673737,8.947705,-0.094733,0.003933
0.020000,1.349773,3.644142,0.860312,3.852651,8.945713,-0.099586,0.003747
0.020000,1.430403,3.644437,0.940943,4.031524,8.943625,-0.104434,0.003558
0.020000,1.514610,3.644728,1.025150,4.210353,8.941438,-0.109312,0.003364
0.020000,1.602392,3.645015,1.112933,4.389136,8.939155,-0.114151,0.003168
0.020000,1.693749,3.645295,1.204290,4.567871,8.936775,-0.119027,0.002969
0.020000,1.788680,3.645567,1.299221,4.746557,8.934297,-0.123876,0.002769
0.020000,1.887183,3.645830,1.397725,4.925192,8.931723,-0.128732,0.002568
0.020000,1.989258,3.646082,1.499800,5.103773,8.929051,-0.133597,0.002367
0.020000,2.094904,3.646321,1.605446,5.282298,8.926282,-0.138450,0.002166
0.020000,2.204119,3.646547,1.714662,5.460767,8.923415,-0.143310,0.001967
0.020000,2.316903,3.646758,1.827445,5.639176,8.920452,-0.148166,0.001770
0.020000,2.433253,3.646952,1.943796,5.817524,8.917392,-0.153025,0.001576
0.020000,2.553169,3.647130,2.063712,5.995808,8.914234,-0.157880,0.001387
0.020000,2.676649,3.647289,2.187192,6.174028,8.910979,-0.162739,0.001202
0.020000,2.803693,3.647431,2.314236,6.352180,8.907627,-0.167595,0.001023
0.020000,2.934298,3.647553,2.444841,6.530264,8.904178,-0.172453,0.000850
0.020000,3.068464,3.647656,2.579007,6.708277,8.900632,-0.177305,0.000686
0.020000,3.206188,3.647739,2.716731,6.886216,8.896989,-0.182168,0.000530
0.020000,3.347470,3.647804,2.858013,7.064081,8.893248,-0.187020,0.000384
0.020000,3.492307,3.647849,3.002850,7.241870,8.889411,-0.191880,0.000249
0.020000,3.640698,3.647877,3.151242,7.419579,8.885476,-0.196733,0.000126
0.020000,3.792643,3.647887,3.303186,7.597208,8.881444,-0.201597,0.000016
0.020000,3.948138,3.647882,3.458681,7.774754,8.877315,-0.206445,6.283105
0.020000,4.107182,3.647863,3.617725,7.952216,8.873089,-0.211308,6.283025
0.020000,4.269774,3.647831,3.780317,8.129591,8.868766,-0.216166,6.282961
0.020000,4.435911,3.647790,3.946455,8.306878,8.864345,-0.221023,6.282915
0.020000,4.605593,3.647742,4.116136,8.484075,8.859828,-0.225880,6.282888
0.020000,4.778816,3.647689,4.289360,8.661179,8.855213,-0.230741,6.282882
0.020000,4.955580,3.647637,4.466124,8.838189,8.850501,-0.235600,6.282897
0.020000,5.135882,3.647588,4.646426,9.015103,8.845692,-0.240461,6.282935
0.020000,5.319721,3.647547,4.830264,9.191919,8.840785,-0.245319,6.282998
0.020000,5.507093,3.647520,5.017637,9.368634,8.835782,-0.250183,6.283086
0.020000,5.697998,3.647512,5.208542,9.545248,8.830681,-0.255041,0.000017
0.020000,5.892433,3.647529,5.402977,9.721758,8.825483,-0.259903,0.000161
0.020000,6.090397,3.647577,5.600940,9.898161,8.820188,-0.264766,0.000335
0.020000,6.290103,3.647664,5.800646,9.985312,4.357524,-223.133170,0.000539
0.020000,6.489768,3.647794,6.000312,9.983281,-0.101561,-222.954246,0.000772
0.020000,6.689393,3.647974,6.199937,9.981249,-0.101561,-0.000013,0.001032
0.020000,6.888978,3.648208,6.399521,9.979218,-0.101561,-0.000009,0.001321
0.020000,7.088521,3.648503,6.599065,9.977187,-0.101561,-0.000003,0.001637
0.020000,7.288024,3.648864,6.798568,9.975156,-0.101561,0.000005,0.001982
0.020000,7.487486,3.649296,6.998031,9.973124,-0.101561,0.000014,0.002356
0.020000,7.686907,3.649805,7.197452,9.971093,-0.101560,0.000027,0.002757
0.020000,7.886288,3.650397,7.396834,9.969062,-0.101560,0.000042,0.003187
0.020000,8.085627,3.651078,7.596174,9.967031,-0.101558,0.000059,0.003645
0.020000,8.284925,3.651852,7.795474,9.965000,-0.101557,0.000080,0.004131
0.020000,8.484183,3.652726,7.994734,9.962969,-0.101555,0.000103,0.004645
0.020000,8.683399,3.653705,8.193952,9.960938,-0.101552,0.000130,0.005188
0.020000,8.882574,3.654795,8.393130,9.958907,-0.101549,0.000161,0.005759
0.020000,9.081708,3.656001,8.592268,9.956876,-0.101545,0.000195,0.006357
0.020000,9.280801,3.657328,8.791365,9.954845,-0.101540,0.000233,0.006985
0.020000,9.479852,3.658783,8.990421,9.952814,-0.101535,0.000276,0.007640
0.020000,9.667275,3.660372,9.177852,9.371517,-29.064846,-1448.165554,0.010976
0.020000,9.854757,3.663218,9.365354,9.375148,0.181526,1462.318598,0.019654
0.020000,10.039901,3.667781,9.550555,9.260032,-5.755786,-296.865624,0.029931
0.020000,10.222521,3.674315,9.733291,9.136816,-6.160821,-20.251738,0.041919
0.020000,10.402386,3.683074,9.913370,9.003917,-6.644929,-24.205374,0.055752
0.020000,10.579222,3.694313,10.090562,8.859629,-7.214412,-28.474174,0.071589
0.020000,10.752700,3.708288,10.264603,8.702017,-7.880583,-33.308528,0.089615
0.020000,10.922434,3.725247,10.435182,8.528970,-8.652384,-38.590063,0.110044
0.020000,11.087191,3.745322,10.601158,8.298785,-11.509238,-142.842682,0.133005
0.020000,11.245106,3.768453,10.760758,7.980007,-15.938874,-221.481816,0.158487
0.020000,11.395187,3.794552,10.913091,7.616653,-18.167706,-111.441629,0.186535
0.020000,11.537132,3.823554,11.057968,7.243853,-18.640001,-23.614747,0.217280
0.020000,11.670647,3.855332,11.195213,6.862268,-19.079269,-21.963377,0.250844
0.020000,11.795474,3.889698,11.324684,6.473549,-19.435935,-17.833295,0.287326
0.020000,11.911409,3.926401,11.446291,6.080317,-19.661626,-11.284558,0.326790
0.020000,12.018338,3.965133,11.560018,5.686370,-19.697319,-1.784657,0.369244
