dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.200000,0.001786,0.178571,8.928571,446.428571,0.006071
0.020000,0.500000,2.200000,0.007143,0.357143,8.928571,0.000000,0.006055
0.020000,0.506965,2.200042,0.016071,0.535714,8.928571,0.000000,0.006029
0.020000,0.519465,2.200117,0.028571,0.714286,8.928571,-0.000000,0.005991
0.020000,0.535536,2.200213,0.044643,0.892857,8.928571,0.000000,0.005944
0.020000,0.555179,2.200329,0.064286,1.071429,8.928571,-0.000000,0.005885
0.020000,0.578393,2.200465,0.087500,1.250000,8.928571,0.000000,0.005817
0.020000,0.605178,2.200620,0.114286,1.428571,8.928571,-0.000000,0.005739
0.020000,0.635535,2.200793,0.144643,1.607143,8.928571,0.000000,0.005650
0.020000,0.669463,2.200983,0.178571,1.785714,8.928571,-0.000000,0.005552
0.020000,0.706962,2.201189,0.216071,1.964286,8.928571,-0.000000,0.005445
0.020000,0.748033,2.201410,0.257143,2.142857,8.928571,0.000000,0.005329
0.020000,0.792675,2.201645,0.301786,2.321429,8.928571,0.000000,0.005204
0.020000,0.840889,2.201893,0.350000,2.500000,8.928571,-0.000000,0.005070
0.020000,0.892674,2.202152,0.401786,2.678571,8.928571,0.000000,0.004928
0.020000,0.948030,2.202421,0.457143,2.857143,8.928571,0.000000,0.004779
0.020000,1.006958,2.202698,0.516071,3.035714,8.928571,0.000000,0.004623
0.020000,1.069458,2.202981,0.578571,3.214286,8.928571,0.000000,0.004459
0.020000,1.135528,2.203270,0.644643,3.392857,8.928571,0.000000,0.004289
0.020000,1.205171,2.203563,0.714286,3.571429,8.928571,-0.000000,0.004114
0.020000,1.278384,2.203857,0.787500,3.750000,8.928571,0.000000,0.003933
0.020000,1.355170,2.204152,0.864286,3.928571,8.928571,0.000000,0.003747
0.020000,1.435526,2.204446,0.944643,4.107143,8.928571,0.000000,0.003558
0.020000,1.519454,2.204736,1.028571,4.285714,8.928571,0.000000,0.003364
0.020000,1.606954,2.205022,1.116071,4.464286,8.928571,0.000000,0.003168
0.020000,1.698025,2.205301,1.207143,4.642857,8.928571,0.000000,0.002969
0.020000,1.792667,2.205573,1.301786,4.821429,8.928571,-0.000000,0.002769
0.020000,1.890881,2.205835,1.400000,5.000000,8.928571,0.000000,0.002568
0.020000,1.992667,2.206086,1.501786,5.178571,8.928571,0.000000,0.002367
0.020000,2.098023,2.206325,1.607143,5.357143,8.928571,-0.000000,0.002166
0.020000,2.206952,2.206550,1.716071,5.535714,8.928571,0.000000,0.001967
0.020000,2.319452,2.206760,1.828571,5.714286,8.928571,-0.000000,0.001770
0.020000,2.435523,2.206954,1.944643,5.892857,8.928571,0.000000,0.001576
0.020000,2.555166,2.207131,2.064286,6.071429,8.928571,-0.000000,0.001387
0.020000,2.678380,2.207290,2.187500,6.250000,8.928571,0.000000,0.001202
0.020000,2.805165,2.207431,2.314286,6.428571,8.928571,0.000000,0.001023
0.020000,2.935523,2.207553,2.444643,6.607143,8.928571,-0.000000,0.000850
0.020000,3.069451,2.207656,2.578571,6.785714,8.928571,0.000000,0.000686
0.020000,3.206951,2.207739,2.716071,6.964286,8.928571,-0.000000,0.000530
0.020000,3.348022,2.207804,2.857143,7.142857,8.928571,0.000000,0.000384
0.020000,3.492665,2.207849,3.001786,7.321429,8.928571,-0.000000,0.000249
0.020000,3.640880,2.207877,3.150000,7.500000,8.928571,0.000000,0.000126
0.020000,3.792665,2.207887,3.301786,7.678571,8.928571,0.000000,0.000016
0.020000,3.948022,2.207882,3.457143,7.857143,8.928571,-0.000000,6.283105
0.020000,4.106951,2.207863,3.616071,8.035714,8.928571,0.000000,6.283025
0.020000,4.269451,2.207831,3.778571,8.214286,8.928571,-0.000000,6.282961
0.020000,4.435522,2.207790,3.944643,8.392857,8.928571,0.000000,6.282915
0.020000,4.605165,2.207742,4.114286,8.571429,8.928571,0.000000,6.282888
0.020000,4.778380,2.207689,4.287500,8.750000,8.928571,0.000000,6.282882
0.020000,4.955165,2.207637,4.464286,8.928571,8.928571,0.000000,6.282897
0.020000,5.135522,2.207588,4.644643,9.107143,8.928571,0.000000,6.282935
0.020000,5.319451,2.207547,4.828571,9.285714,8.928571,0.000000,6.282998
0.020000,5.506951,2.207520,5.016071,9.464286,8.928571,-0.000000,6.283086
0.020000,5.698022,2.207512,5.207143,9.642857,8.928571,0.000000,0.000017
0.020000,5.892665,2.207529,5.401786,9.821429,8.928571,0.000000,0.000161
0.020000,6.090880,2.207577,5.600000,10.000000,8.928571,0.000000,0.000335
0.020000,6.290879,2.207664,5.800000,10.000000,0.000000,-446.428571,0.000539
0.020000,6.490879,2.207795,6.000000,10.000000,0.000000,0.000000,0.000772
0.020000,6.690879,2.207975,6.200000,10.000000,0.000000,0.000000,0.001032
0.020000,6.890879,2.208210,6.400000,10.000000,0.000000,0.000000,0.001321
0.020000,7.090879,2.208505,6.600000,10.000000,0.000000,0.000000,0.001637
0.020000,7.290879,2.208866,6.800000,10.000000,0.000000,0.000000,0.001982
0.020000,7.490878,2.209300,7.000000,10.000000,0.000000,0.000000,0.002356
0.020000,7.690878,2.209811,7.200000,10.000000,0.000000,0.000000,0.002757
0.020000,7.890877,2.210405,7.400000,10.000000,0.000000,0.000000,0.003187
0.020000,8.090875,2.211087,7.600000,10.000000,0.000000,0.000000,0.003645
0.020000,8.290874,2.211864,7.800000,10.000000,0.000000,0.000000,0.004131
