dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508743,0.760027,0.001786,0.178571,8.928571,446.428571,0.006071
0.020000,0.508720,0.760026,0.001809,0.001156,-8.870775,-889.967326,0.006055
0.020000,0.515647,0.760068,0.008736,0.346355,17.259932,1306.535346,0.006029
0.020000,0.528093,0.760143,0.021182,0.622314,13.797980,-173.097577,0.005991
0.020000,0.544095,0.760239,0.037185,0.800130,8.890785,-245.359749,0.005944
0.020000,0.563654,0.760354,0.056744,0.977954,8.891222,0.021854,0.005885
0.020000,0.586769,0.760489,0.079860,1.155789,8.891757,0.026725,0.005817
0.020000,0.613442,0.760644,0.106532,1.333637,8.892388,0.031549,0.005739
0.020000,0.643671,0.760816,0.136762,1.511500,8.893116,0.036430,0.005650
0.020000,0.677458,0.761005,0.170550,1.689378,8.893943,0.041308,0.005552
0.020000,0.714803,0.761210,0.207895,1.867276,8.894865,0.046120,0.005445
0.020000,0.755706,0.761431,0.248799,2.045193,8.895885,0.051011,0.005329
0.020000,0.800168,0.761665,0.293262,2.223133,8.897002,0.055856,0.005204
0.020000,0.848190,0.761911,0.341284,2.401098,8.898217,0.060727,0.005070
0.020000,0.899771,0.762169,0.392866,2.579088,8.899528,0.065556,0.004928
0.020000,0.954912,0.762437,0.448008,2.757107,8.900937,0.070452,0.004779
0.020000,1.013615,0.762713,0.506711,2.935156,8.902443,0.075284,0.004623
0.020000,1.075879,0.762996,0.568976,3.113237,8.904046,0.080149,0.004459
0.020000,1.141705,0.763284,0.634803,3.291352,8.905746,0.085007,0.004289
0.020000,1.211095,0.763575,0.704193,3.469503,8.907543,0.089875,0.004114
0.020000,1.284048,0.763869,0.777147,3.647691,8.909438,0.094719,0.003933
0.020000,1.360566,0.764162,0.853665,3.825920,8.911429,0.099584,0.003747
0.020000,1.440649,0.764455,0.933749,4.004190,8.913518,0.104453,0.003558
0.020000,1.524299,0.764744,1.017399,4.182504,8.915704,0.109292,0.003364
0.020000,1.611515,0.765029,1.104616,4.360864,8.917988,0.114170,0.003168
0.020000,1.702300,0.765308,1.195402,4.539272,8.920368,0.119011,0.002969
0.020000,1.796655,0.765578,1.289756,4.717728,8.922846,0.123879,0.002769
0.020000,1.894579,0.765840,1.387681,4.896237,8.925420,0.128739,0.002568
0.020000,1.996075,0.766090,1.489177,5.074799,8.928092,0.133590,0.002367
0.020000,2.101143,0.766328,1.594245,5.253416,8.930861,0.138453,0.002166
0.020000,2.209784,0.766553,1.702887,5.432090,8.933727,0.143309,0.001967
0.020000,2.322001,0.766762,1.815104,5.610824,8.936691,0.148168,0.001770
0.020000,2.437793,0.766956,1.930896,5.789619,8.939751,0.153023,0.001576
0.020000,2.557162,0.767133,2.050266,5.968478,8.942909,0.157883,0.001387
0.020000,2.680110,0.767292,2.173214,6.147401,8.946164,0.162738,0.001202
0.020000,2.806638,0.767432,2.299741,6.326391,8.949515,0.167596,0.001023
0.020000,2.936747,0.767554,2.429850,6.505450,8.952965,0.172451,0.000850
0.020000,3.070438,0.767656,2.563542,6.684581,8.956511,0.177312,0.000686
0.020000,3.207714,0.767740,2.700818,6.863784,8.960154,0.182162,0.000530
0.020000,3.348575,0.767804,2.841679,7.043062,8.963894,0.187024,0.000384
0.020000,3.493024,0.767849,2.986127,7.222416,8.967732,0.191877,0.000249
0.020000,3.641061,0.767877,3.134164,7.401850,8.971667,0.196738,0.000126
0.020000,3.792688,0.767887,3.285791,7.581364,8.975699,0.201588,0.000016
0.020000,3.947907,0.767882,3.441011,7.760960,8.979828,0.206454,6.283105
0.020000,4.106720,0.767863,3.599823,7.940641,8.984054,0.211306,6.283025
0.020000,4.269128,0.767831,3.762232,8.120409,8.988377,0.216163,6.282961
0.020000,4.435133,0.767790,3.928237,8.300265,8.992797,0.221022,6.282915
0.020000,4.604738,0.767742,4.097841,8.480211,8.997315,0.225882,6.282888
0.020000,4.777943,0.767689,4.271046,8.660250,9.001930,0.230739,6.282882
0.020000,4.954750,0.767637,4.447854,8.840382,9.006642,0.235599,6.282897
0.020000,5.135162,0.767588,4.628266,9.020611,9.011451,0.240458,6.282935
0.020000,5.319181,0.767547,4.812285,9.200939,9.016357,0.245320,6.282998
0.020000,5.506809,0.767520,4.999912,9.381366,9.021361,0.250177,6.283086
0.020000,5.698046,0.767512,5.191150,9.561895,9.026462,0.255040,0.000017
0.020000,5.892897,0.767529,5.386001,9.742528,9.031660,0.259899,0.000161
0.020000,6.091362,0.767577,5.584466,9.923267,9.036955,0.264757,0.000335
0.020000,6.291656,0.767665,5.784760,10.014688,4.571047,-223.295397,0.000539
0.020000,6.491990,0.767795,5.985094,10.016719,0.101560,-223.474331,0.000772
0.020000,6.692365,0.767976,6.185469,10.018751,0.101560,0.000009,0.001032
0.020000,6.892781,0.768211,6.385885,10.020782,0.101561,0.000005,0.001321
0.020000,7.093237,0.768507,6.586341,10.022813,0.101561,-0.000000,0.001637
0.020000,7.293733,0.768869,6.786838,10.024844,0.101560,-0.000008,0.001982
0.020000,7.494270,0.769304,6.987375,10.026875,0.101560,-0.000018,0.002356
0.020000,7.694848,0.769816,7.187954,10.028907,0.101559,-0.000030,0.002757
0.020000,7.895466,0.770412,7.388572,10.030938,0.101559,-0.000045,0.003187
0.020000,8.096124,0.771097,7.589232,10.032969,0.101557,-0.000062,0.003645
0.020000,8.296823,0.771877,7.789932,10.035000,0.101556,-0.000083,0.004131
0.020000,8.497561,0.772757,7.990672,10.037031,0.101553,-0.000107,0.004645
0.020000,8.698340,0.773744,8.191454,10.039062,0.101551,-0.000133,0.005188
0.020000,8.899159,0.774842,8.392275,10.041093,0.101548,-0.000164,0.005759
0.020000,9.100018,0.776059,8.593138,10.043124,0.101544,-0.000198,0.006357
0.020000,9.300916,0.777398,8.794041,10.045155,0.101539,-0.000236,0.006985
0.020000,9.501855,0.778867,8.994985,10.047185,0.101533,-0.000279,0.007640
0.020000,9.698885,0.780546,9.192022,9.851860,-9.766261,-493.389689,0.010976
0.020000,9.911356,0.783774,9.404518,10.624801,38.647064,2420.666214,0.019654
0.020000,10.126088,0.789071,9.619315,10.739877,5.753775,-1644.664416,0.029931
0.020000,10.343211,0.796845,9.836577,10.863081,6.160220,20.322226,0.041919
0.020000,10.562869,0.807549,10.056496,10.995931,6.642463,24.112153,0.055752
0.020000,10.785223,0.821690,10.279299,11.140175,7.212221,28.487923,0.071589
0.020000,11.010447,0.839845,10.505253,11.297713,7.876914,33.234611,0.089615
0.020000,11.238722,0.862667,10.734667,11.470658,8.647234,38.516037,0.110044
0.020000,11.469116,0.890759,10.966767,11.605020,6.718106,-96.456413,0.133005
0.020000,11.699640,0.924547,11.199754,11.649337,2.215818,-225.114403,0.158487
0.020000,11.929296,0.964512,11.432862,11.655398,0.303051,-95.638374,0.186535
0.020000,12.157986,1.011270,11.666282,11.671021,0.781178,23.906349,0.217280
0.020000,12.385526,1.065467,11.900188,11.695282,1.213031,21.592683,0.250844
0.020000,12.611635,1.127764,12.134722,11.726704,1.571123,17.904610,0.287326
0.020000,12.835902,1.198817,12.369976,11.762688,1.799179,11.402757,0.326790
0.020000,13.057760,1.279244,12.605962,11.799310,1.831128,1.597476,0.369244
0.020000,13.276467,1.369581,12.842591,11.831465,1.607745,-11.169146,0.414627
0.020000,13.491092,1.470226,13.079642,11.852556,1.054532,-27.660659,0.462784
0.020000,13.700525,1.581376,13.316743,11.855027,0.123538,-46.549703,0.513458
0.020000,13.903508,1.702965,13.553356,11.830643,-1.219158,-67.134823,0.566275
0.020000,14.098693,1.834606,13.788785,11.771445,-2.959903,-87.037202,0.620750
0.020000,14.284732,1.975569,14.022196,11.670589,-5.042814,-104.145592,0.676306
0.020000,14.460375,2.124785,14.252665,11.523441,-7.357398,-115.729204,0.732299
0.020000,14.624577,2.280893,14.479231,11.328269,-9.758591,-120.059622,0.788060
0.020000,14.776575,2.442326,14.700960,11.086486,-12.089184,-116.529651,0.842942
0.020000,14.915945,2.607414,14.917012,10.802584,-14.195060,-105.293815,0.896360
0.020000,15.042608,2.774495,15.126677,10.483271,-15.965673,-88.530652,0.947821
0.020000,15.156802,2.942004,15.329407,10.136465,-17.340295,-68.731076,0.996944
0.020000,15.259028,3.108546,15.524821,9.770695,-18.288484,-47.409451,1.043465
0.020000,15.349982,3.272935,15.712694,9.393680,-18.850746,-28.113118,1.087228
0.020000,15.430487,3.434203,15.892939,9.012260,-19.071032,-11.014286,1.128172
0.020000,15.501426,3.591591,16.065576,8.631811,-19.022438,2.429675,1.166311
0.020000,15.563702,3.744531,16.230708,8.256639,-18.758580,13.192913,1.201718
0.020000,15.618193,3.892614,16.388499,7.889528,-18.355575,20.150271,1.234505
0.020000,15.665732,4.035561,16.539144,7.532267,-17.863058,24.625854,1.264809
0.020000,15.707093,4.173199,16.682862,7.185884,-17.319154,27.195199,1.292782
0.020000,15.742985,4.305430,16.819878,6.850790,-16.754678,28.223764,1.318581
0.020000,15.774047,4.432219,16.950417,6.526944,-16.192292,28.119323,1.342360
0.020000,15.800855,4.553569,17.074693,6.213799,-15.657255,26.751829,1.364271
0.020000,15.823922,4.669518,17.192913,5.911023,-15.138823,25.921596,1.384456
0.020000,15.843705,4.780116,17.305267,5.617696,-14.666336,23.624380,1.403048
0.020000,15.860609,4.885436,17.411935,5.333399,-14.214874,22.573098,1.420170
0.020000,15.874994,4.985548,17.513075,5.057011,-13.819375,19.774962,1.435934
0.020000,15.887177,5.080533,17.608838,4.788151,-13.443029,18.817304,1.450443
0.020000,15.897443,5.170469,17.699358,4.525985,-13.108286,16.737127,1.463792
0.020000,15.906040,5.255432,17.784754,4.269829,-12.807797,15.024440,1.476063
0.020000,15.913191,5.335497,17.865139,4.019221,-12.530389,13.870418,1.487333
0.020000,15.919092,5.410739,17.940611,3.773614,-12.280348,12.502034,1.497671
0.020000,15.923919,5.481217,18.011255,3.532182,-12.071608,10.437009,1.507137
0.020000,15.927825,5.546998,18.077151,3.294813,-11.868438,10.158476,1.515787
0.020000,15.930950,5.608140,18.138374,3.061132,-11.684060,9.218904,1.523670
0.020000,15.933413,5.664693,18.194980,2.830334,-11.539895,7.208252,1.530829
0.020000,15.935324,5.716708,18.247030,2.602501,-11.391644,7.412590,1.537304
