dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.585592,3.659724,0.001786,0.178571,8.928571,446.428571,6.281524
0.020000,0.584814,3.659725,0.002563,0.038887,-6.984228,-795.639970,6.282064
0.020000,0.583518,3.659726,0.003860,0.064808,1.296080,414.015414,6.282964
0.020000,0.592015,3.659730,0.012356,0.424818,18.000475,835.219748,0.001040
0.020000,0.605751,3.659756,0.026093,0.686839,13.101062,-244.970686,0.002661
0.020000,0.622539,3.659817,0.042880,0.839375,7.626803,-273.712911,0.004644
0.020000,0.642375,3.659932,0.062717,0.991828,7.622655,-0.207417,0.006989
0.020000,0.665260,3.660123,0.085603,1.144288,7.622984,0.016435,0.009697
0.020000,0.691190,3.660415,0.111534,1.296588,7.614990,-0.399694,0.012770
0.020000,0.720166,3.660834,0.140513,1.448946,7.617918,0.146394,0.016208
0.020000,0.752183,3.661414,0.172536,1.601114,7.608389,-0.476435,0.020011
0.020000,0.787240,3.662189,0.207601,1.753277,7.608146,-0.012127,0.024182
0.020000,0.825334,3.663197,0.245709,1.905375,7.604921,-0.161258,0.028721
0.020000,0.866461,3.664479,0.286856,2.057348,7.598632,-0.314477,0.033629
0.020000,0.910618,3.666082,0.331042,2.209297,7.597449,-0.059119,0.038906
0.020000,0.957802,3.668052,0.378266,2.361248,7.597541,0.004593,0.044554
0.020000,1.008008,3.670441,0.428529,2.513145,7.594860,-0.134042,0.050571
0.020000,1.061230,3.673306,0.481829,2.664974,7.591436,-0.171227,0.056960
0.020000,1.117467,3.676703,0.538168,2.816976,7.600106,0.433505,0.063719
0.020000,1.176711,3.680695,0.597547,2.968923,7.597350,-0.137790,0.070847
0.020000,1.238957,3.685347,0.659966,3.120957,7.601694,0.217175,0.078343
0.020000,1.304199,3.690727,0.725429,3.273161,7.610208,0.425721,0.086205
0.020000,1.372430,3.696906,0.793940,3.425543,7.619100,0.444591,0.094432
0.020000,1.443645,3.703960,0.865503,3.578135,7.629588,0.524403,0.103020
0.020000,1.517834,3.711966,0.940123,3.731005,7.643531,0.697138,0.111964
0.020000,1.594991,3.721004,1.017807,3.884231,7.661294,0.888181,0.121260
