dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.583200,2.219726,0.001786,0.178571,8.928571,446.428571,6.281524
0.020000,0.583200,2.219726,0.007143,0.357143,8.928571,0.000000,6.282064
0.020000,0.583200,2.219726,0.016071,0.535714,8.928571,0.000000,6.282964
0.020000,0.593512,2.219731,0.028571,0.714286,8.928571,-0.000000,0.001040
0.020000,0.609583,2.219761,0.044643,0.892857,8.928571,0.000000,0.002661
0.020000,0.629226,2.219833,0.064286,1.071429,8.928571,-0.000000,0.004644
0.020000,0.652439,2.219968,0.087500,1.250000,8.928571,0.000000,0.006989
0.020000,0.679224,2.220191,0.114286,1.428571,8.928571,-0.000000,0.009697
0.020000,0.709578,2.220532,0.144643,1.607143,8.928571,0.000000,0.012770
0.020000,0.743504,2.221024,0.178571,1.785714,8.928571,-0.000000,0.016208
0.020000,0.780997,2.221703,0.216071,1.964286,8.928571,-0.000000,0.020011
0.020000,0.822059,2.222610,0.257143,2.142857,8.928571,0.000000,0.024182
0.020000,0.866687,2.223791,0.301786,2.321429,8.928571,0.000000,0.028721
0.020000,0.914877,2.225294,0.350000,2.500000,8.928571,-0.000000,0.033629
0.020000,0.966629,2.227171,0.401786,2.678571,8.928571,0.000000,0.038906
0.020000,1.021938,2.229481,0.457143,2.857143,8.928571,0.000000,0.044554
0.020000,1.080800,2.232282,0.516071,3.035714,8.928571,0.000000,0.050571
0.020000,1.143208,2.235641,0.578571,3.214286,8.928571,0.000000,0.056960
0.020000,1.209160,2.239625,0.644643,3.392857,8.928571,0.000000,0.063719
0.020000,1.278645,2.244307,0.714286,3.571429,8.928571,-0.000000,0.070847
0.020000,1.351655,2.249764,0.787500,3.750000,8.928571,0.000000,0.078343
0.020000,1.428181,2.256074,0.864286,3.928571,8.928571,0.000000,0.086205
0.020000,1.508211,2.263322,0.944643,4.107143,8.928571,0.000000,0.094432
0.020000,1.591730,2.271594,1.028571,4.285714,8.928571,0.000000,0.103020
0.020000,1.678725,2.280982,1.116071,4.464286,8.928571,0.000000,0.111964
0.020000,1.769177,2.291578,1.207143,4.642857,8.928571,0.000000,0.121260
0.020000,1.863068,2.303479,1.301786,4.821429,8.928571,-0.000000,0.130902
0.020000,1.960377,2.316785,1.400000,5.000000,8.928571,0.000000,0.140883
0.020000,2.061079,2.331597,1.501786,5.178571,8.928571,0.000000,0.151194
0.020000,2.165147,2.348019,1.607143,5.357143,8.928571,-0.000000,0.161828
0.020000,2.272554,2.366159,1.716071,5.535714,8.928571,0.000000,0.172772
0.020000,2.383268,2.386122,1.828571,5.714286,8.928571,-0.000000,0.184015
0.020000,2.497255,2.408019,1.944643,5.892857,8.928571,0.000000,0.195542
0.020000,2.614478,2.431958,2.064286,6.071429,8.928571,-0.000000,0.207340
0.020000,2.734897,2.458049,2.187500,6.250000,8.928571,0.000000,0.219391
0.020000,2.858470,2.486403,2.314286,6.428571,8.928571,0.000000,0.231677
0.020000,2.985154,2.517128,2.444643,6.607143,8.928571,-0.000000,0.244178
0.020000,3.114900,2.550332,2.578571,6.785714,8.928571,0.000000,0.256873
0.020000,3.247659,2.586121,2.716071,6.964286,8.928571,-0.000000,0.269739
0.020000,3.383381,2.624600,2.857143,7.142857,8.928571,0.000000,0.282751
0.020000,3.522010,2.665868,3.001786,7.321429,8.928571,-0.000000,0.295883
0.020000,3.663493,2.710024,3.150000,7.500000,8.928571,0.000000,0.309109
0.020000,3.807773,2.757161,3.301786,7.678571,8.928571,0.000000,0.322398
0.020000,3.954792,2.807369,3.457143,7.857143,8.928571,-0.000000,0.335723
0.020000,4.104493,2.860730,3.616071,8.035714,8.928571,0.000000,0.349051
0.020000,4.256818,2.917324,3.778571,8.214286,8.928571,-0.000000,0.362351
0.020000,4.411710,2.977223,3.944643,8.392857,8.928571,0.000000,0.375592
0.020000,4.569112,3.040493,4.114286,8.571429,8.928571,0.000000,0.388739
0.020000,4.728968,3.107192,4.287500,8.750000,8.928571,0.000000,0.401760
0.020000,4.891225,3.177372,4.464286,8.928571,8.928571,0.000000,0.414620
0.020000,5.055833,3.251078,4.644643,9.107143,8.928571,0.000000,0.427287
0.020000,5.222744,3.328344,4.828571,9.285714,8.928571,0.000000,0.439727
0.020000,5.391913,3.409200,5.016071,9.464286,8.928571,-0.000000,0.451906
0.020000,5.563300,3.493664,5.207143,9.642857,8.928571,0.000000,0.463792
0.020000,5.736870,3.581749,5.401786,9.821429,8.928571,0.000000,0.475350
0.020000,5.912593,3.673455,5.600000,10.000000,8.928571,0.000000,0.486550
0.020000,6.088874,3.767925,5.800000,10.000000,0.000000,-446.428571,0.497267
0.020000,6.264161,3.864227,6.000000,10.000000,0.000000,0.000000,0.507397
0.020000,6.438492,3.962249,6.200000,10.000000,0.000000,0.000000,0.516943
0.020000,6.611909,4.061880,6.400000,10.000000,0.000000,0.000000,0.525906
0.020000,6.784455,4.163012,6.600000,10.000000,0.000000,0.000000,0.534289
0.020000,6.956177,4.265537,6.800000,10.000000,0.000000,0.000000,0.542095
0.020000,7.127123,4.369350,7.000000,10.000000,0.000000,0.000000,0.549329
0.020000,7.297344,4.474349,7.200000,10.000000,0.000000,0.000000,0.555994
0.020000,7.466891,4.580432,7.400000,10.000000,0.000000,0.000000,0.562094
0.020000,7.635819,4.687499,7.600000,10.000000,0.000000,0.000000,0.567632
0.020000,7.804180,4.795454,7.800000,10.000000,0.000000,0.000000,0.572614
0.020000,7.972032,4.904200,8.000000,10.000000,0.000000,0.000000,0.577042
0.020000,8.139431,5.013642,8.200000,10.000000,0.000000,0.000000,0.580921
0.020000,8.306435,5.123686,8.400000,10.000000,0.000000,0.000000,0.584252
0.020000,8.473101,5.234241,8.600000,10.000000,0.000000,0.000000,0.587039
0.020000,8.639488,5.345216,8.800000,10.000000,0.000000,0.000000,0.589285
0.020000,8.805656,5.456518,9.000000,10.000000,0.000000,0.000000,0.590991
0.020000,8.971664,5.568059,9.200000,10.000000,0.000000,0.000000,0.592159
0.020000,9.137571,5.679750,9.400000,10.000000,0.000000,0.000000,0.592790
0.020000,9.303438,5.791501,9.600000,10.000000,0.000000,0.000000,0.592884
0.020000,9.469324,5.903222,9.800000,10.000000,0.000000,0.000000,0.592442
0.020000,9.635290,6.014826,10.000000,10.000000,0.000000,0.000000,0.591463
0.020000,9.801394,6.126223,10.200000,10.000000,0.000000,0.000000,0.589946
0.020000,9.967698,6.237323,10.400000,10.000000,0.000000,0.000000,0.587890
0.020000,10.134259,6.348035,10.600000,10.000000,0.000000,0.000000,0.585294
0.020000,10.301137,6.458270,10.800000,10.000000,0.000000,0.000000,0.582154
0.020000,10.468391,6.567934,11.000000,10.000000,0.000000,0.000000,0.578468
0.020000,10.636077,6.676936,11.200000,10.000000,0.000000,0.000000,0.574234
0.020000,10.804253,6.785179,11.400000,10.000000,0.000000,0.000000,0.569447
0.020000,10.972975,6.892570,11.600000,10.000000,0.000000,0.000000,0.564104
0.020000,11.142298,6.999010,11.800000,10.000000,0.000000,0.000000,0.558202
0.020000,11.312276,7.104401,12.000000,10.000000,0.000000,0.000000,0.551736
0.020000,11.482962,7.208643,12.200000,10.000000,0.000000,0.000000,0.544703
0.020000,11.654406,7.311633,12.400000,10.000000,0.000000,0.000000,0.537098
0.020000,11.826657,7.413266,12.600000,10.000000,0.000000,0.000000,0.528918
0.020000,11.999762,7.513437,12.800000,10.000000,0.000000,0.000000,0.520159
0.020000,12.173767,7.612037,13.000000,10.000000,0.000000,0.000000,0.510819
0.020000,12.348714,7.708956,13.200000,10.000000,0.000000,0.000000,0.500895
0.020000,12.524641,7.804083,13.400000,10.000000,0.000000,0.000000,0.490384
0.020000,12.701586,7.897304,13.600000,10.000000,0.000000,0.000000,0.479287
0.020000,12.879581,7.988503,13.800000,10.000000,0.000000,0.000000,0.467603
0.020000,13.058656,8.077564,14.000000,10.000000,0.000000,0.000000,0.455333
0.020000,13.238835,8.164369,14.200000,10.000000,0.000000,0.000000,0.442482
0.020000,13.420138,8.248798,14.400000,10.000000,0.000000,0.000000,0.429052
