dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.580808,0.779728,0.001786,0.178571,8.928571,446.428571,6.281524
0.020000,0.581586,0.779727,0.002563,0.038887,-6.984228,-795.639970,6.282064
0.020000,0.582882,0.779726,0.003860,0.064808,1.296080,414.015414,6.282964
0.020000,0.595009,0.779732,0.015986,0.606330,27.076099,1289.000936,0.001040
0.020000,0.613415,0.779766,0.034392,0.920303,15.698612,-568.874353,0.002661
0.020000,0.635913,0.779848,0.056890,1.124910,10.230366,-273.412308,0.004644
0.020000,0.662503,0.780003,0.083481,1.329532,10.231120,0.037697,0.006989
0.020000,0.693188,0.780259,0.114167,1.534306,10.238685,0.378255,0.009697
0.020000,0.727966,0.780649,0.148948,1.739021,10.235727,-0.147913,0.012770
0.020000,0.766842,0.781213,0.187827,1.943978,10.247848,0.606052,0.016208
0.020000,0.809812,0.781991,0.230804,2.148847,10.243455,-0.219617,0.020011
0.020000,0.856878,0.783031,0.277882,2.353876,10.251449,0.399688,0.024182
0.020000,0.908039,0.784385,0.329061,2.558977,10.255067,0.180912,0.028721
0.020000,0.963294,0.786108,0.384342,2.764054,10.253855,-0.060641,0.033629
0.020000,1.022639,0.788261,0.443727,2.969222,10.258412,0.227861,0.038906
0.020000,1.086074,0.790910,0.507216,3.174486,10.263183,0.238544,0.044554
0.020000,1.153592,0.794123,0.574811,3.379731,10.262273,-0.045487,0.050571
0.020000,1.225186,0.797976,0.646509,3.584890,10.257914,-0.217953,0.056960
0.020000,1.300853,0.802548,0.722313,3.790227,10.266849,0.446749,0.063719
0.020000,1.380579,0.807920,0.802221,3.995364,10.256867,-0.499076,0.070847
0.020000,1.464354,0.814181,0.886229,4.200410,10.252283,-0.229217,0.078343
0.020000,1.552163,0.821421,0.974336,4.405380,10.248518,-0.188269,0.086205
0.020000,1.643991,0.829738,1.066540,4.610176,10.239791,-0.436332,0.094432
0.020000,1.739816,0.839229,1.162834,4.814717,10.227041,-0.637478,0.103020
0.020000,1.839616,0.849998,1.263213,5.018958,10.212047,-0.749727,0.111964
0.020000,1.943364,0.862152,1.367670,5.222849,10.194560,-0.874317,0.121260
