dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.111557,10.850988,0.001786,0.178571,8.928571,446.428571,0.002011
0.020000,9.114110,10.850991,0.004339,0.127643,-2.546445,-573.750840,0.000238
0.020000,9.126581,10.850974,0.016810,0.623558,24.795753,1367.109921,6.280464
0.020000,9.145069,10.850885,0.035298,0.924419,15.043058,-487.634735,6.276306
0.020000,9.168871,10.850658,0.059101,1.190150,13.286567,-87.824585,6.270937
0.020000,9.198012,10.850205,0.088245,1.457215,13.353265,3.334903,6.264338
0.020000,9.232518,10.849419,0.122761,1.725795,13.428958,3.784687,6.256490
0.020000,9.272420,10.848172,0.162683,1.996069,13.513742,4.239179,6.247368
0.020000,9.317745,10.846311,0.208046,2.268145,13.603775,4.501661,6.236947
0.020000,9.368518,10.843663,0.258888,2.542110,13.698245,4.723464,6.225201
0.020000,9.424764,10.840029,0.315251,2.818174,13.803231,5.249345,6.212101
0.020000,9.486499,10.835184,0.377176,3.096222,13.902369,4.956865,6.197620
0.020000,9.553721,10.828880,0.444692,3.375825,13.980174,3.890252,6.181735
0.020000,9.626417,10.820844,0.517831,3.656945,14.055997,3.791156,6.164425
0.020000,9.704555,10.810777,0.596615,3.939176,14.111554,2.777863,6.145675
0.020000,9.788073,10.798360,0.681051,4.221820,14.132202,1.032385,6.125481
0.020000,9.876876,10.783252,0.771130,4.503944,14.106197,-1.300246,6.103847
0.020000,9.970831,10.765099,0.866823,4.784667,14.036154,-3.502161,6.080795
0.020000,10.069763,10.743535,0.968078,5.062723,13.902773,-6.669047,6.056360
0.020000,10.173443,10.718196,1.074809,5.336562,13.691943,-10.541503,6.030602
0.020000,10.281589,10.688720,1.186900,5.604567,13.400248,-14.584759,6.003602
0.020000,10.393865,10.654767,1.304198,5.864888,13.016085,-19.208124,5.975466
0.020000,10.509879,10.616024,1.426509,6.115569,12.534038,-24.102348,5.946328
0.020000,10.629184,10.572220,1.553602,6.354653,11.954182,-28.992817,5.916349
0.020000,10.751294,10.523137,1.685207,6.580233,11.279016,-33.758311,5.885717
0.020000,10.875685,10.468621,1.821020,6.790645,10.520592,-37.921165,5.854643
0.020000,11.001814,10.408586,1.960708,6.984416,9.688567,-41.601258,5.823357
0.020000,11.129136,10.343023,2.103919,7.160540,8.806185,-44.119116,5.792106
0.020000,11.257117,10.271998,2.250287,7.318412,7.893607,-45.628890,5.761141
0.020000,11.385253,10.195649,2.399446,7.457905,6.974665,-45.947103,5.730720
0.020000,11.513087,10.114181,2.551033,7.579357,6.072596,-45.103453,5.701092
0.020000,11.640218,10.027854,2.704703,7.683508,5.207526,-43.253487,5.672498
0.020000,11.766311,9.936978,2.860131,7.771421,4.395650,-40.593812,5.645163
0.020000,11.891102,9.841894,3.017019,7.844370,3.647448,-37.410092,5.619296
0.020000,12.014398,9.742971,3.175093,7.903708,2.966924,-34.026222,5.595085
0.020000,12.136074,9.640597,3.334108,7.950765,2.352834,-30.704483,5.572701
0.020000,12.256074,9.535166,3.493844,7.986782,1.800839,-27.599754,5.552298
0.020000,12.374393,9.427083,3.654098,8.012694,1.295633,-25.260267,5.534015
0.020000,12.491079,9.316758,3.814682,8.029228,0.826704,-23.446462,5.517983
0.020000,12.606222,9.204608,3.975416,8.036689,0.373045,-22.682966,5.504327
0.020000,12.719940,9.091060,4.136117,8.035060,-0.081444,-22.724428,5.493175
0.020000,12.832378,8.976558,4.296594,8.023866,-0.559704,-23.913015,5.484659
0.020000,12.943694,8.861568,4.456639,8.002207,-1.082977,-26.163647,5.478924
0.020000,13.054054,8.746586,4.616013,7.968722,-1.674215,-29.561900,5.476134
0.020000,13.163619,8.632148,4.774445,7.921579,-2.357153,-34.146907,5.476479
0.020000,13.272538,8.518839,4.931614,7.858460,-3.155964,-39.940538,5.480181
0.020000,13.380935,8.407304,5.087145,7.776564,-4.094812,-46.942397,5.487500
0.020000,13.488897,8.298253,5.240598,7.672660,-5.195208,-55.019831,5.498742
0.020000,13.596457,8.192468,5.391461,7.543148,-6.475565,-64.017837,5.514263
0.020000,13.703579,8.090802,5.539147,7.384293,-7.942759,-73.359711,5.534470
0.020000,13.810143,7.994172,5.682999,7.192599,-9.584719,-82.097987,5.559818
0.020000,13.915930,7.903528,5.822308,6.965465,-11.356708,-88.599458,5.590800
0.020000,14.020622,7.819818,5.956353,6.702221,-13.162178,-90.273470,5.627916
0.020000,14.123829,7.743909,6.084469,6.405795,-14.821313,-82.956773,5.671628
0.020000,14.225148,7.676502,6.206162,6.084674,-16.056035,-61.736077,5.722278
0.020000,14.324292,7.618024,6.321267,5.755243,-16.471540,-20.775292,5.779982
0.020000,14.420424,7.568942,6.429204,5.396859,-17.919206,-72.383296,5.843902
0.020000,14.513321,7.529048,6.530305,5.055059,-17.090028,41.458940,5.912568
0.020000,14.604213,7.497402,6.626549,4.812168,-12.144518,247.275481,5.984606
0.020000,14.694805,7.473123,6.720338,4.689442,-6.136314,300.410201,6.058349
0.020000,14.787050,7.455589,6.814235,4.694856,0.270684,320.349892,6.132017
0.020000,14.882828,7.444548,6.910647,4.820604,6.287389,300.835255,6.203938
0.020000,14.983641,7.440085,7.011559,5.045602,11.249941,248.127604,6.272735
0.020000,15.161593,7.440000,7.189511,8.897595,192.599626,9067.484268,0.000000
0.020000,15.361593,7.440000,7.389511,10.000000,55.120255,-6873.968595,0.000000
0.020000,15.561593,7.440000,7.589511,10.000000,-0.000000,-2756.012729,0.000000
0.020000,15.761593,7.440000,7.789511,10.000000,0.000000,0.000000,0.000000
0.020000,15.961593,7.440000,7.989511,10.000000,-0.000000,-0.000000,0.000000
0.020000,16.161593,7.440000,8.189511,10.000000,0.000000,0.000000,0.000000
0.020000,16.361593,7.440000,8.389511,10.000000,0.000000,0.000000,0.000000
0.020000,16.561593,7.440000,8.589511,10.000000,0.000000,0.000000,0.000000
0.020000,16.761593,7.440000,8.789511,10.000000,0.000000,0.000000,0.000000
0.020000,16.961593,7.440000,8.989511,10.000000,0.000000,0.000000,0.000000
0.020000,17.161593,7.440000,9.189511,10.000000,-0.000000,-0.000000,0.000000
0.020000,17.361593,7.440000,9.389511,10.000000,0.000000,0.000000,0.000000
0.020000,17.561593,7.440000,9.589511,10.000000,-0.000000,-0.000000,0.000000
0.020000,17.761593,7.440000,9.789511,10.000000,0.000000,0.000000,0.000000
0.020000,17.961593,7.440000,9.989511,10.000000,0.000000,-0.000000,0.000000
0.020000,18.161593,7.440000,10.189511,10.000000,0.000000,0.000000,0.000000
0.020000,18.361593,7.440000,10.389511,10.000000,0.000000,0.000000,0.000000
0.020000,18.561593,7.440000,10.589511,10.000000,0.000000,0.000000,0.000000
0.020000,18.761593,7.440000,10.789511,10.000000,0.000000,0.000000,0.000000
0.020000,18.961593,7.440000,10.989511,10.000000,0.000000,0.000000,0.000000
0.020000,19.161593,7.440000,11.189511,10.000000,0.000000,0.000000,0.000000
0.020000,19.361593,7.440000,11.389511,10.000000,0.000000,0.000000,0.000000
0.020000,19.561593,7.440000,11.589511,10.000000,0.000000,0.000000,0.000000
0.020000,19.761593,7.440000,11.789511,10.000000,0.000000,0.000000,0.000000
0.020000,19.961593,7.440000,11.989511,10.000000,0.000000,0.000000,0.000000
0.020000,20.161593,7.440000,12.189511,10.000000,0.000000,0.000000,0.000000
0.020000,20.361593,7.440000,12.389511,10.000000,0.000000,0.000000,0.000000
0.020000,20.561593,7.440000,12.589511,10.000000,0.000000,0.000000,0.000000
0.020000,20.761593,7.440000,12.789511,10.000000,0.000000,0.000000,0.000000
0.020000,20.961593,7.440000,12.989511,10.000000,-0.000000,-0.000000,0.000000
0.020000,21.161593,7.440000,13.189511,10.000000,0.000000,0.000000,0.000000
0.020000,21.361593,7.440000,13.389511,10.000000,-0.000000,-0.000000,0.000000
0.020000,21.561593,7.440000,13.589511,10.000000,0.000000,0.000000,0.000000
0.020000,21.761458,7.440000,13.789376,9.993248,-0.337581,-16.879035,0.000000
0.020000,21.959402,7.440000,13.987320,9.897211,-4.801866,-223.214286,0.000000
0.020000,22.110504,7.441375,14.138428,7.555409,-117.090114,-5614.412376,0.025289
0.020000,22.249740,7.447332,14.277791,6.968156,-29.362632,4386.374107,0.061005
0.020000,22.381011,7.457836,14.409481,6.584509,-19.182368,509.013199,0.099569
0.020000,22.503859,7.472635,14.533218,6.186821,-19.884389,-35.101040,0.141175
0.020000,22.617872,7.491390,14.648764,5.777294,-20.476342,-29.597647,0.185988
0.020000,22.722721,7.513679,14.755955,5.359564,-20.886493,-20.507572,0.234123
0.020000,22.818204,7.539000,14.854739,4.939175,-21.019490,-6.649871,0.285616
0.020000,22.904304,7.566801,14.945215,4.523843,-20.766594,12.644807,0.340397
0.020000,22.981231,7.596517,15.027683,4.123378,-20.023251,37.167169,0.398260
0.020000,23.049457,7.627631,15.102669,3.749290,-18.704374,65.943869,0.458838
0.020000,23.109712,7.659738,15.170944,3.413765,-16.776281,96.404640,0.521596
0.020000,23.162944,7.692609,15.233507,3.128156,-14.280408,124.793614,0.585841
0.020000,23.210239,7.726224,15.291531,2.901200,-11.347805,146.630183,0.650759
0.020000,23.252710,7.760774,15.346280,2.737465,-8.186780,158.051249,0.715471
0.020000,23.291389,7.796610,15.399008,2.636382,-5.054143,156.631843,0.779107
0.020000,23.327132,7.834167,15.450856,2.592378,-2.200205,142.696914,0.840875
0.020000,23.360580,7.873876,15.502774,2.595921,0.177165,118.868491,0.900113
0.020000,23.392148,7.916080,15.555478,2.635209,1.964409,89.362177,0.956327
0.020000,23.422062,7.960987,15.609437,2.697928,3.135930,58.576062,1.009189
0.020000,23.450408,8.008649,15.664891,2.772703,3.738740,30.140496,1.058534
0.020000,23.477182,8.058970,15.721891,2.850012,3.865464,6.336201,1.104325
0.020000,23.502339,8.111729,15.780341,2.922501,3.624455,-12.050429,1.146629
0.020000,23.525827,8.166615,15.840042,2.985025,3.126191,-24.913201,1.185585
