dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.114453,9.410991,0.001786,0.178571,8.928571,446.428571,0.002011
0.020000,9.114453,9.410991,0.007143,0.357143,8.928571,0.000000,0.000238
0.020000,9.122662,9.410980,0.016071,0.535714,8.928571,0.000000,6.280464
0.020000,9.135163,9.410920,0.028571,0.714286,8.928571,-0.000000,6.276306
0.020000,9.151233,9.410766,0.044643,0.892857,8.928571,0.000000,6.270937
0.020000,9.170873,9.410461,0.064286,1.071429,8.928571,-0.000000,6.264338
0.020000,9.194082,9.409932,0.087500,1.250000,8.928571,0.000000,6.256490
0.020000,9.220854,9.409095,0.114286,1.428571,8.928571,-0.000000,6.247368
0.020000,9.251186,9.407850,0.144643,1.607143,8.928571,0.000000,6.236947
0.020000,9.285067,9.406083,0.178571,1.785714,8.928571,-0.000000,6.225201
0.020000,9.322489,9.403665,0.216071,1.964286,8.928571,-0.000000,6.212101
0.020000,9.363435,9.400452,0.257143,2.142857,8.928571,0.000000,6.197620
0.020000,9.407882,9.396284,0.301786,2.321429,8.928571,0.000000,6.181735
0.020000,9.455803,9.390987,0.350000,2.500000,8.928571,-0.000000,6.164425
0.020000,9.507164,9.384370,0.401786,2.678571,8.928571,0.000000,6.145675
0.020000,9.561919,9.376230,0.457143,2.857143,8.928571,0.000000,6.125481
0.020000,9.620011,9.366347,0.516071,3.035714,8.928571,0.000000,6.103847
0.020000,9.681375,9.354491,0.578571,3.214286,8.928571,0.000000,6.080795
0.020000,9.745929,9.340420,0.644643,3.392857,8.928571,0.000000,6.056360
0.020000,9.813579,9.323886,0.714286,3.571429,8.928571,-0.000000,6.030602
0.020000,9.884214,9.304634,0.787500,3.750000,8.928571,0.000000,6.003602
0.020000,9.957710,9.282408,0.864286,3.928571,8.928571,0.000000,5.975466
0.020000,10.033926,9.256955,0.944643,4.107143,8.928571,0.000000,5.946328
0.020000,10.112708,9.228028,1.028571,4.285714,8.928571,0.000000,5.916349
0.020000,10.193891,9.195394,1.116071,4.464286,8.928571,0.000000,5.885717
0.020000,10.277299,9.158837,1.207143,4.642857,8.928571,0.000000,5.854643
0.020000,10.362751,9.118160,1.301786,4.821429,8.928571,-0.000000,5.823357
0.020000,10.450063,9.073196,1.400000,5.000000,8.928571,0.000000,5.792106
0.020000,10.539057,9.023803,1.501786,5.178571,8.928571,0.000000,5.761141
0.020000,10.629559,8.969873,1.607143,5.357143,8.928571,-0.000000,5.730720
0.020000,10.721414,8.911329,1.716071,5.535714,8.928571,0.000000,5.701092
0.020000,10.814478,8.848128,1.828571,5.714286,8.928571,-0.000000,5.672498
0.020000,10.908636,8.780261,1.944643,5.892857,8.928571,0.000000,5.645163
0.020000,11.003796,8.707747,2.064286,6.071429,8.928571,-0.000000,5.619296
0.020000,11.099896,8.630638,2.187500,6.250000,8.928571,0.000000,5.595085
0.020000,11.196905,8.549010,2.314286,6.428571,8.928571,0.000000,5.572701
0.020000,11.294829,8.462967,2.444643,6.607143,8.928571,-0.000000,5.552298
0.020000,11.393707,8.372637,2.578571,6.785714,8.928571,0.000000,5.534015
0.020000,11.493616,8.278170,2.716071,6.964286,8.928571,-0.000000,5.517983
0.020000,11.594669,8.179737,2.857143,7.142857,8.928571,0.000000,5.504327
0.020000,11.697021,8.077534,3.001786,7.321429,8.928571,-0.000000,5.493175
0.020000,11.800864,7.971780,3.150000,7.500000,8.928571,0.000000,5.484659
0.020000,11.906435,7.862722,3.301786,7.678571,8.928571,0.000000,5.478924
0.020000,12.014013,7.750637,3.457143,7.857143,8.928571,-0.000000,5.476134
0.020000,12.123921,7.635840,3.616071,8.035714,8.928571,0.000000,5.476479
0.020000,12.236536,7.518690,3.778571,8.214286,8.928571,-0.000000,5.480181
0.020000,12.352281,7.399599,3.944643,8.392857,8.928571,0.000000,5.487500
0.020000,12.471636,7.279047,4.114286,8.571429,8.928571,0.000000,5.498742
0.020000,12.595137,7.157597,4.287500,8.750000,8.928571,0.000000,5.514263
0.020000,12.723373,7.035911,4.464286,8.928571,8.928571,0.000000,5.534470
0.020000,12.856989,6.914775,4.644643,9.107143,8.928571,0.000000,5.559818
0.020000,12.996669,6.795124,4.828571,9.285714,8.928571,0.000000,5.590800
0.020000,13.143125,6.678065,5.016071,9.464286,8.928571,-0.000000,5.627916
0.020000,13.297063,6.564902,5.207143,9.642857,8.928571,0.000000,5.671628
0.020000,13.459134,6.457149,5.401786,9.821429,8.928571,0.000000,5.722278
0.020000,13.629874,6.356523,5.600000,10.000000,8.928571,0.000000,5.779982
0.020000,13.808005,6.265661,5.800000,10.000000,0.000000,-446.428571,5.843902
0.020000,13.991766,6.186819,6.000000,10.000000,0.000000,0.000000,5.912568
0.020000,14.180619,6.121114,6.200000,10.000000,0.000000,0.000000,5.984606
0.020000,14.373761,6.069367,6.400000,10.000000,0.000000,0.000000,6.058349
0.020000,14.570196,6.032012,6.600000,10.000000,0.000000,0.000000,6.132017
0.020000,14.768831,6.009067,6.800000,10.000000,0.000000,0.000000,6.203938
0.020000,14.968594,6.000164,7.000000,10.000000,0.000000,0.000000,6.272735
0.020000,15.161593,6.000000,7.200000,10.000000,0.000000,0.000000,0.000000
0.020000,15.361593,6.000000,7.400000,10.000000,0.000000,0.000000,0.000000
0.020000,15.561593,6.000000,7.600000,10.000000,0.000000,0.000000,0.000000
0.020000,15.761593,6.000000,7.800000,10.000000,0.000000,0.000000,0.000000
0.020000,15.961593,6.000000,8.000000,10.000000,0.000000,0.000000,0.000000
0.020000,16.161593,6.000000,8.200000,10.000000,0.000000,0.000000,0.000000
0.020000,16.361593,6.000000,8.400000,10.000000,0.000000,0.000000,0.000000
0.020000,16.561593,6.000000,8.600000,10.000000,0.000000,0.000000,0.000000
0.020000,16.761593,6.000000,8.800000,10.000000,0.000000,0.000000,0.000000
0.020000,16.961593,6.000000,9.000000,10.000000,0.000000,0.000000,0.000000
0.020000,17.161593,6.000000,9.200000,10.000000,0.000000,0.000000,0.000000
0.020000,17.361593,6.000000,9.400000,10.000000,0.000000,0.000000,0.000000
0.020000,17.561593,6.000000,9.600000,10.000000,0.000000,0.000000,0.000000
0.020000,17.761593,6.000000,9.800000,10.000000,0.000000,0.000000,0.000000
0.020000,17.961593,6.000000,10.000000,10.000000,0.000000,0.000000,0.000000
0.020000,18.161593,6.000000,10.200000,10.000000,0.000000,0.000000,0.000000
0.020000,18.361593,6.000000,10.400000,10.000000,0.000000,0.000000,0.000000
0.020000,18.561593,6.000000,10.600000,10.000000,0.000000,0.000000,0.000000
0.020000,18.761593,6.000000,10.800000,10.000000,0.000000,0.000000,0.000000
0.020000,18.961593,6.000000,11.000000,10.000000,0.000000,0.000000,0.000000
0.020000,19.161593,6.000000,11.200000,10.000000,0.000000,0.000000,0.000000
0.020000,19.361593,6.000000,11.400000,10.000000,0.000000,0.000000,0.000000
0.020000,19.561593,6.000000,11.600000,10.000000,0.000000,0.000000,0.000000
0.020000,19.761593,6.000000,11.800000,10.000000,0.000000,0.000000,0.000000
0.020000,19.961593,6.000000,12.000000,10.000000,0.000000,0.000000,0.000000
0.020000,20.161593,6.000000,12.200000,10.000000,0.000000,0.000000,0.000000
0.020000,20.361593,6.000000,12.400000,10.000000,0.000000,0.000000,0.000000
0.020000,20.561593,6.000000,12.600000,10.000000,0.000000,0.000000,0.000000
0.020000,20.761593,6.000000,12.800000,10.000000,0.000000,0.000000,0.000000
0.020000,20.961593,6.000000,13.000000,10.000000,0.000000,0.000000,0.000000
0.020000,21.161593,6.000000,13.200000,10.000000,0.000000,0.000000,0.000000
0.020000,21.361593,6.000000,13.400000,10.000000,0.000000,0.000000,0.000000
0.020000,21.561593,6.000000,13.600000,10.000000,0.000000,0.000000,0.000000
0.020000,21.761458,6.000000,13.799865,9.986497,-0.675161,-33.758071,0.000000
0.020000,21.959402,6.000000,13.997809,9.807925,-8.928571,-412.670500,0.000000
0.020000,22.146917,6.001835,14.192182,9.629354,-8.928571,-0.000000,0.025289
0.020000,22.337532,6.010011,14.382983,9.450782,-8.928571,0.000000,0.061005
0.020000,22.524153,6.024968,14.570213,9.272211,-8.928571,0.000000,0.099569
0.020000,22.706476,6.046961,14.753872,9.093640,-8.928571,0.000000,0.141175
0.020000,22.884154,6.076225,14.933959,8.915068,-8.928571,0.000000,0.185988
0.020000,23.056787,6.112965,15.110475,8.736497,-8.928571,0.000000,0.234123
0.020000,23.223922,6.157337,15.283419,8.557925,-8.928571,0.000000,0.285616
0.020000,23.385064,6.209425,15.452792,8.379354,-8.928571,-0.000000,0.340397
0.020000,23.539684,6.269216,15.618593,8.200782,-8.928571,0.000000,0.398260
0.020000,23.687242,6.336573,15.780823,8.022211,-8.928571,0.000000,0.458838
0.020000,23.827213,6.411222,15.939481,7.843640,-8.928571,0.000000,0.521596
0.020000,23.959121,6.492733,16.094568,7.665068,-8.928571,0.000000,0.585841
0.020000,24.082577,6.580525,16.246084,7.486497,-8.928571,-0.000000,0.650759
0.020000,24.197311,6.673884,16.394028,7.307925,-8.928571,0.000000,0.715471
0.020000,24.303196,6.771990,16.538401,7.129354,-8.928571,-0.000000,0.779107
0.020000,24.400258,6.873959,16.679202,6.950782,-8.928571,0.000000,0.840875
0.020000,24.488672,6.978885,16.816432,6.772211,-8.928571,-0.000000,0.900113
0.020000,24.568742,7.085883,16.950091,6.593640,-8.928571,0.000000,0.956327
0.020000,24.640879,7.194119,17.080178,6.415068,-8.928571,0.000000,1.009189
0.020000,24.705566,7.302832,17.206694,6.236497,-8.928571,-0.000000,1.058534
0.020000,24.763333,7.411348,17.329638,6.057925,-8.928571,0.000000,1.104325
0.020000,24.814729,7.519080,17.449011,5.879354,-8.928571,-0.000000,1.146629
0.020000,24.860303,7.625528,17.564812,5.700782,-8.928571,0.000000,1.185585
0.020000,24.900587,7.730273,17.677042,5.522211,-8.928571,-0.000000,1.221378
0.020000,24.936088,7.832963,17.785700,5.343640,-8.928571,0.000000,1.254216
0.020000,24.967282,7.933309,17.890788,5.165068,-8.928571,0.000000,1.284319
0.020000,24.994610,8.031074,17.992303,4.986497,-8.928571,-0.000000,1.311904
0.020000,25.018475,8.126063,18.090247,4.807925,-8.928571,0.000000,1.337181
0.020000,25.039248,8.218120,18.184620,4.629354,-8.928571,0.000000,1.360347
0.020000,25.057265,8.307114,18.275422,4.450782,-8.928571,0.000000,1.381584
0.020000,25.072830,8.392942,18.362651,4.272211,-8.928571,-0.000000,1.401060
0.020000,25.086219,8.475521,18.446310,4.093640,-8.928571,0.000000,1.418926
0.020000,25.097681,8.554783,18.526397,3.915068,-8.928571,0.000000,1.435318
0.020000,25.107441,8.630673,18.602913,3.736497,-8.928571,-0.000000,1.450360
0.020000,25.115702,8.703147,18.675857,3.557925,-8.928571,0.000000,1.464162
0.020000,25.122646,8.772171,18.745230,3.379354,-8.928571,0.000000,1.476822
0.020000,25.128438,8.837717,18.811031,3.200782,-8.928571,0.000000,1.488428
0.020000,25.133227,8.899762,18.873261,3.022211,-8.928571,0.000000,1.499058
0.020000,25.137145,8.958289,18.931920,2.843640,-8.928571,0.000000,1.508781
0.020000,25.140314,9.013285,18.987007,2.665068,-8.928571,0.000000,1.517660
0.020000,25.142841,9.064738,19.038522,2.486497,-8.928571,-0.000000,1.525751
0.020000,25.144823,9.112641,19.086466,2.307925,-8.928571,0.000000,1.533100
0.020000,25.146348,9.156988,19.130839,2.129354,-8.928571,0.000000,1.539753
0.020000,25.147491,9.197773,19.171641,1.950782,-8.928571,-0.000000,1.545747
0.020000,25.148324,9.234994,19.208871,1.772211,-8.928571,0.000000,1.551115
0.020000,25.148906,9.268647,19.242529,1.593640,-8.928571,0.000000,1.555888
0.020000,25.149291,9.298732,19.272616,1.415068,-8.928571,-0.000000,1.560091
0.020000,25.149526,9.325246,19.299132,1.236497,-8.928571,0.000000,1.563746
0.020000,25.149652,9.348190,19.322076,1.057925,-8.928571,0.000000,1.566873
