dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.117348,7.970994,0.001786,0.178571,8.928571,446.428571,0.002011
0.020000,9.114796,7.970991,0.004339,0.127643,-2.546445,-573.750840,0.000238
0.020000,9.118743,7.970985,0.008286,0.197370,3.486355,301.640017,6.280464
0.020000,9.125257,7.970954,0.014800,0.325689,6.415949,146.479679,6.276306
0.020000,9.133596,7.970874,0.023139,0.416977,4.564426,-92.576115,6.270937
0.020000,9.143735,7.970716,0.033280,0.507038,4.503065,-3.068041,6.264338
0.020000,9.155645,7.970445,0.045192,0.595621,4.429142,-3.696152,6.256490
0.020000,9.169288,7.970019,0.058843,0.682519,4.344901,-4.212092,6.247368
0.020000,9.184627,7.969389,0.074194,0.767558,4.251920,-4.649012,6.236947
0.020000,9.201616,7.968503,0.091207,0.850631,4.153658,-4.913091,6.225201
0.020000,9.220213,7.967302,0.109842,0.931766,4.056779,-4.843961,6.212101
0.020000,9.240371,7.965720,0.130062,1.010998,3.961569,-4.760510,6.197620
0.020000,9.262044,7.963688,0.151830,1.088402,3.870199,-4.568501,6.181735
0.020000,9.285190,7.961130,0.175117,1.164353,3.797554,-3.632231,6.164425
0.020000,9.309773,7.957963,0.199903,1.239306,3.747667,-2.494368,6.145675
0.020000,9.335764,7.954099,0.226180,1.313856,3.727490,-1.008861,6.125481
0.020000,9.363147,7.949441,0.253956,1.388784,3.746391,0.945051,6.103847
0.020000,9.391918,7.943883,0.283259,1.465168,3.819220,3.641443,6.080795
0.020000,9.422095,7.937306,0.314144,1.544260,3.954593,6.768667,6.056360
0.020000,9.453714,7.929577,0.346695,1.627512,4.162610,10.400843,6.030602
0.020000,9.486838,7.920549,0.381027,1.716620,4.455378,14.638418,6.003602
0.020000,9.521554,7.910050,0.417296,1.813420,4.840006,19.231379,5.975466
0.020000,9.557973,7.897885,0.455693,1.919852,5.321581,24.078770,5.946328
0.020000,9.596232,7.883836,0.496450,2.037884,5.901608,29.001320,5.916349
