dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.997897,11.439998,0.001786,0.178571,8.928571,446.428571,0.001461
0.020000,8.998734,11.439999,0.002623,0.041881,-6.834534,-788.155262,0.000879
0.020000,9.000966,11.440000,0.004854,0.111556,3.483753,515.914328,6.283095
0.020000,9.015421,11.439989,0.019310,0.722787,30.561540,1353.889345,6.281737
0.020000,9.034008,11.439946,0.037897,0.929357,10.328521,-1011.650932,6.279990
0.020000,9.056730,11.439849,0.060619,1.136094,10.336834,0.415647,6.277852
0.020000,9.083586,11.439672,0.087476,1.342830,10.336832,-0.000120,6.275322
0.020000,9.114579,11.439383,0.118470,1.549720,10.344490,0.382914,6.272400
0.020000,9.149710,11.438945,0.153604,1.756683,10.348163,0.183647,6.269083
0.020000,9.188980,11.438319,0.192879,1.963767,10.354164,0.300057,6.265370
0.020000,9.232392,11.437456,0.236300,2.171029,10.363121,0.447833,6.261258
0.020000,9.279945,11.436306,0.283867,2.378338,10.365466,0.117287,6.256747
0.020000,9.331642,11.434812,0.335585,2.585903,10.378228,0.638083,6.251833
0.020000,9.387480,11.432912,0.391456,2.793551,10.382408,0.209006,6.246516
0.020000,9.447460,11.430540,0.451482,3.001305,10.387682,0.263696,6.240794
0.020000,9.511576,11.427623,0.515664,3.209132,10.391375,0.184629,6.234665
0.020000,9.579826,11.424086,0.584006,3.417088,10.397788,0.320694,6.228128
0.020000,9.652205,11.419844,0.656509,3.625134,10.402285,0.224841,6.221182
0.020000,9.728702,11.414813,0.733171,3.833129,10.399788,-0.124857,6.213826
0.020000,9.809312,11.408898,0.813998,4.041334,10.410234,0.522306,6.206060
0.020000,9.894019,11.402004,0.898985,4.249336,10.400096,-0.506893,6.197884
0.020000,9.982806,11.394028,0.988130,4.457271,10.396737,-0.167974,6.189301
0.020000,10.075659,11.384863,1.081434,4.665195,10.396228,-0.025448,6.180310
0.020000,10.172551,11.374400,1.178890,4.872769,10.378670,-0.877910,6.170916
0.020000,10.273458,11.362523,1.280493,5.080165,10.369798,-0.443597,6.161122
0.020000,10.378348,11.349113,1.386237,5.287191,10.351333,-0.923262,6.150932
0.020000,10.487185,11.334048,1.496111,5.493710,10.325918,-1.270716,6.140354
0.020000,10.599928,11.317203,1.610106,5.699763,10.302668,-1.162497,6.129395
0.020000,10.716533,11.298450,1.728209,5.905147,10.269187,-1.674072,6.118063
0.020000,10.836947,11.277660,1.850405,6.109784,10.231843,-1.867221,6.106369
0.020000,10.961111,11.254701,1.976673,6.313431,10.182341,-2.475094,6.094327
0.020000,11.088962,11.229442,2.106996,6.516130,10.134989,-2.367603,6.081949
0.020000,11.220431,11.201752,2.241349,6.717674,10.077181,-2.890388,6.069253
0.020000,11.355440,11.171499,2.379706,6.917845,10.008574,-3.430339,6.056256
0.020000,11.493907,11.138555,2.522038,7.116609,9.938191,-3.519168,6.042979
0.020000,11.635743,11.102794,2.668313,7.313727,9.855903,-4.114410,6.029445
0.020000,11.780852,11.064093,2.818495,7.509077,9.767505,-4.419882,6.015677
0.020000,11.929136,11.022334,2.972546,7.702581,9.675163,-4.617113,6.001702
0.020000,12.080487,10.977403,3.130425,7.893956,9.568767,-5.319773,5.987548
0.020000,12.234795,10.929196,3.292088,8.083143,9.459357,-5.470498,5.973248
0.020000,12.391945,10.877612,3.457488,8.270007,9.343190,-5.808338,5.958832
0.020000,12.551821,10.822561,3.626576,8.454391,9.219180,-6.200533,5.944335
0.020000,12.714300,10.763960,3.799301,8.636225,9.091735,-6.372240,5.929793
0.020000,12.879263,10.701737,3.975608,8.815375,8.957506,-6.711424,5.915244
0.020000,13.046586,10.635830,4.155443,8.991741,8.818290,-6.960846,5.900724
0.020000,13.216147,10.566187,4.338749,9.165301,8.678004,-7.014254,5.886274
0.020000,13.387826,10.492769,4.525468,9.335960,8.532939,-7.253281,5.871934
0.020000,13.561506,10.415545,4.715542,9.503707,8.387330,-7.280432,5.857745
0.020000,13.737072,10.334500,4.908912,9.668501,8.239720,-7.380526,5.843747
0.020000,13.914417,10.249627,5.105519,9.830356,8.092734,-7.349298,5.829981
0.020000,14.093435,10.160934,5.305305,9.989270,7.945705,-7.351444,5.816488
0.020000,14.274032,10.068439,5.508210,10.145270,7.800020,-7.284226,5.803309
0.020000,14.456118,9.972171,5.714178,10.298395,7.656236,-7.189227,5.790483
0.020000,14.639613,9.872173,5.923152,10.448685,7.514522,-7.085713,5.778050
0.020000,14.824446,9.768497,6.135076,10.596193,7.375379,-6.957122,5.766048
0.020000,15.010554,9.661207,6.349895,10.740981,7.239409,-6.798502,5.754516
0.020000,15.196237,9.551364,6.565635,10.787006,2.301265,-246.907209,5.743584
0.020000,15.379879,9.440090,6.780359,10.736189,-2.540862,-242.106365,5.733359
0.020000,15.561553,9.327541,6.994071,10.685569,-2.531006,0.492805,5.723836
0.020000,15.741336,9.213869,7.206775,10.635231,-2.516917,0.704455,5.715013
