dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.000000,10.000000,0.001786,0.178571,8.928571,446.428571,0.001461
0.020000,9.000000,10.000000,0.007143,0.357143,8.928571,0.000000,0.000879
0.020000,9.000835,10.000000,0.016071,0.535714,8.928571,0.000000,6.283095
0.020000,9.013335,9.999990,0.028571,0.714286,8.928571,-0.000000,6.281737
0.020000,9.029406,9.999953,0.044643,0.892857,8.928571,0.000000,6.279990
0.020000,9.049050,9.999869,0.064286,1.071429,8.928571,-0.000000,6.277852
0.020000,9.072264,9.999716,0.087500,1.250000,8.928571,0.000000,6.275322
0.020000,9.099049,9.999466,0.114286,1.428571,8.928571,-0.000000,6.272400
0.020000,9.129403,9.999089,0.144643,1.607143,8.928571,0.000000,6.269083
0.020000,9.163327,9.998547,0.178571,1.785714,8.928571,-0.000000,6.265370
0.020000,9.200820,9.997802,0.216071,1.964286,8.928571,-0.000000,6.261258
0.020000,9.241878,9.996809,0.257143,2.142857,8.928571,0.000000,6.256747
0.020000,9.286502,9.995519,0.301786,2.321429,8.928571,0.000000,6.251833
0.020000,9.334689,9.993880,0.350000,2.500000,8.928571,-0.000000,6.246516
0.020000,9.386435,9.991833,0.401786,2.678571,8.928571,0.000000,6.240794
0.020000,9.441735,9.989318,0.457143,2.857143,8.928571,0.000000,6.234665
0.020000,9.500584,9.986268,0.516071,3.035714,8.928571,0.000000,6.228128
0.020000,9.562977,9.982612,0.578571,3.214286,8.928571,0.000000,6.221182
0.020000,9.628905,9.978275,0.644643,3.392857,8.928571,0.000000,6.213826
0.020000,9.698361,9.973179,0.714286,3.571429,8.928571,-0.000000,6.206060
0.020000,9.771334,9.967240,0.787500,3.750000,8.928571,0.000000,6.197884
0.020000,9.847811,9.960369,0.864286,3.928571,8.928571,0.000000,6.189301
0.020000,9.927780,9.952477,0.944643,4.107143,8.928571,0.000000,6.180310
0.020000,10.011223,9.943466,1.028571,4.285714,8.928571,0.000000,6.170916
0.020000,10.098123,9.933237,1.116071,4.464286,8.928571,0.000000,6.161122
0.020000,10.188459,9.921688,1.207143,4.642857,8.928571,0.000000,6.150932
0.020000,10.282206,9.908712,1.301786,4.821429,8.928571,-0.000000,6.140354
0.020000,10.379342,9.894199,1.400000,5.000000,8.928571,0.000000,6.129395
0.020000,10.479836,9.878037,1.501786,5.178571,8.928571,0.000000,6.118063
0.020000,10.583657,9.860111,1.607143,5.357143,8.928571,-0.000000,6.106369
0.020000,10.690768,9.840305,1.716071,5.535714,8.928571,0.000000,6.094327
0.020000,10.801134,9.818501,1.828571,5.714286,8.928571,-0.000000,6.081949
0.020000,10.914713,9.794579,1.944643,5.892857,8.928571,0.000000,6.069253
0.020000,11.031460,9.768418,2.064286,6.071429,8.928571,-0.000000,6.056256
0.020000,11.151328,9.739899,2.187500,6.250000,8.928571,0.000000,6.042979
0.020000,11.274265,9.708903,2.314286,6.428571,8.928571,0.000000,6.029445
0.020000,11.400218,9.675310,2.444643,6.607143,8.928571,-0.000000,6.015677
0.020000,11.529131,9.639006,2.578571,6.785714,8.928571,0.000000,6.001702
0.020000,11.660944,9.599875,2.716071,6.964286,8.928571,-0.000000,5.987548
0.020000,11.795596,9.557808,2.857143,7.142857,8.928571,0.000000,5.973248
0.020000,11.933023,9.512698,3.001786,7.321429,8.928571,-0.000000,5.958832
0.020000,12.073161,9.464443,3.150000,7.500000,8.928571,0.000000,5.944335
0.020000,12.215942,9.412946,3.301786,7.678571,8.928571,0.000000,5.929793
0.020000,12.361301,9.358117,3.457143,7.857143,8.928571,-0.000000,5.915244
0.020000,12.509170,9.299872,3.616071,8.035714,8.928571,0.000000,5.900724
0.020000,12.659484,9.238134,3.778571,8.214286,8.928571,-0.000000,5.886274
0.020000,12.812177,9.172834,3.944643,8.392857,8.928571,0.000000,5.871934
