dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.002103,8.560002,0.001786,0.178571,8.928571,446.428571,0.001461
0.020000,9.001266,8.560001,0.002623,0.041881,-6.834534,-788.155262,0.000879
0.020000,9.000704,8.560000,0.003184,0.028057,-0.691206,307.166378,6.283095
0.020000,9.011249,8.559992,0.013729,0.527248,24.959580,1282.539303,6.281737
0.020000,9.024804,8.559960,0.027285,0.677757,7.525437,-871.707162,6.279990
0.020000,9.041369,8.559890,0.043850,0.828258,7.525031,-0.020298,6.277852
0.020000,9.060941,8.559761,0.063422,0.978604,7.517329,-0.385068,6.275322
0.020000,9.083518,8.559550,0.086000,1.128886,7.514107,-0.161090,6.272400
0.020000,9.109096,8.559232,0.111580,1.279027,7.507029,-0.353904,6.269083
0.020000,9.137674,8.558776,0.140161,1.429044,7.500877,-0.307629,6.265370
0.020000,9.169247,8.558148,0.171740,1.578971,7.496312,-0.228233,6.261258
0.020000,9.203811,8.557312,0.206314,1.728703,7.486619,-0.484654,6.256747
0.020000,9.241363,8.556227,0.243882,1.878392,7.484451,-0.108397,6.251833
0.020000,9.281898,8.554848,0.284441,2.027918,7.476307,-0.407218,6.246516
0.020000,9.325410,8.553127,0.327987,2.177310,7.469568,-0.336930,6.240794
0.020000,9.371893,8.551013,0.374518,2.326563,7.462678,-0.344529,6.234665
0.020000,9.421342,8.548450,0.424033,2.475747,7.459178,-0.174967,6.228128
0.020000,9.473749,8.545379,0.476530,2.624870,7.456171,-0.150379,6.221182
0.020000,9.529107,8.541737,0.532008,2.773880,7.450492,-0.283915,6.213826
0.020000,9.587411,8.537460,0.590468,2.923022,7.457121,0.331454,6.206060
0.020000,9.648650,8.532475,0.651910,3.072070,7.452393,-0.236438,6.197884
0.020000,9.712816,8.526711,0.716334,3.221205,7.456739,0.217314,6.189301
0.020000,9.779901,8.520090,0.783745,3.370565,7.467981,0.562121,6.180310
0.020000,9.849894,8.512531,0.854146,3.520014,7.472450,0.223418,6.170916
0.020000,9.922787,8.503952,0.927542,3.669803,7.489474,0.851211,6.161122
0.020000,9.998569,8.494263,1.003940,3.819935,7.506605,0.856535,6.150932
0.020000,10.077228,8.483375,1.083350,3.970466,7.526521,0.995843,6.140354
0.020000,10.158755,8.471194,1.165782,4.121597,7.556584,1.503110,6.129395
0.020000,10.243138,8.457623,1.251249,4.273369,7.588598,1.600704,6.118063
0.020000,10.330366,8.442563,1.339767,4.425927,7.627907,1.965437,6.106369
0.020000,10.420426,8.425910,1.431354,4.579311,7.669197,2.064537,6.094327
0.020000,10.513306,8.407560,1.526029,4.733781,7.723480,2.714124,6.081949
0.020000,10.608995,8.387405,1.623818,4.889425,7.782188,2.935416,6.069253
0.020000,10.707480,8.365337,1.724745,5.046335,7.845518,3.166506,6.056256
0.020000,10.808748,8.341243,1.828839,5.204743,7.920395,3.743833,6.042979
0.020000,10.912786,8.315011,1.936134,5.364736,7.999650,3.962759,6.029445
0.020000,11.019583,8.286528,2.046664,5.526487,8.087572,4.396079,6.015677
0.020000,11.129126,8.255678,2.160468,5.690201,8.185675,4.905190,6.001702
0.020000,11.241401,8.222347,2.277586,5.855925,8.286222,5.027333,5.987548
0.020000,11.356397,8.186420,2.398064,6.023863,8.396883,5.533044,5.973248
0.020000,11.474101,8.147784,2.521947,6.194148,8.514263,5.869020,5.958832
0.020000,11.594501,8.106325,2.649284,6.366882,8.636708,6.122251,5.944335
0.020000,11.717584,8.061932,2.780129,6.542213,8.766527,6.490924,5.929793
0.020000,11.843339,8.014496,2.914533,6.720214,8.900047,6.676013,5.915244
0.020000,11.971755,7.963913,3.052552,6.900960,9.037316,6.863425,5.900724
