dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.527049,11.164801,0.001786,0.178571,8.928571,446.428571,0.001841
0.020000,5.527971,11.164802,0.002708,0.046102,-6.623456,-777.601375,0.001201
0.020000,5.529508,11.164803,0.004245,0.076880,1.538885,408.117050,0.000133
0.020000,5.543058,11.164794,0.017795,0.677462,30.029095,1424.510515,6.281821
0.020000,5.561907,11.164750,0.036644,0.942466,13.250202,-838.944668,6.279892
0.020000,5.584953,11.164647,0.059691,1.152343,10.493865,-137.816857,6.277528
0.020000,5.612203,11.164455,0.086941,1.362533,10.509501,0.781807,6.274724
0.020000,5.643667,11.164137,0.118407,1.573262,10.536453,1.347615,6.271475
0.020000,5.679347,11.163654,0.154090,1.784159,10.544810,0.417856,6.267777
0.020000,5.719252,11.162956,0.194001,1.995553,10.569717,1.245334,6.263622
0.020000,5.763390,11.161990,0.238150,2.207446,10.594651,1.246706,6.259004
0.020000,5.811770,11.160697,0.286547,2.419841,10.619732,1.254051,6.253916
0.020000,5.864403,11.159010,0.339207,2.633031,10.659541,1.990451,6.248349
0.020000,5.921296,11.156855,0.396141,2.846692,10.683033,1.174575,6.242294
0.020000,5.982456,11.154152,0.457361,3.060984,10.714619,1.579332,6.235742
0.020000,6.047891,11.150814,0.522881,3.276009,10.751239,1.830972,6.228684
0.020000,6.117612,11.146746,0.592720,3.491974,10.798256,2.350884,6.221108
0.020000,6.191619,11.141845,0.666890,3.708460,10.824269,1.300654,6.213004
0.020000,6.269918,11.136001,0.745405,3.925791,10.866582,2.115612,6.204362
0.020000,6.352507,11.129096,0.828283,4.143877,10.904260,1.883941,6.195170
0.020000,6.439388,11.121003,0.915541,4.362877,10.949999,2.286942,6.185418
0.020000,6.530553,11.111587,1.007190,4.582470,10.979671,1.483566,6.175095
0.020000,6.625995,11.100704,1.103250,4.803014,11.027222,2.377591,6.164189
0.020000,6.725699,11.088202,1.203735,5.024237,11.061156,1.696672,6.152693
0.020000,6.829640,11.073922,1.308652,5.245869,11.081552,1.019806,6.140595
0.020000,6.937797,11.057693,1.418021,5.468416,11.127384,2.291583,6.127890
0.020000,7.050131,11.039340,1.531844,5.691172,11.137790,0.520302,6.114569
0.020000,7.166600,11.018678,1.650132,5.914380,11.160385,1.129745,6.100628
0.020000,7.287151,10.995515,1.772887,6.137781,11.170079,0.484694,6.086065
0.020000,7.411718,10.969653,1.900111,6.361178,11.169821,-0.012855,6.070879
0.020000,7.540224,10.940889,2.031797,6.584302,11.156191,-0.681529,6.055074
0.020000,7.672583,10.909015,2.167939,6.807127,11.141279,-0.745578,6.038655
0.020000,7.808687,10.873821,2.308520,7.029046,11.095948,-2.266565,6.021633
0.020000,7.948422,10.835095,2.453522,7.250099,11.052657,-2.164535,6.004021
0.020000,8.091653,10.792626,2.602917,7.469742,10.982163,-3.524717,5.985839
0.020000,8.238229,10.746205,2.756668,7.687523,10.889005,-4.657883,5.967111
0.020000,8.387985,10.695628,2.914734,7.903301,10.788916,-5.004479,5.947867
0.020000,8.540740,10.640700,3.077065,8.116564,10.663146,-6.288495,5.928141
0.020000,8.696297,10.581235,3.243600,8.326755,10.509556,-7.679507,5.907976
0.020000,8.854444,10.517058,3.414273,8.533634,10.343958,-8.279894,5.887418
0.020000,9.014957,10.448012,3.589006,8.736659,10.151270,-9.634393,5.866519
0.020000,9.177601,10.373956,3.767716,8.935500,9.942033,-10.461826,5.845339
0.020000,9.342132,10.294769,3.950311,9.129765,9.713243,-11.439520,5.823941
0.020000,9.508300,10.210352,4.136693,9.319101,9.466820,-12.321164,5.802393
0.020000,9.675854,10.120629,4.326758,9.503224,9.206132,-13.034404,5.780769
0.020000,9.844541,10.025548,4.520396,9.681899,8.933771,-13.618051,5.759142
0.020000,10.014113,9.925082,4.717495,9.854952,8.652619,-14.057586,5.737593
0.020000,10.184331,9.819232,4.917940,10.022282,8.366491,-14.306369,5.716199
0.020000,10.354965,9.708018,5.121618,10.183862,8.079021,-14.373531,5.695042
0.020000,10.525801,9.591489,5.328412,10.339728,7.793311,-14.285475,5.674199
0.020000,10.696641,9.469713,5.538212,10.489968,7.511989,-14.066101,5.653751
0.020000,10.867308,9.342780,5.750907,10.634749,7.239047,-13.647119,5.633772
0.020000,11.037645,9.210798,5.966392,10.774270,6.976061,-13.149290,5.614335
0.020000,11.207521,9.073893,6.184568,10.908794,6.726180,-12.494082,5.595510
0.020000,11.376827,8.932205,6.405339,11.038566,6.488609,-11.878546,5.577363
